OLIS-3D-ASCII	SySl1162							
375	-7.19E-04							
376	-7.50E-04							
377	-7.23E-04							
378	-6.54E-04							
379	-5.56E-04							
380	-4.44E-04							
381	-3.31E-04							
382	-2.61E-04							
383	-2.38E-04							
384	-1.64E-04							
385	-2.19E-04							
386	-2.07E-04							
387	-2.34E-04							
388	-1.98E-04							
389	-1.17E-04							
390	-2.91E-05							
391	1.15E-05							
392	5.93E-05							
393	8.66E-05							
394	8.98E-05							
395	1.26E-04							
396	7.97E-05							
397	1.01E-04							
398	1.45E-04							
399	1.92E-04							
400	2.48E-04							
401	3.39E-04							
402	4.22E-04							
403	4.72E-04							
404	4.83E-04							
405	5.25E-04							
406	5.63E-04							
407	5.54E-04							
408	5.72E-04							
409	6.14E-04							
410	6.31E-04							
411	6.62E-04							
412	6.92E-04							
413	7.46E-04							
414	7.73E-04							
415	8.11E-04							
416	8.58E-04							
417	9.19E-04							
418	9.66E-04							
419	1.01E-03							
420	1.03E-03							
421	1.07E-03							
422	1.10E-03							
423	1.12E-03							
424	1.16E-03							
425	1.18E-03							
426	1.18E-03							
427	1.22E-03							
428	1.27E-03							
429	1.27E-03							
430	1.30E-03							
431	1.33E-03							
432	1.33E-03							
433	1.37E-03							
434	1.39E-03							
435	1.40E-03							
436	1.42E-03							
437	1.44E-03							
438	1.46E-03							
439	1.45E-03							
440	1.45E-03							
441	1.42E-03							
442	1.39E-03							
443	1.35E-03							
444	1.31E-03							
445	1.27E-03							
446	1.22E-03							
447	1.18E-03							
448	1.15E-03							
449	1.10E-03							
450	1.06E-03							
451	1.01E-03							
452	9.64E-04							
453	9.24E-04							
454	8.90E-04							
455	8.65E-04							
456	8.52E-04							
457	8.33E-04							
458	8.21E-04							
459	8.18E-04							
460	8.20E-04							
461	8.09E-04							
462	8.17E-04							
463	8.09E-04							
464	7.84E-04							
465	7.72E-04							
466	7.68E-04							
467	7.62E-04							
468	7.44E-04							
469	7.23E-04							
470	7.04E-04							
471	6.94E-04							
472	6.79E-04							
473	6.75E-04							
474	6.76E-04							
475	6.70E-04							
476	6.72E-04							
477	6.71E-04							
478	6.81E-04							
479	6.97E-04							
480	7.01E-04							
481	7.00E-04							
482	6.96E-04							
483	6.96E-04							
484	6.97E-04							
485	7.11E-04							
486	7.26E-04							
487	7.40E-04							
488	7.56E-04							
489	7.70E-04							
490	7.98E-04							
491	8.27E-04							
492	8.47E-04							
493	8.61E-04							
494	8.74E-04							
495	8.91E-04							
496	9.18E-04							
497	9.32E-04							
498	9.49E-04							
499	9.45E-04							
500	9.51E-04							
501	9.58E-04							
502	9.54E-04							
503	9.66E-04							
504	9.95E-04							
505	1.01E-03							
506	1.04E-03							
507	1.06E-03							
508	1.07E-03							
509	1.08E-03							
510	1.09E-03							
511	1.10E-03							
512	1.11E-03							
513	1.12E-03							
514	1.11E-03							
515	1.12E-03							
516	1.15E-03							
517	1.16E-03							
518	1.20E-03							
519	0.001226992							
520	1.27E-03							
521	1.29E-03							
522	1.31E-03							
523	1.33E-03							
524	1.37E-03							
525	1.37E-03							
526	1.39E-03							
527	1.41E-03							
528	1.44E-03							
529	1.48E-03							
530	1.52E-03							
531	1.57E-03							
532	1.60E-03							
533	1.61E-03							
534	1.63E-03							
535	1.66E-03							
536	1.69E-03							
537	1.71E-03							
538	1.75E-03							
539	1.76E-03							
540	1.79E-03							
541	1.80E-03							
542	1.82E-03							
543	1.84E-03							
544	1.85E-03							
545	1.88E-03							
546	1.93E-03							
547	1.96E-03							
548	1.99E-03							
549	2.01E-03							
550	2.04E-03							
551	2.06E-03							
552	2.08E-03							
553	2.10E-03							
554	2.12E-03							
555	2.14E-03							
556	2.17E-03							
557	2.20E-03							
558	2.24E-03							
559	2.28E-03							
560	2.30E-03							
561	2.34E-03							
562	2.38E-03							
563	2.41E-03							
564	2.44E-03							
565	2.46E-03							
566	2.49E-03							
567	2.50E-03							
568	2.50E-03							
569	2.47E-03							
570	2.45E-03							
571	2.40E-03							
572	2.33E-03							
573	2.24E-03							
574	2.13E-03							
575	2.00E-03							
576	1.85E-03							
577	1.72E-03							
578	1.59E-03							
579	1.45E-03							
580	1.31E-03							
581	1.19E-03							
582	1.08E-03							
583	9.81E-04							
584	9.00E-04							
585	8.28E-04							
586	7.61E-04							
587	6.97E-04							
588	6.37E-04							
589	6.05E-04							
590	5.81E-04							
591	5.61E-04							
592	5.38E-04							
593	5.29E-04							
594	5.07E-04							
595	4.93E-04							
596	4.91E-04							
597	0.000480733							
598	4.68E-04							
599	4.55E-04							
600	4.40E-04							
601	4.46E-04							
602	4.59E-04							
603	4.70E-04							
604	4.67E-04							
605	4.67E-04							
606	4.74E-04							
607	4.69E-04							
608	4.68E-04							
