OLIS-3D-ASCII	SySl1101
375	8.89E-03
376	9.06E-03
377	9.23E-03
378	9.42E-03
379	9.61E-03
380	9.79E-03
381	9.96E-03
382	1.01E-02
383	1.02E-02
384	1.03E-02
385	1.04E-02
386	0.010367929
387	1.04E-02
388	1.05E-02
389	1.05E-02
390	1.05E-02
391	1.05E-02
392	1.06E-02
393	1.07E-02
394	1.08E-02
395	0.011021329
396	1.12E-02
397	1.13E-02
398	1.15E-02
399	1.17E-02
400	1.19E-02
401	1.21E-02
402	1.22E-02
403	1.24E-02
404	1.26E-02
405	1.29E-02
406	1.32E-02
407	1.35E-02
408	1.39E-02
409	1.42E-02
410	1.45E-02
411	1.49E-02
412	0.015203376
413	1.55E-02
414	0.015744777
415	1.60E-02
416	1.62E-02
417	1.64E-02
418	1.66E-02
419	1.68E-02
420	1.69E-02
421	0.016966972
422	1.71E-02
423	1.71E-02
424	1.73E-02
425	0.017404431
426	0.017545626
427	1.77E-02
428	1.79E-02
429	1.81E-02
430	1.83E-02
431	1.86E-02
432	1.88E-02
433	1.90E-02
434	1.91E-02
435	1.92E-02
436	1.93E-02
437	1.94E-02
438	1.93E-02
439	1.92E-02
440	1.91E-02
441	1.88E-02
442	1.86E-02
443	1.83E-02
444	1.79E-02
445	1.75E-02
446	1.70E-02
447	1.66E-02
448	1.61E-02
449	1.57E-02
450	1.53E-02
451	1.49E-02
452	1.45E-02
453	1.42E-02
454	1.39E-02
455	1.37E-02
456	1.35E-02
457	1.33E-02
458	1.32E-02
459	1.30E-02
460	1.29E-02
461	1.28E-02
462	1.26E-02
463	1.24E-02
464	1.23E-02
465	1.21E-02
466	1.19E-02
467	1.18E-02
468	1.16E-02
469	0.011390223
470	1.12E-02
471	1.10E-02
472	1.08E-02
473	1.06E-02
474	1.05E-02
475	1.03E-02
476	1.01E-02
477	9.98E-03
478	9.90E-03
479	9.83E-03
480	9.78E-03
481	9.74E-03
482	9.74E-03
483	9.74E-03
484	9.75E-03
485	9.78E-03
486	9.79E-03
487	9.82E-03
488	9.87E-03
489	9.92E-03
490	9.97E-03
