OLIS-3D-ASCII	SySl1038			
375	-3.41E-03			
376	-3.12E-03			
377	-2.89E-03			
378	-2.71E-03			
379	-2.57E-03			
380	-2.47E-03			
381	-2.40E-03			
382	-2.36E-03			
383	-2.26E-03			
384	-2.23E-03			
385	-2.15E-03			
386	-2.03E-03			
387	-1.87E-03			
388	-1.74E-03			
389	-1.68E-03			
390	-1.62E-03			
391	-1.55E-03			
392	-1.45E-03			
393	-1.39E-03			
394	-1.36E-03			
395	-1.28E-03			
396	-1.28E-03			
397	-1.18E-03			
398	-1.11E-03			
399	-1.04E-03			
400	-9.65E-04			
401	-8.93E-04			
402	-8.34E-04			
403	-7.80E-04			
404	-7.53E-04			
405	-6.78E-04			
406	-6.18E-04			
407	-4.98E-04			
408	-4.35E-04			
409	-3.51E-04			
410	-3.07E-04			
411	-2.25E-04			
412	-1.17E-04			
413	-4.56E-05			
414	-1.04E-05			
415	3.01E-05			
416	7.05E-05			
417	9.60E-05			
418	1.44E-04			
419	2.14E-04			
420	2.32E-04			
421	2.65E-04			
422	3.13E-04			
423	3.70E-04			
424	4.26E-04			
425	4.68E-04			
426	4.97E-04			
427	5.45E-04			
428	5.80E-04			
429	6.00E-04			
430	6.40E-04			
431	6.70E-04			
432	6.92E-04			
433	7.40E-04			
434	7.76E-04			
435	8.04E-04			
436	8.29E-04			
437	8.35E-04			
438	8.46E-04			
439	8.58E-04			
440	8.43E-04			
441	8.21E-04			
442	7.95E-04			
443	7.68E-04			
444	7.65E-04			
445	7.25E-04			
446	6.79E-04			
447	6.52E-04			
448	6.10E-04			
449	5.55E-04			
450	5.19E-04			
451	4.82E-04			
452	4.27E-04			
453	3.90E-04			
454	3.71E-04			
455	3.49E-04			
456	3.45E-04			
457	3.29E-04			
458	3.31E-04			
459	3.38E-04			
460	3.42E-04			
461	3.40E-04			
462	3.36E-04			
463	3.49E-04			
464	3.34E-04			
465	3.24E-04			
466	3.24E-04			
467	3.11E-04			
468	3.09E-04			
469	3.18E-04			
470	3.13E-04			
471	3.10E-04			
472	3.14E-04			
473	3.22E-04			
474	3.18E-04			
475	3.25E-04			
476	3.19E-04			
477	3.19E-04			
478	3.18E-04			
479	3.22E-04			
480	3.22E-04			
481	3.34E-04			
482	3.38E-04			
483	3.56E-04			
484	3.69E-04			
485	3.87E-04			
486	4.03E-04			
487	4.23E-04			
488	4.52E-04			
489	4.78E-04			
490	4.98E-04			
491	5.25E-04			
492	5.33E-04			
493	5.54E-04			
494	5.76E-04			
495	5.99E-04			
496	6.10E-04			
497	6.27E-04			
498	6.44E-04			
499	6.62E-04			
500	6.90E-04			
501	6.95E-04			
502	7.07E-04			
503	7.25E-04			
504	7.30E-04			
505	7.37E-04			
506	7.54E-04			
507	7.73E-04			
508	7.81E-04			
509	7.95E-04			
510	8.12E-04			
511	8.26E-04			
512	8.57E-04			
513	8.70E-04			
514	8.96E-04			
515	9.22E-04			
516	9.48E-04			
517	9.63E-04			
518	9.96E-04			
519	1.03E-03			
520	1.06E-03			
521	1.08E-03			
522	1.12E-03			
523	1.15E-03			
524	1.19E-03			
525	1.22E-03			
526	1.26E-03			
527	1.29E-03			
528	1.32E-03			
529	1.34E-03			
530	1.37E-03			
531	1.40E-03			
532	1.43E-03			
533	1.46E-03			
534	1.50E-03			
535	1.52E-03			
536	1.55E-03			
537	1.60E-03			
538	1.64E-03			
539	1.65E-03			
540	1.68E-03			
541	0.001708004			
542	1.74E-03			
543	1.77E-03			
544	1.81E-03			
545	1.85E-03			
546	1.89E-03			
547	1.91E-03			
548	1.95E-03			
549	1.99E-03			
550	2.03E-03			
551	2.04E-03			
552	2.05E-03			
553	2.07E-03			
554	2.09E-03			
555	2.13E-03			
556	2.15E-03			
557	2.20E-03			
558	2.23E-03			
559	2.26E-03			
560	2.31E-03			
561	2.34E-03			
562	2.37E-03			
563	2.39E-03			
564	2.41E-03			
565	2.44E-03			
566	2.46E-03			
567	2.47E-03			
568	2.48E-03			
569	2.47E-03			
570	2.42E-03			
571	2.36E-03			
572	2.28E-03			
573	2.18E-03			
574	2.06E-03			
575	1.91E-03			
576	1.77E-03			
577	1.63E-03			
578	1.48E-03			
579	1.35E-03			
580	1.21E-03			
581	1.07E-03			
582	9.33E-04			
583	8.28E-04			
584	7.30E-04			
585	6.47E-04			
586	5.82E-04			
587	5.30E-04			
588	4.95E-04			
589	4.61E-04			
590	4.35E-04			
591	4.22E-04			
592	3.94E-04			
593	3.73E-04			
594	3.48E-04			
595	3.31E-04			
596	3.19E-04			
597	3.00E-04			
598	3.09E-04			
599	3.14E-04			
600	3.13E-04			
601	3.13E-04			
602	3.00E-04			
603	3.10E-04			
604	3.09E-04			
605	3.01E-04			
606	2.94E-04			
607	2.96E-04			
608	2.91E-04			
609	2.98E-04			
610	3.14E-04			
611	3.15E-04			
612	3.34E-04			
613	3.49E-04			
614	3.50E-04			
615	3.73E-04			
616	3.76E-04			
617	3.79E-04			
618	3.89E-04			
619	3.88E-04			
620	3.87E-04			
621	3.92E-04			
622	3.83E-04			
623	3.74E-04			
624	3.89E-04			
625	4.00E-04			
626	3.97E-04			
627	4.03E-04			
628	3.95E-04			
629	4.04E-04			
630	3.94E-04			
631	3.81E-04			
632	3.88E-04			
633	3.76E-04			
634	3.58E-04			
635	3.52E-04			
636	3.64E-04			
637	3.72E-04			
638	3.44E-04			
639	3.33E-04			
640	3.18E-04			
641	3.39E-04			
642	3.25E-04			
643	3.24E-04			
644	3.42E-04			
645	3.36E-04			
646	3.41E-04			
647	3.48E-04			
648	3.47E-04			
649	3.42E-04			
650	3.07E-04			
651	3.30E-04			
652	3.45E-04			
653	3.75E-04			
654	3.78E-04			
655	4.02E-04			
656	4.14E-04			
657	4.22E-04			
658	4.43E-04			
659	4.51E-04			
660	4.83E-04			
661	5.21E-04			
662	5.55E-04			
663	6.35E-04			
664	6.84E-04			
665	7.49E-04			
666	8.14E-04			
667	8.81E-04			
668	9.20E-04			
669	9.58E-04			
670	1.00E-03			
671	1.04E-03			
672	1.07E-03			
673	1.07E-03			
674	1.11E-03			
675	1.15E-03			
676	1.17E-03			
677	1.21E-03			
678	1.26E-03			
679	1.29E-03			
680	1.30E-03			
681	1.30E-03			
682	1.29E-03			
683	1.23E-03			
684	1.14E-03			
685	1.05E-03			
686	1.02E-03			
687	9.26E-04			
688	8.57E-04			
689	7.70E-04			
690	6.85E-04			
691	5.58E-04			
692	4.53E-04			
693	3.55E-04			
694	2.98E-04			
695	1.74E-04			
696	9.11E-05			
697	2.97E-05			
698	-2.60E-05			
699	-2.64E-05			
700	-9.41E-05			
701	-1.43E-04			
702	-1.78E-04			
703	-2.73E-04			
704	-3.65E-04			
705	-4.32E-04			
706	-4.81E-04			
707	-5.08E-04			
708	-5.05E-04			
709	-4.66E-04			
710	-3.85E-04			
