OLIS-3D-ASCII	SySl1036					
375	8.93E-03					
376	9.22E-03					
377	9.51E-03					
378	9.81E-03					
379	1.01E-02					
380	0.01035579					
381	1.06E-02					
382	1.07E-02					
383	1.08E-02					
384	1.09E-02					
385	1.09E-02					
386	1.09E-02					
387	1.09E-02					
388	1.09E-02					
389	1.09E-02					
390	1.10E-02					
391	1.11E-02					
392	1.11E-02					
393	1.13E-02					
394	1.14E-02					
395	1.15E-02					
396	0.011702342					
397	1.19E-02					
398	1.20E-02					
399	0.012198208					
400	1.24E-02					
401	1.26E-02					
402	1.29E-02					
403	1.31E-02					
404	0.013371554					
405	1.37E-02					
406	1.39E-02					
407	1.43E-02					
408	1.46E-02					
409	0.014956261					
410	1.53E-02					
411	1.56E-02					
412	1.59E-02					
413	1.62E-02					
414	0.016500275					
415	1.68E-02					
416	1.70E-02					
417	1.72E-02					
418	0.017346492					
419	1.75E-02					
420	1.76E-02					
421	1.78E-02					
422	0.017859726					
423	1.80E-02					
424	1.81E-02					
425	1.82E-02					
426	1.84E-02					
427	1.86E-02					
428	1.88E-02					
429	1.89E-02					
430	1.91E-02					
431	1.94E-02					
432	1.96E-02					
433	1.98E-02					
434	0.019920614					
435	2.00E-02					
436	2.01E-02					
437	0.020198902					
438	2.02E-02					
439	2.01E-02					
440	2.00E-02					
441	1.97E-02					
442	1.94E-02					
443	0.019108567					
444	1.87E-02					
445	1.82E-02					
446	1.77E-02					
447	1.71E-02					
448	1.66E-02					
449	1.60E-02					
450	1.55E-02					
451	1.51E-02					
452	0.014667288					
453	1.43E-02					
454	1.40E-02					
455	1.38E-02					
456	0.013552122					
457	1.34E-02					
458	1.32E-02					
459	1.30E-02					
460	1.29E-02					
461	1.27E-02					
462	1.26E-02					
463	1.24E-02					
464	1.23E-02					
465	0.012159673					
466	1.20E-02					
467	1.18E-02					
468	1.16E-02					
469	1.15E-02					
470	1.13E-02					
471	0.011063277					
472	1.09E-02					
473	1.07E-02					
474	1.05E-02					
475	0.010308359					
476	1.02E-02					
477	1.01E-02					
478	9.97E-03					
479	9.90E-03					
480	9.86E-03					
481	9.84E-03					
482	9.83E-03					
483	9.85E-03					
484	9.89E-03					
485	9.95E-03					
486	9.98E-03					
487	1.00E-02					
488	0.010149385					
489	0.010252991					
490	1.04E-02					
491	1.04E-02					
492	1.05E-02					
493	1.06E-02					
494	1.06E-02					
495	1.07E-02					
496	1.07E-02					
497	1.07E-02					
498	1.06E-02					
499	1.06E-02					
500	1.05E-02					
501	1.04E-02					
502	1.03E-02					
503	0.010157234					
504	9.98E-03					
505	9.81E-03					
506	9.65E-03					
507	9.48E-03					
508	9.28E-03					
509	9.08E-03					
510	8.88E-03					
511	8.69E-03					
512	8.50E-03					
513	8.34E-03					
514	8.16E-03					
515	8.01E-03					
516	7.86E-03					
517	7.73E-03					
518	7.61E-03					
519	7.48E-03					
520	7.34E-03					
521	7.24E-03					
522	7.14E-03					
523	7.06E-03					
524	6.98E-03					
525	6.93E-03					
526	6.88E-03					
527	6.85E-03					
528	6.84E-03					
529	6.84E-03					
530	6.83E-03					
531	6.84E-03					
532	6.85E-03					
533	6.87E-03					
534	6.88E-03					
535	6.93E-03					
536	6.97E-03					
537	7.01E-03					
538	7.05E-03					
539	7.12E-03					
540	7.19E-03					
541	7.24E-03					
542	7.32E-03					
543	7.39E-03					
544	7.45E-03					
545	7.51E-03					
546	7.59E-03					
547	7.69E-03					
548	7.77E-03					
549	7.83E-03					
550	7.89E-03					
551	7.98E-03					
552	8.06E-03					
553	8.14E-03					
554	8.24E-03					
555	8.33E-03					
556	8.42E-03					
557	8.51E-03					
558	8.60E-03					
559	8.69E-03					
560	8.79E-03					
561	8.88E-03					
562	8.99E-03					
563	9.13E-03					
564	9.24E-03					
565	9.37E-03					
566	9.46E-03					
567	9.51E-03					
568	9.51E-03					
569	9.46E-03					
570	9.33E-03					
571	9.15E-03					
572	8.92E-03					
573	8.62E-03					
574	8.27E-03					
575	7.90E-03					
576	7.48E-03					
577	7.07E-03					
578	0.006657204					
579	6.25E-03					
580	5.87E-03					
581	5.54E-03					
582	5.24E-03					
583	4.97E-03					
584	4.73E-03					
585	0.004519955					
586	4.34E-03					
587	4.19E-03					
588	4.06E-03					
589	0.003956417					
590	3.88E-03					
591	3.81E-03					
592	3.76E-03					
593	3.72E-03					
594	3.69E-03					
595	3.67E-03					
596	3.63E-03					
597	3.59E-03					
598	3.56E-03					
599	3.53E-03					
600	3.52E-03					
601	3.52E-03					
602	3.52E-03					
603	3.53E-03					
604	3.55E-03					
605	3.57E-03					
606	3.60E-03					
607	3.62E-03					
608	3.64E-03					
609	3.68E-03					
610	3.71E-03					
611	3.73E-03					
612	3.78E-03					
613	3.82E-03					
614	3.85E-03					
615	3.88E-03					
616	3.93E-03					
617	3.97E-03					
618	4.02E-03					
619	4.07E-03					
620	4.11E-03					
621	4.16E-03					
622	4.19E-03					
623	4.20E-03					
624	4.24E-03					
625	4.25E-03					
626	4.26E-03					
627	4.26E-03					
628	0.004254616					
629	4.26E-03					
630	4.24E-03					
631	4.23E-03					
632	4.21E-03					
633	4.18E-03					
634	4.13E-03					
635	4.09E-03					
636	4.06E-03					
637	4.01E-03					
638	3.99E-03					
639	3.96E-03					
640	3.93E-03					
641	3.91E-03					
642	3.87E-03					
643	3.85E-03					
644	3.83E-03					
645	3.80E-03					
646	3.79E-03					
647	3.79E-03					
648	3.79E-03					
649	3.80E-03					
650	3.84E-03					
651	3.90E-03					
652	3.96E-03					
653	4.04E-03					
654	4.17E-03					
655	4.33E-03					
656	4.53E-03					
657	4.76E-03					
658	5.05E-03					
659	5.37E-03					
660	5.72E-03					
661	6.09E-03					
662	6.53E-03					
663	6.99E-03					
664	7.48E-03					
665	7.96E-03					
666	8.46E-03					
667	8.96E-03					
668	9.45E-03					
669	9.91E-03					
670	1.03E-02					
671	1.08E-02					
672	1.12E-02					
673	1.16E-02					
674	1.21E-02					
675	1.25E-02					
676	1.29E-02					
677	1.32E-02					
678	1.36E-02					
679	1.39E-02					
680	1.41E-02					
681	1.41E-02					
682	1.39E-02					
683	1.36E-02					
684	1.31E-02					
685	1.26E-02					
686	1.19E-02					
687	1.11E-02					
688	1.02E-02					
689	9.44E-03					
690	8.67E-03					
691	7.88E-03					
692	7.15E-03					
693	6.44E-03					
694	5.79E-03					
695	5.21E-03					
696	4.67E-03					
697	4.17E-03					
698	3.72E-03					
699	3.34E-03					
700	2.96E-03					
701	2.68E-03					
702	2.43E-03					
703	2.16E-03					
704	1.88E-03					
705	1.63E-03					
706	1.39E-03					
707	1.17E-03					
708	9.60E-04					
709	7.62E-04					
710	5.76E-04					
