OLIS-3D-ASCII	SySl1270
375	6.75E-03
376	7.05E-03
377	7.35E-03
378	7.65E-03
379	7.94E-03
380	8.22E-03
381	8.46E-03
382	8.62E-03
383	8.73E-03
384	8.88E-03
385	9.00E-03
386	9.08E-03
387	9.21E-03
388	9.23E-03
389	9.31E-03
390	9.38E-03
391	9.46E-03
392	9.52E-03
393	9.61E-03
394	9.65E-03
395	9.74E-03
396	9.92E-03
397	1.00E-02
398	1.02E-02
399	1.04E-02
400	1.06E-02
401	1.08E-02
402	1.10E-02
403	1.13E-02
404	1.16E-02
405	1.18E-02
406	1.21E-02
407	1.24E-02
408	1.27E-02
409	1.30E-02
410	1.34E-02
411	1.37E-02
412	1.41E-02
413	1.44E-02
414	1.47E-02
415	1.50E-02
416	1.53E-02
417	1.55E-02
418	1.57E-02
419	1.59E-02
420	1.60E-02
421	1.62E-02
422	1.64E-02
423	1.65E-02
424	1.66E-02
425	1.67E-02
426	1.69E-02
427	1.71E-02
428	1.72E-02
429	1.74E-02
430	1.77E-02
431	1.79E-02
432	1.82E-02
433	1.85E-02
434	1.87E-02
435	1.89E-02
436	1.90E-02
437	1.91E-02
438	1.91E-02
439	1.91E-02
440	1.89E-02
441	0.018773984
442	1.85E-02
443	1.82E-02
444	1.79E-02
445	1.75E-02
446	1.70E-02
447	1.65E-02
448	1.60E-02
449	1.54E-02
450	1.49E-02
451	0.014386717
452	1.39E-02
453	1.35E-02
454	0.013196963
455	1.29E-02
456	1.27E-02
457	1.25E-02
458	1.24E-02
459	1.22E-02
460	1.21E-02
461	0.01195326
462	1.18E-02
463	1.17E-02
464	1.16E-02
465	1.15E-02
466	1.13E-02
467	1.12E-02
468	1.10E-02
469	1.09E-02
470	1.07E-02
471	1.05E-02
472	1.03E-02
473	1.01E-02
474	9.98E-03
475	9.83E-03
476	9.71E-03
477	9.60E-03
478	9.53E-03
479	9.46E-03
480	9.43E-03
481	9.41E-03
482	9.42E-03
483	9.44E-03
484	9.46E-03
485	9.51E-03
486	9.54E-03
487	9.61E-03
488	9.67E-03
489	9.74E-03
490	9.80E-03
491	9.88E-03
492	9.92E-03
493	9.95E-03
494	9.97E-03
495	9.98E-03
496	9.96E-03
497	9.91E-03
498	9.82E-03
499	9.71E-03
500	9.59E-03
501	9.43E-03
502	9.26E-03
503	9.07E-03
504	8.84E-03
505	8.60E-03
506	8.35E-03
507	8.09E-03
