OLIS-3D-ASCII	SySl1040	
690	1.39E-03	
691	1.23E-03	
692	1.10E-03	
693	9.11E-04	
694	8.22E-04	
695	6.87E-04	
696	5.54E-04	
697	5.11E-04	
698	4.14E-04	
699	4.16E-04	
700	3.60E-04	
701	3.43E-04	
702	2.46E-04	
703	1.43E-04	
704	5.48E-05	
705	-3.97E-05	
706	-1.16E-04	
707	-1.65E-04	
708	-1.75E-04	
709	-1.38E-04	
710	-4.43E-05	
