OLIS-3D-ASCII	SySl1037				
694	4.37E-03				
695	3.94E-03				
696	3.50E-03				
697	3.18E-03				
698	2.82E-03				
699	2.52E-03				
700	2.17E-03				
701	1.93E-03				
702	1.64E-03				
703	1.40E-03				
704	1.18E-03				
705	9.79E-04				
706	7.99E-04				
707	6.37E-04				
708	4.90E-04				
709	3.56E-04				
710	2.34E-04				
