OLIS-3D-ASCII	SySl1035						
375	6.67E-03						
376	6.98E-03						
377	7.23E-03						
378	7.42E-03						
379	7.57E-03						
380	7.68E-03						
381	7.75E-03						
382	7.80E-03						
383	7.81E-03						
384	7.84E-03						
385	7.94E-03						
386	8.01E-03						
387	8.03E-03						
388	8.07E-03						
389	8.10E-03						
390	8.24E-03						
391	8.25E-03						
392	8.27E-03						
393	8.32E-03						
394	8.40E-03						
395	8.47E-03						
396	8.56E-03						
397	8.67E-03						
398	0.008777335						
399	8.87E-03						
400	9.00E-03						
401	9.11E-03						
402	9.27E-03						
403	9.35E-03						
404	9.55E-03						
405	9.72E-03						
406	9.96E-03						
407	1.02E-02						
408	1.04E-02						
409	1.06E-02						
410	1.08E-02						
411	0.010968044						
412	1.12E-02						
413	1.13E-02						
414	1.15E-02						
415	1.17E-02						
416	1.18E-02						
417	1.19E-02						
418	0.012051948						
419	0.012169324						
420	1.23E-02						
421	1.23E-02						
422	1.24E-02						
423	1.24E-02						
424	1.24E-02						
425	1.25E-02						
426	1.26E-02						
427	1.26E-02						
428	1.27E-02						
429	0.012806774						
430	1.29E-02						
431	1.31E-02						
432	1.32E-02						
433	1.33E-02						
434	1.34E-02						
435	1.34E-02						
436	1.35E-02						
437	1.35E-02						
438	0.013448783						
439	1.33E-02						
440	1.32E-02						
441	1.30E-02						
442	0.012749161						
443	1.25E-02						
444	0.012099782						
445	1.17E-02						
446	1.13E-02						
447	0.010927221						
448	1.05E-02						
449	0.010123207						
450	9.78E-03						
451	9.44E-03						
452	9.15E-03						
453	8.92E-03						
454	8.71E-03						
455	8.54E-03						
456	8.38E-03						
457	8.26E-03						
458	8.18E-03						
459	8.07E-03						
460	7.97E-03						
461	7.89E-03						
462	7.81E-03						
463	7.73E-03						
464	7.63E-03						
465	0.007557173						
466	7.47E-03						
467	7.39E-03						
468	7.31E-03						
469	7.22E-03						
470	7.11E-03						
471	7.01E-03						
472	6.89E-03						
473	6.81E-03						
474	6.73E-03						
475	6.64E-03						
476	6.57E-03						
477	6.53E-03						
478	6.50E-03						
479	6.49E-03						
480	6.50E-03						
481	6.53E-03						
482	6.55E-03						
483	6.60E-03						
484	6.66E-03						
485	6.75E-03						
486	6.83E-03						
487	6.92E-03						
488	7.02E-03						
489	7.11E-03						
490	7.21E-03						
491	7.32E-03						
492	7.44E-03						
493	7.54E-03						
494	7.63E-03						
495	7.73E-03						
496	7.85E-03						
497	7.95E-03						
498	8.06E-03						
499	8.14E-03						
500	8.20E-03						
501	8.26E-03						
502	8.32E-03						
503	8.37E-03						
504	8.40E-03						
505	8.43E-03						
506	8.46E-03						
507	8.48E-03						
508	8.51E-03						
509	8.53E-03						
510	8.57E-03						
511	8.61E-03						
512	8.65E-03						
513	8.70E-03						
514	8.78E-03						
515	8.87E-03						
516	8.96E-03						
517	9.07E-03						
518	9.20E-03						
519	9.29E-03						
520	9.41E-03						
521	9.55E-03						
522	9.68E-03						
523	9.82E-03						
524	9.93E-03						
525	1.01E-02						
526	1.02E-02						
527	1.03E-02						
528	1.05E-02						
529	0.010637528						
530	1.08E-02						
531	1.09E-02						
532	1.11E-02						
533	1.12E-02						
534	1.14E-02						
535	1.16E-02						
536	1.17E-02						
537	1.19E-02						
538	1.20E-02						
539	1.22E-02						
540	1.24E-02						
541	1.26E-02						
542	1.27E-02						
543	1.30E-02						
544	1.31E-02						
545	1.33E-02						
546	0.01351894						
547	1.37E-02						
548	1.39E-02						
549	1.40E-02						
550	1.42E-02						
551	0.014325833						
552	1.45E-02						
553	1.46E-02						
554	1.48E-02						
555	1.50E-02						
556	1.52E-02						
557	1.54E-02						
558	1.56E-02						
559	1.58E-02						
560	1.60E-02						
561	1.62E-02						
562	1.64E-02						
563	1.66E-02						
564	1.68E-02						
565	1.69E-02						
566	1.70E-02						
567	1.71E-02						
568	1.70E-02						
569	1.69E-02						
570	1.66E-02						
571	1.62E-02						
572	1.56E-02						
573	1.49E-02						
574	1.41E-02						
575	1.32E-02						
576	1.23E-02						
577	0.011319632						
578	1.04E-02						
579	9.47E-03						
580	8.61E-03						
581	7.83E-03						
582	7.13E-03						
583	6.51E-03						
584	5.97E-03						
585	5.51E-03						
586	5.11E-03						
587	4.78E-03						
588	4.49E-03						
589	4.26E-03						
590	4.08E-03						
591	3.93E-03						
592	3.80E-03						
593	3.69E-03						
594	3.61E-03						
595	3.54E-03						
596	3.49E-03						
597	3.44E-03						
598	3.40E-03						
599	3.37E-03						
600	3.35E-03						
601	3.33E-03						
602	3.32E-03						
603	3.30E-03						
604	3.29E-03						
605	3.29E-03						
606	3.30E-03						
607	3.32E-03						
608	3.34E-03						
609	3.37E-03						
610	3.40E-03						
611	3.43E-03						
612	3.47E-03						
613	3.51E-03						
614	3.53E-03						
615	3.56E-03						
616	3.60E-03						
617	3.63E-03						
618	3.67E-03						
619	3.69E-03						
620	3.72E-03						
621	3.75E-03						
622	3.75E-03						
623	3.76E-03						
624	3.79E-03						
625	3.79E-03						
626	3.77E-03						
627	3.76E-03						
628	3.77E-03						
629	3.77E-03						
630	3.78E-03						
631	3.77E-03						
632	3.77E-03						
633	3.76E-03						
634	3.73E-03						
635	3.70E-03						
636	3.67E-03						
637	3.61E-03						
638	3.53E-03						
639	3.50E-03						
640	3.45E-03						
641	3.39E-03						
642	3.33E-03						
643	3.30E-03						
644	3.29E-03						
645	3.29E-03						
646	3.30E-03						
647	0.003328911						
648	0.003349676						
649	3.38E-03						
650	3.42E-03						
651	3.49E-03						
652	3.54E-03						
653	3.60E-03						
654	3.71E-03						
655	3.83E-03						
656	3.98E-03						
657	4.15E-03						
658	4.36E-03						
659	4.62E-03						
660	4.88E-03						
661	5.20E-03						
662	5.54E-03						
663	5.93E-03						
664	6.29E-03						
665	6.67E-03						
666	7.05E-03						
667	7.40E-03						
668	7.75E-03						
669	8.04E-03						
670	8.32E-03						
671	8.62E-03						
672	8.92E-03						
673	9.23E-03						
674	9.51E-03						
675	9.85E-03						
676	1.01E-02						
677	1.04E-02						
678	1.07E-02						
679	1.09E-02						
680	1.10E-02						
681	1.09E-02						
682	1.08E-02						
683	0.010525744						
684	1.01E-02						
685	9.67E-03						
686	9.11E-03						
687	8.53E-03						
688	7.90E-03						
689	7.33E-03						
690	6.72E-03						
691	6.14E-03						
692	5.62E-03						
693	5.11E-03						
694	4.66E-03						
695	4.20E-03						
696	3.80E-03						
697	3.44E-03						
698	3.18E-03						
699	2.99E-03						
700	2.76E-03						
701	2.63E-03						
702	2.49E-03						
