OLIS-3D-ASCII	SySl1042							
375	4.29E-03							
376	4.35E-03							
377	4.39E-03							
378	4.43E-03							
379	4.47E-03							
380	4.50E-03							
381	4.54E-03							
382	4.60E-03							
383	4.64E-03							
384	4.59E-03							
385	4.64E-03							
386	4.76E-03							
387	4.77E-03							
388	4.78E-03							
389	4.70E-03							
390	4.76E-03							
391	0.004783066							
392	4.89E-03							
393	4.98E-03							
394	5.10E-03							
395	5.13E-03							
396	5.13E-03							
397	5.18E-03							
398	5.21E-03							
399	5.21E-03							
400	5.23E-03							
401	5.27E-03							
402	5.34E-03							
403	5.41E-03							
404	5.55E-03							
405	5.66E-03							
406	5.82E-03							
407	5.90E-03							
408	6.01E-03							
409	6.11E-03							
410	6.23E-03							
411	6.36E-03							
412	6.48E-03							
413	6.62E-03							
414	6.73E-03							
415	6.87E-03							
416	6.97E-03							
417	7.04E-03							
418	0.007079482							
419	7.11E-03							
420	7.14E-03							
421	7.12E-03							
422	7.13E-03							
423	7.17E-03							
424	7.19E-03							
425	7.25E-03							
426	7.33E-03							
427	7.42E-03							
428	7.46E-03							
429	7.53E-03							
430	7.61E-03							
431	7.71E-03							
432	7.78E-03							
433	7.83E-03							
434	7.87E-03							
435	7.94E-03							
436	7.99E-03							
437	8.02E-03							
438	8.02E-03							
439	7.96E-03							
440	7.85E-03							
441	7.73E-03							
442	7.61E-03							
443	7.43E-03							
444	7.24E-03							
445	7.02E-03							
446	6.77E-03							
447	6.54E-03							
448	6.32E-03							
449	6.08E-03							
450	5.85E-03							
451	5.62E-03							
452	5.42E-03							
453	5.25E-03							
454	5.12E-03							
455	4.99E-03							
456	4.89E-03							
457	4.79E-03							
458	4.72E-03							
459	4.68E-03							
460	4.63E-03							
461	4.57E-03							
462	4.52E-03							
463	4.47E-03							
464	4.44E-03							
465	4.39E-03							
466	4.35E-03							
467	4.31E-03							
468	4.26E-03							
469	4.20E-03							
470	4.16E-03							
471	4.12E-03							
472	4.06E-03							
473	4.02E-03							
474	4.00E-03							
475	3.95E-03							
476	3.94E-03							
477	3.91E-03							
478	0.003901531							
479	3.88E-03							
480	3.89E-03							
481	3.90E-03							
482	3.93E-03							
483	3.95E-03							
484	3.98E-03							
485	4.03E-03							
486	4.10E-03							
487	4.16E-03							
488	4.24E-03							
489	4.30E-03							
490	4.38E-03							
491	4.46E-03							
492	4.55E-03							
493	4.63E-03							
494	4.71E-03							
495	4.77E-03							
496	4.84E-03							
497	4.93E-03							
498	5.01E-03							
499	5.08E-03							
500	5.15E-03							
501	5.21E-03							
502	5.29E-03							
503	5.35E-03							
504	5.41E-03							
505	5.46E-03							
506	5.52E-03							
507	5.57E-03							
508	0.005621633							
509	5.68E-03							
510	5.73E-03							
511	5.81E-03							
512	5.90E-03							
513	5.98E-03							
514	6.09E-03							
515	6.19E-03							
516	6.28E-03							
517	6.39E-03							
518	6.50E-03							
519	6.62E-03							
520	6.73E-03							
521	6.85E-03							
522	6.96E-03							
523	7.08E-03							
524	7.18E-03							
525	7.28E-03							
526	7.40E-03							
527	7.51E-03							
528	7.62E-03							
529	7.75E-03							
530	7.89E-03							
531	8.04E-03							
532	8.18E-03							
533	8.33E-03							
534	8.46E-03							
535	8.60E-03							
536	8.71E-03							
537	8.84E-03							
538	8.96E-03							
539	9.09E-03							
540	9.21E-03							
541	9.32E-03							
542	9.44E-03							
543	9.58E-03							
544	9.72E-03							
545	9.85E-03							
546	1.00E-02							
547	1.01E-02							
548	1.03E-02							
549	1.04E-02							
550	1.05E-02							
551	1.06E-02							
552	0.010739619							
553	1.09E-02							
554	1.10E-02							
555	1.11E-02							
556	1.12E-02							
557	1.14E-02							
558	1.15E-02							
559	1.16E-02							
560	1.18E-02							
561	1.19E-02							
562	1.21E-02							
563	0.012218027							
564	1.23E-02							
565	1.25E-02							
566	1.26E-02							
567	1.26E-02							
568	1.26E-02							
569	1.26E-02							
570	1.24E-02							
571	1.21E-02							
572	0.011766646							
573	0.011310487							
574	1.08E-02							
575	0.010125643							
576	9.44E-03							
577	8.72E-03							
578	8.00E-03							
579	7.28E-03							
580	6.62E-03							
581	5.99E-03							
582	5.45E-03							
583	4.93E-03							
584	4.50E-03							
585	4.14E-03							
586	0.00381346							
587	3.53E-03							
588	3.30E-03							
589	3.09E-03							
590	2.92E-03							
591	2.78E-03							
592	2.67E-03							
593	2.57E-03							
594	2.51E-03							
595	2.43E-03							
596	2.38E-03							
597	2.33E-03							
598	2.30E-03							
599	2.27E-03							
600	2.24E-03							
601	2.22E-03							
602	2.21E-03							
603	2.21E-03							
604	2.23E-03							
605	2.24E-03							
606	2.25E-03							
607	2.26E-03							
608	2.26E-03							
609	2.27E-03							
610	2.29E-03							
611	2.31E-03							
612	2.33E-03							
613	2.36E-03							
614	2.38E-03							
615	2.41E-03							
616	2.43E-03							
617	2.47E-03							
618	2.47E-03							
619	2.49E-03							
620	2.49E-03							
621	2.49E-03							
622	2.50E-03							
623	2.52E-03							
624	2.54E-03							
625	2.55E-03							
626	2.56E-03							
627	2.57E-03							
628	2.59E-03							
629	2.60E-03							
630	2.58E-03							
631	2.57E-03							
632	2.54E-03							
633	2.53E-03							
