OLIS-3D-ASCII	SySl1098							
375	2.39E-03							
376	2.36E-03							
377	2.36E-03							
378	2.38E-03							
379	2.41E-03							
380	2.45E-03							
381	2.49E-03							
382	2.51E-03							
383	2.54E-03							
384	2.55E-03							
385	2.58E-03							
386	2.58E-03							
387	2.51E-03							
388	2.45E-03							
389	2.35E-03							
390	2.33E-03							
391	2.35E-03							
392	2.29E-03							
393	2.31E-03							
394	2.30E-03							
395	2.32E-03							
396	2.29E-03							
397	2.36E-03							
398	2.33E-03							
399	2.35E-03							
400	2.38E-03							
401	2.37E-03							
402	2.39E-03							
403	2.38E-03							
404	2.39E-03							
405	2.44E-03							
406	2.47E-03							
407	2.53E-03							
408	2.54E-03							
409	2.63E-03							
410	2.69E-03							
411	2.74E-03							
412	2.78E-03							
413	2.83E-03							
414	2.84E-03							
415	2.87E-03							
416	2.90E-03							
417	2.91E-03							
418	2.90E-03							
419	2.89E-03							
420	2.88E-03							
421	2.86E-03							
422	2.85E-03							
423	2.84E-03							
424	2.86E-03							
425	2.89E-03							
426	2.91E-03							
427	2.93E-03							
428	2.96E-03							
429	2.97E-03							
430	2.97E-03							
431	2.98E-03							
432	3.00E-03							
433	3.01E-03							
434	3.03E-03							
435	3.05E-03							
436	3.07E-03							
437	3.08E-03							
438	3.08E-03							
439	3.05E-03							
440	3.03E-03							
441	2.96E-03							
442	2.93E-03							
443	2.86E-03							
444	2.79E-03							
445	2.71E-03							
446	2.62E-03							
447	2.52E-03							
448	2.43E-03							
449	2.32E-03							
450	2.23E-03							
451	2.14E-03							
452	2.06E-03							
453	1.99E-03							
454	1.93E-03							
455	1.86E-03							
456	1.83E-03							
457	1.79E-03							
458	1.73E-03							
459	1.69E-03							
460	1.67E-03							
461	1.66E-03							
462	1.64E-03							
463	1.61E-03							
464	1.61E-03							
465	1.58E-03							
466	1.54E-03							
467	1.51E-03							
468	1.48E-03							
469	1.45E-03							
470	1.41E-03							
471	1.39E-03							
472	1.38E-03							
473	1.37E-03							
474	1.35E-03							
475	1.32E-03							
476	1.31E-03							
477	1.29E-03							
478	1.27E-03							
479	1.25E-03							
480	1.23E-03							
