OLIS-3D-ASCII	SySl1319				
375	2.44E-03				
376	2.20E-03				
377	2.10E-03				
378	2.11E-03				
379	2.20E-03				
380	2.35E-03				
381	2.51E-03				
382	2.61E-03				
383	2.71E-03				
384	2.74E-03				
385	2.67E-03				
386	2.63E-03				
387	2.61E-03				
388	2.56E-03				
389	2.51E-03				
390	2.54E-03				
391	2.57E-03				
392	2.58E-03				
393	2.60E-03				
394	2.59E-03				
395	2.65E-03				
396	2.68E-03				
397	2.72E-03				
398	2.74E-03				
399	2.76E-03				
400	2.79E-03				
401	2.84E-03				
402	2.91E-03				
403	2.98E-03				
404	3.02E-03				
405	3.06E-03				
406	3.15E-03				
407	3.27E-03				
408	3.37E-03				
409	3.46E-03				
410	3.61E-03				
411	3.73E-03				
412	3.88E-03				
413	4.02E-03				
414	4.14E-03				
415	4.24E-03				
416	4.29E-03				
417	4.31E-03				
418	4.32E-03				
419	4.33E-03				
420	4.34E-03				
421	4.35E-03				
422	4.40E-03				
423	4.45E-03				
424	4.52E-03				
425	4.59E-03				
426	4.67E-03				
427	4.75E-03				
428	4.79E-03				
429	4.82E-03				
430	4.91E-03				
431	4.99E-03				
432	5.07E-03				
433	5.13E-03				
434	5.21E-03				
435	5.27E-03				
436	0.005318371				
437	5.35E-03				
438	5.37E-03				
439	0.005351497				
440	5.28E-03				
441	5.21E-03				
442	5.15E-03				
443	5.02E-03				
444	4.87E-03				
445	4.68E-03				
446	4.50E-03				
447	4.30E-03				
448	4.13E-03				
449	3.95E-03				
450	3.80E-03				
451	3.65E-03				
452	3.49E-03				
453	3.38E-03				
454	3.27E-03				
455	3.16E-03				
456	3.08E-03				
457	2.99E-03				
458	2.93E-03				
459	2.86E-03				
460	2.81E-03				
461	2.75E-03				
462	2.70E-03				
463	2.64E-03				
464	2.58E-03				
465	2.53E-03				
466	2.47E-03				
467	2.42E-03				
468	2.37E-03				
469	2.33E-03				
470	2.30E-03				
471	2.28E-03				
472	2.24E-03				
473	2.21E-03				
474	2.20E-03				
475	2.19E-03				
476	2.18E-03				
477	2.16E-03				
478	2.15E-03				
479	2.15E-03				
480	2.15E-03				
481	2.16E-03				
482	2.17E-03				
483	2.17E-03				
484	2.16E-03				
485	2.16E-03				
486	2.15E-03				
487	2.13E-03				
488	2.11E-03				
489	2.08E-03				
490	2.06E-03				
491	2.06E-03				
492	2.03E-03				
493	2.01E-03				
494	1.99E-03				
495	1.96E-03				
496	1.93E-03				
497	1.88E-03				
498	1.83E-03				
499	1.77E-03				
500	1.72E-03				
501	1.66E-03				
502	1.61E-03				
503	1.57E-03				
504	1.52E-03				
505	1.46E-03				
506	1.41E-03				
507	1.36E-03				
508	1.32E-03				
509	1.26E-03				
510	1.23E-03				
511	1.18E-03				
512	1.13E-03				
513	1.09E-03				
514	1.06E-03				
515	1.04E-03				
516	1.00E-03				
517	9.77E-04				
518	9.47E-04				
519	9.31E-04				
520	8.93E-04				
521	8.46E-04				
