OLIS-3D-ASCII	SySl1319				
375	1.27E-02				
376	1.30E-02				
377	1.32E-02				
378	1.33E-02				
379	0.013465975				
380	1.36E-02				
381	1.37E-02				
382	0.013814564				
383	1.38E-02				
384	1.37E-02				
385	0.013706716				
386	0.013695125				
387	1.36E-02				
388	1.36E-02				
389	1.36E-02				
390	1.36E-02				
391	1.37E-02				
392	0.013731784				
393	1.38E-02				
394	1.41E-02				
395	1.42E-02				
396	1.44E-02				
397	1.46E-02				
398	1.48E-02				
399	1.50E-02				
400	1.53E-02				
401	1.56E-02				
402	1.59E-02				
403	0.016148104				
404	1.65E-02				
405	1.69E-02				
406	1.74E-02				
407	1.78E-02				
408	1.83E-02				
409	1.87E-02				
410	1.92E-02				
411	1.97E-02				
412	2.01E-02				
413	2.06E-02				
414	2.10E-02				
415	0.021467088				
416	2.19E-02				
417	2.23E-02				
418	2.27E-02				
419	2.30E-02				
420	0.023415536				
421	2.38E-02				
422	2.42E-02				
423	2.46E-02				
424	2.51E-02				
425	2.54E-02				
426	2.58E-02				
427	2.63E-02				
428	2.67E-02				
429	2.71E-02				
430	2.74E-02				
431	2.79E-02				
432	2.83E-02				
433	2.86E-02				
434	2.90E-02				
435	2.93E-02				
436	2.95E-02				
437	2.97E-02				
438	2.98E-02				
439	2.99E-02				
440	2.99E-02				
441	2.99E-02				
442	2.98E-02				
443	0.029785065				
444	2.97E-02				
445	2.96E-02				
446	0.029438099				
447	2.93E-02				
448	2.91E-02				
449	2.90E-02				
450	2.88E-02				
451	2.87E-02				
452	2.86E-02				
453	2.84E-02				
454	2.83E-02				
455	0.0282387				
456	2.82E-02				
457	2.80E-02				
458	2.79E-02				
459	2.78E-02				
460	2.76E-02				
461	2.74E-02				
462	2.72E-02				
463	0.0270076				
464	2.68E-02				
465	2.66E-02				
466	2.63E-02				
467	2.61E-02				
468	2.60E-02				
469	0.025839195				
470	2.57E-02				
471	2.56E-02				
472	2.56E-02				
473	2.56E-02				
474	2.57E-02				
475	0.025751202				
476	2.59E-02				
477	2.61E-02				
478	2.62E-02				
479	2.64E-02				
480	2.67E-02				
481	2.68E-02				
482	2.70E-02				
483	2.71E-02				
484	2.73E-02				
485	2.73E-02				
486	2.73E-02				
487	2.72E-02				
488	2.71E-02				
489	2.69E-02				
490	2.66E-02				
491	2.63E-02				
492	0.026017677				
493	2.57E-02				
494	2.53E-02				
495	0.02482723				
496	2.44E-02				
497	2.39E-02				
498	2.35E-02				
499	2.31E-02				
500	2.26E-02				
501	2.22E-02				
502	2.18E-02				
503	2.15E-02				
504	2.11E-02				
505	2.09E-02				
506	0.020555213				
507	2.03E-02				
508	2.01E-02				
509	2.00E-02				
510	1.99E-02				
511	1.99E-02				
512	1.98E-02				
513	1.98E-02				
514	1.99E-02				
515	1.99E-02				
516	1.99E-02				
517	1.99E-02				
518	1.98E-02				
519	0.019673566				
520	1.95E-02				
521	0.019376753				
522	1.91E-02				
523	1.89E-02				
524	1.85E-02				
525	1.81E-02				
526	1.77E-02				
527	1.72E-02				
528	1.66E-02				
529	1.60E-02				
530	1.54E-02				
531	1.48E-02				
532	1.41E-02				
533	1.35E-02				
534	1.28E-02				
535	1.21E-02				
536	0.011419739				
537	1.07E-02				
538	1.01E-02				
539	9.39E-03				
540	8.75E-03				
541	8.14E-03				
542	7.56E-03				
543	7.03E-03				
544	6.53E-03				
545	6.07E-03				
546	5.65E-03				
547	5.26E-03				
548	4.89E-03				
549	4.54E-03				
550	4.21E-03				
551	3.93E-03				
552	3.66E-03				
553	3.41E-03				
554	3.19E-03				
555	2.98E-03				
556	2.79E-03				
557	2.65E-03				
558	2.51E-03				
559	2.36E-03				
560	2.25E-03				
561	2.15E-03				
562	2.07E-03				
563	1.99E-03				
564	1.90E-03				
565	1.83E-03				
566	1.77E-03				
567	1.72E-03				
568	1.67E-03				
569	1.64E-03				
570	1.60E-03				
571	1.59E-03				
572	1.59E-03				
573	1.60E-03				
574	1.60E-03				
575	1.60E-03				
576	1.59E-03				
577	0.001580967				
578	1.58E-03				
579	1.58E-03				
580	1.58E-03				
581	1.58E-03				
582	1.58E-03				
583	1.60E-03				
584	1.62E-03				
585	1.63E-03				
586	1.63E-03				
587	1.63E-03				
588	1.64E-03				
589	1.65E-03				
590	1.65E-03				
591	1.65E-03				
592	1.65E-03				
593	1.66E-03				
594	1.67E-03				
595	1.69E-03				
596	1.71E-03				
597	1.70E-03				
598	1.70E-03				
599	1.72E-03				
600	1.74E-03				
601	1.76E-03				
602	1.77E-03				
603	1.78E-03				
604	1.81E-03				
605	1.85E-03				
606	1.89E-03				
607	1.94E-03				
608	1.98E-03				
609	2.02E-03				
610	2.08E-03				
611	2.15E-03				
612	2.22E-03				
613	2.29E-03				
614	2.35E-03				
615	2.42E-03				
616	2.50E-03				
617	2.57E-03				
618	2.63E-03				
619	2.70E-03				
620	2.76E-03				
621	2.80E-03				
622	2.86E-03				
623	2.89E-03				
624	2.94E-03				
625	2.95E-03				
626	2.97E-03				
627	2.98E-03				
628	3.00E-03				
629	3.00E-03				
630	2.99E-03				
631	3.00E-03				
632	2.97E-03				
633	2.96E-03				
634	2.96E-03				
635	2.93E-03				
636	2.93E-03				
637	2.89E-03				
638	2.86E-03				
639	2.82E-03				
640	2.78E-03				
641	2.74E-03				
642	2.69E-03				
643	2.66E-03				
644	2.62E-03				
645	2.63E-03				
646	2.64E-03				
647	2.65E-03				
648	2.67E-03				
649	2.69E-03				
650	2.72E-03				
651	2.77E-03				
652	2.80E-03				
653	2.89E-03				
654	2.98E-03				
655	3.10E-03				
656	3.23E-03				
657	3.40E-03				
658	3.56E-03				
659	3.80E-03				
660	4.04E-03				
661	4.34E-03				
662	4.68E-03				
663	5.04E-03				
664	5.44E-03				
665	5.86E-03				
666	6.28E-03				
667	6.76E-03				
668	7.21E-03				
669	7.62E-03				
670	8.03E-03				
671	8.42E-03				
672	8.77E-03				
673	9.12E-03				
674	9.39E-03				
675	9.62E-03				
676	9.82E-03				
677	9.90E-03				
678	1.00E-02				
679	0.010048278				
680	9.99E-03				
681	9.82E-03				
682	9.58E-03				
683	9.24E-03				
684	8.82E-03				
685	8.31E-03				
686	7.69E-03				
687	7.03E-03				
688	6.36E-03				
689	5.62E-03				
690	4.99E-03				
691	4.38E-03				
692	3.84E-03				
693	3.30E-03				
694	2.81E-03				
695	2.39E-03				
696	2.04E-03				
697	1.69E-03				
698	1.35E-03				
699	1.12E-03				
700	9.27E-04				
701	7.46E-04				
702	5.89E-04				
703	4.41E-04				
704	2.68E-04				
705	4.98E-05				
706	-1.82E-04				
707	-4.26E-04				
708	-6.79E-04				
709	-9.39E-04				
710	-1.20E-03				
