OLIS-3D-ASCII	SySl1042							
694	4.69E-03							
695	4.23E-03							
696	3.78E-03							
697	3.40E-03							
698	3.04E-03							
699	2.77E-03							
700	2.50E-03							
701	2.30E-03							
702	2.02E-03							
703	1.87E-03							
704	1.68E-03							
705	1.49E-03							
706	1.35E-03							
707	1.26E-03							
708	1.25E-03							
709	1.33E-03							
710	1.51E-03							
