OLIS-3D-ASCII	SySl1039		
375	-2.53E-03		
376	-2.40E-03		
377	-2.30E-03		
378	-2.22E-03		
379	-2.16E-03		
380	-2.10E-03		
381	-2.05E-03		
382	-1.97E-03		
383	-1.88E-03		
384	-1.80E-03		
385	-1.70E-03		
386	-1.58E-03		
387	-1.43E-03		
388	-1.28E-03		
389	-1.14E-03		
390	-1.06E-03		
391	-9.63E-04		
392	-8.89E-04		
393	-7.88E-04		
394	-7.40E-04		
395	-6.95E-04		
396	-6.49E-04		
397	-5.91E-04		
398	-5.32E-04		
399	-4.89E-04		
400	-4.06E-04		
401	-3.27E-04		
402	-2.43E-04		
403	-1.50E-04		
404	-9.66E-05		
405	1.13E-05		
406	1.07E-04		
407	2.45E-04		
408	3.43E-04		
409	4.26E-04		
410	5.03E-04		
411	5.67E-04		
412	6.78E-04		
413	7.27E-04		
414	7.74E-04		
415	8.08E-04		
416	8.78E-04		
417	9.27E-04		
418	1.02E-03		
419	1.11E-03		
420	1.16E-03		
421	1.20E-03		
422	1.23E-03		
423	1.26E-03		
424	1.31E-03		
425	1.34E-03		
426	1.38E-03		
427	1.45E-03		
428	1.52E-03		
429	1.55E-03		
430	1.62E-03		
431	1.67E-03		
432	1.73E-03		
433	1.75E-03		
434	1.76E-03		
435	1.77E-03		
436	1.78E-03		
437	1.80E-03		
438	1.82E-03		
439	1.84E-03		
440	1.83E-03		
441	1.80E-03		
442	1.77E-03		
443	1.71E-03		
444	1.66E-03		
445	1.58E-03		
446	1.51E-03		
447	1.44E-03		
448	1.38E-03		
449	1.33E-03		
450	1.30E-03		
451	1.25E-03		
452	1.20E-03		
453	1.15E-03		
454	1.11E-03		
455	1.05E-03		
456	1.02E-03		
457	9.79E-04		
458	9.70E-04		
459	9.58E-04		
460	9.54E-04		
461	9.58E-04		
462	9.51E-04		
463	9.59E-04		
464	9.56E-04		
465	9.39E-04		
466	9.29E-04		
467	9.11E-04		
468	8.89E-04		
469	8.84E-04		
470	8.68E-04		
471	8.53E-04		
472	8.45E-04		
473	8.50E-04		
474	8.34E-04		
475	8.34E-04		
476	8.18E-04		
477	8.12E-04		
478	8.08E-04		
479	8.07E-04		
480	8.02E-04		
481	8.17E-04		
482	8.26E-04		
483	8.49E-04		
484	8.68E-04		
485	8.95E-04		
486	9.12E-04		
487	9.40E-04		
488	9.69E-04		
489	1.00E-03		
490	1.03E-03		
491	1.06E-03		
492	1.08E-03		
493	1.11E-03		
494	1.14E-03		
495	1.17E-03		
496	1.18E-03		
497	1.20E-03		
498	1.20E-03		
499	1.22E-03		
