OLIS-3D-ASCII	SySl1036					
375	1.36E-03					
376	1.28E-03					
377	1.22E-03					
378	1.18E-03					
379	1.16E-03					
380	1.15E-03					
381	1.15E-03					
382	1.15E-03					
383	1.23E-03					
384	1.24E-03					
385	1.22E-03					
386	1.27E-03					
387	1.24E-03					
388	1.25E-03					
389	1.29E-03					
390	1.29E-03					
391	1.24E-03					
392	1.26E-03					
393	1.27E-03					
394	1.29E-03					
395	1.32E-03					
396	1.32E-03					
397	1.34E-03					
398	1.37E-03					
399	1.39E-03					
400	1.43E-03					
401	1.44E-03					
402	1.44E-03					
403	1.43E-03					
404	1.50E-03					
405	1.54E-03					
406	1.56E-03					
407	1.61E-03					
408	1.67E-03					
409	1.71E-03					
410	1.78E-03					
411	1.86E-03					
412	1.92E-03					
413	1.93E-03					
414	1.95E-03					
415	1.96E-03					
416	1.97E-03					
417	1.96E-03					
418	1.95E-03					
419	1.95E-03					
420	1.95E-03					
421	1.94E-03					
422	1.95E-03					
423	1.95E-03					
424	1.96E-03					
425	1.96E-03					
426	1.98E-03					
427	2.00E-03					
428	2.01E-03					
429	2.04E-03					
430	2.05E-03					
431	2.06E-03					
432	2.08E-03					
433	2.11E-03					
434	2.14E-03					
435	2.16E-03					
436	2.18E-03					
437	2.19E-03					
438	2.19E-03					
439	2.19E-03					
440	2.15E-03					
441	2.13E-03					
442	0.002065732					
443	2.01E-03					
444	1.97E-03					
445	1.92E-03					
446	1.86E-03					
447	1.78E-03					
448	1.71E-03					
449	1.63E-03					
450	1.56E-03					
451	1.49E-03					
452	1.43E-03					
453	1.39E-03					
454	1.34E-03					
455	1.32E-03					
456	1.30E-03					
457	1.28E-03					
458	1.25E-03					
459	1.24E-03					
460	1.23E-03					
461	1.22E-03					
462	1.21E-03					
463	1.21E-03					
464	1.20E-03					
465	1.19E-03					
466	1.17E-03					
467	1.15E-03					
468	1.12E-03					
469	1.09E-03					
470	1.08E-03					
471	1.06E-03					
472	1.04E-03					
473	1.02E-03					
474	1.01E-03					
475	1.00E-03					
476	9.98E-04					
477	9.91E-04					
478	9.87E-04					
479	9.69E-04					
480	9.63E-04					
481	9.69E-04					
482	9.68E-04					
483	9.71E-04					
484	9.73E-04					
485	9.86E-04					
486	9.99E-04					
487	1.01E-03					
488	1.03E-03					
489	1.05E-03					
490	1.05E-03					
491	1.07E-03					
492	1.08E-03					
493	1.09E-03					
494	1.09E-03					
495	1.10E-03					
496	1.12E-03					
497	1.15E-03					
498	1.17E-03					
499	1.18E-03					
500	1.21E-03					
501	1.22E-03					
502	1.23E-03					
503	1.25E-03					
504	1.25E-03					
505	1.24E-03					
506	1.24E-03					
507	1.25E-03					
508	1.26E-03					
509	1.27E-03					
510	1.27E-03					
511	1.28E-03					
512	1.29E-03					
513	1.29E-03					
514	1.30E-03					
515	1.31E-03					
516	1.32E-03					
517	1.31E-03					
518	1.32E-03					
519	1.33E-03					
520	1.34E-03					
521	1.36E-03					
522	1.37E-03					
523	1.39E-03					
524	1.41E-03					
525	1.44E-03					
526	1.47E-03					
527	1.49E-03					
528	1.51E-03					
529	1.52E-03					
530	1.53E-03					
531	1.55E-03					
532	1.59E-03					
533	1.60E-03					
534	1.61E-03					
535	1.65E-03					
536	1.68E-03					
537	1.70E-03					
538	1.72E-03					
539	1.74E-03					
540	1.76E-03					
541	1.76E-03					
542	1.77E-03					
543	1.80E-03					
544	1.83E-03					
545	1.85E-03					
546	1.89E-03					
547	1.94E-03					
548	1.98E-03					
549	2.01E-03					
550	2.03E-03					
551	2.06E-03					
552	2.07E-03					
553	2.09E-03					
554	2.11E-03					
555	2.14E-03					
556	2.17E-03					
557	2.19E-03					
558	2.22E-03					
559	2.25E-03					
560	2.27E-03					
561	2.29E-03					
562	2.30E-03					
563	2.33E-03					
564	2.35E-03					
565	2.38E-03					
566	2.41E-03					
567	2.43E-03					
568	2.45E-03					
569	2.45E-03					
570	2.43E-03					
571	2.39E-03					
572	2.33E-03					
573	2.24E-03					
574	2.13E-03					
575	2.01E-03					
576	1.87E-03					
577	1.75E-03					
578	1.61E-03					
579	1.46E-03					
580	1.34E-03					
581	1.23E-03					
582	1.14E-03					
583	1.06E-03					
584	9.89E-04					
585	9.25E-04					
586	8.78E-04					
587	8.26E-04					
588	7.86E-04					
589	7.54E-04					
590	6.97E-04					
591	6.47E-04					
592	6.27E-04					
593	6.07E-04					
594	6.06E-04					
595	6.01E-04					
596	5.95E-04					
597	6.02E-04					
598	6.09E-04					
599	6.05E-04					
600	6.07E-04					
601	6.15E-04					
602	6.17E-04					
603	6.27E-04					
604	6.40E-04					
605	6.47E-04					
606	6.59E-04					
607	6.61E-04					
608	6.55E-04					
609	6.62E-04					
610	6.66E-04					
611	6.74E-04					
612	6.71E-04					
613	6.84E-04					
614	6.90E-04					
615	7.08E-04					
616	7.24E-04					
617	7.46E-04					
618	7.53E-04					
619	7.69E-04					
620	7.76E-04					
621	7.88E-04					
622	7.96E-04					
623	7.93E-04					
624	7.80E-04					
625	7.80E-04					
626	7.85E-04					
627	7.97E-04					
628	7.97E-04					
629	7.95E-04					
630	8.02E-04					
631	7.93E-04					
632	7.76E-04					
633	7.71E-04					
634	7.62E-04					
635	7.56E-04					
636	7.38E-04					
637	7.29E-04					
638	7.29E-04					
639	7.18E-04					
640	7.15E-04					
641	7.13E-04					
642	7.22E-04					
643	6.95E-04					
644	6.84E-04					
645	6.85E-04					
646	6.87E-04					
647	6.92E-04					
648	6.83E-04					
649	6.74E-04					
650	6.58E-04					
651	6.46E-04					
