OLIS-3D-ASCII	SySl1038			
375	6.96E-03			
376	7.20E-03			
377	7.42E-03			
378	7.64E-03			
379	7.85E-03			
380	8.04E-03			
381	8.23E-03			
382	8.46E-03			
383	8.61E-03			
384	8.73E-03			
385	8.81E-03			
386	8.88E-03			
387	8.96E-03			
388	9.00E-03			
389	9.08E-03			
390	9.15E-03			
391	9.29E-03			
392	9.43E-03			
393	9.61E-03			
394	9.80E-03			
395	9.94E-03			
396	0.010074863			
397	1.02E-02			
398	1.04E-02			
399	1.05E-02			
400	1.07E-02			
401	1.09E-02			
402	1.11E-02			
403	1.13E-02			
404	1.16E-02			
405	1.18E-02			
406	1.21E-02			
407	1.24E-02			
408	0.01279818			
409	0.013171105			
410	1.35E-02			
411	1.39E-02			
412	1.43E-02			
413	1.46E-02			
414	0.014927697			
415	1.52E-02			
416	1.55E-02			
417	1.57E-02			
418	1.59E-02			
419	1.61E-02			
420	1.63E-02			
421	1.64E-02			
422	1.65E-02			
423	1.66E-02			
424	1.67E-02			
425	1.69E-02			
426	1.70E-02			
427	1.73E-02			
428	1.75E-02			
429	1.76E-02			
430	1.78E-02			
431	1.81E-02			
432	1.83E-02			
433	0.018476961			
434	1.86E-02			
435	1.88E-02			
436	1.89E-02			
437	1.91E-02			
438	1.91E-02			
439	1.91E-02			
440	1.90E-02			
441	1.88E-02			
442	1.86E-02			
443	1.82E-02			
444	1.78E-02			
445	1.73E-02			
446	1.68E-02			
447	1.63E-02			
448	1.57E-02			
449	1.52E-02			
450	1.47E-02			
451	1.42E-02			
452	0.013822245			
453	1.35E-02			
454	1.32E-02			
455	0.012920886			
456	1.27E-02			
457	1.26E-02			
458	1.24E-02			
459	1.23E-02			
460	1.21E-02			
461	1.21E-02			
462	1.19E-02			
463	1.18E-02			
464	1.17E-02			
465	1.16E-02			
466	1.14E-02			
467	1.12E-02			
468	1.11E-02			
469	1.09E-02			
470	1.07E-02			
471	1.05E-02			
472	1.04E-02			
473	1.02E-02			
474	1.01E-02			
475	9.96E-03			
476	9.85E-03			
477	9.74E-03			
478	9.63E-03			
479	9.57E-03			
480	9.53E-03			
481	9.51E-03			
482	9.52E-03			
483	9.54E-03			
484	9.57E-03			
485	9.64E-03			
486	9.71E-03			
487	9.81E-03			
488	9.89E-03			
489	9.96E-03			
490	1.00E-02			
491	1.01E-02			
492	0.010138096			
493	1.02E-02			
494	1.02E-02			
495	1.02E-02			
496	1.02E-02			
497	1.02E-02			
498	1.02E-02			
499	1.01E-02			
500	1.01E-02			
501	9.92E-03			
502	9.80E-03			
503	9.63E-03			
504	9.43E-03			
505	9.25E-03			
506	9.03E-03			
507	8.82E-03			
508	8.60E-03			
509	8.36E-03			
510	8.14E-03			
511	7.90E-03			
512	7.69E-03			
513	7.47E-03			
514	7.29E-03			
515	7.09E-03			
516	6.91E-03			
517	6.76E-03			
518	6.59E-03			
519	6.42E-03			
520	6.27E-03			
521	6.11E-03			
522	5.99E-03			
523	5.86E-03			
524	5.73E-03			
525	5.63E-03			
526	5.55E-03			
527	5.48E-03			
528	5.42E-03			
529	5.37E-03			
530	5.33E-03			
531	5.27E-03			
532	5.23E-03			
533	5.19E-03			
534	5.16E-03			
535	5.12E-03			
536	5.08E-03			
537	5.04E-03			
538	5.01E-03			
539	5.00E-03			
540	4.99E-03			
541	4.99E-03			
542	4.99E-03			
543	4.99E-03			
544	5.01E-03			
545	5.03E-03			
546	5.08E-03			
547	5.12E-03			
548	5.13E-03			
549	5.15E-03			
550	5.19E-03			
551	5.22E-03			
552	5.27E-03			
553	5.30E-03			
554	5.34E-03			
555	5.38E-03			
556	5.42E-03			
557	5.48E-03			
558	5.57E-03			
559	5.62E-03			
560	5.67E-03			
561	5.74E-03			
562	5.83E-03			
563	5.89E-03			
564	5.96E-03			
565	6.02E-03			
566	6.07E-03			
567	6.10E-03			
568	6.11E-03			
569	6.12E-03			
570	6.09E-03			
571	6.01E-03			
572	5.89E-03			
573	5.76E-03			
574	5.58E-03			
575	5.38E-03			
576	5.15E-03			
577	4.92E-03			
578	0.004699431			
579	4.47E-03			
580	4.26E-03			
581	4.08E-03			
582	3.90E-03			
583	3.76E-03			
584	3.62E-03			
585	3.50E-03			
586	3.41E-03			
587	3.32E-03			
588	3.25E-03			
589	3.20E-03			
590	3.17E-03			
591	3.14E-03			
592	3.10E-03			
593	3.10E-03			
594	3.08E-03			
595	0.003049571			
596	3.02E-03			
597	2.99E-03			
598	2.96E-03			
599	2.94E-03			
600	2.94E-03			
601	2.95E-03			
602	2.96E-03			
603	2.97E-03			
604	2.98E-03			
605	3.03E-03			
606	3.04E-03			
607	3.07E-03			
608	3.10E-03			
609	3.13E-03			
610	3.17E-03			
611	3.21E-03			
612	3.27E-03			
613	3.34E-03			
614	3.40E-03			
615	3.46E-03			
616	3.50E-03			
617	3.55E-03			
618	3.59E-03			
619	3.64E-03			
620	3.66E-03			
621	3.69E-03			
622	3.73E-03			
623	3.75E-03			
624	3.79E-03			
625	3.83E-03			
626	3.84E-03			
627	3.84E-03			
628	3.83E-03			
629	3.82E-03			
630	3.82E-03			
631	3.79E-03			
632	3.76E-03			
633	3.74E-03			
634	3.71E-03			
635	3.70E-03			
636	3.69E-03			
637	3.65E-03			
638	3.61E-03			
639	3.59E-03			
640	3.58E-03			
641	3.56E-03			
642	3.54E-03			
643	3.49E-03			
644	3.47E-03			
645	3.45E-03			
646	3.45E-03			
647	0.0034623			
648	3.46E-03			
649	3.49E-03			
650	3.54E-03			
651	3.61E-03			
652	3.71E-03			
653	3.81E-03			
654	3.96E-03			
655	4.11E-03			
656	4.31E-03			
657	4.54E-03			
658	4.82E-03			
659	5.17E-03			
660	5.58E-03			
661	6.00E-03			
662	6.47E-03			
663	6.95E-03			
664	7.45E-03			
665	7.97E-03			
666	8.54E-03			
667	9.06E-03			
668	9.59E-03			
669	1.01E-02			
670	0.010575114			
671	1.11E-02			
672	1.15E-02			
673	1.20E-02			
674	1.24E-02			
675	1.29E-02			
676	0.013237393			
677	1.36E-02			
678	1.40E-02			
679	1.43E-02			
680	1.44E-02			
681	1.44E-02			
682	1.42E-02			
683	1.39E-02			
684	1.34E-02			
685	1.28E-02			
686	1.20E-02			
687	0.011114766			
688	0.010251359			
689	9.40E-03			
690	8.61E-03			
691	7.80E-03			
692	7.02E-03			
693	6.31E-03			
694	5.69E-03			
695	5.11E-03			
696	4.62E-03			
697	4.12E-03			
698	3.60E-03			
699	3.17E-03			
700	2.77E-03			
701	2.42E-03			
702	2.15E-03			
703	1.87E-03			
704	1.53E-03			
705	1.28E-03			
706	1.03E-03			
707	7.76E-04			
708	5.10E-04			
709	2.23E-04			
710	-9.69E-05			
