OLIS-3D-ASCII	SySl1164
375	3.88E-03
376	4.26E-03
377	4.53E-03
378	4.71E-03
379	4.81E-03
380	4.86E-03
381	4.86E-03
382	4.89E-03
383	4.88E-03
384	4.89E-03
385	4.90E-03
386	4.98E-03
387	5.11E-03
388	5.25E-03
389	5.22E-03
390	5.19E-03
391	5.22E-03
392	5.33E-03
393	0.005274704
394	5.31E-03
395	5.35E-03
396	5.47E-03
397	5.50E-03
398	5.57E-03
399	5.66E-03
400	5.75E-03
401	5.82E-03
402	5.97E-03
403	6.12E-03
404	6.28E-03
405	6.46E-03
406	6.64E-03
407	6.82E-03
408	7.01E-03
409	7.12E-03
410	7.27E-03
411	7.41E-03
412	7.56E-03
413	7.68E-03
414	7.85E-03
415	7.97E-03
416	8.11E-03
417	8.23E-03
418	8.28E-03
419	8.37E-03
420	8.42E-03
421	8.45E-03
422	8.51E-03
423	8.58E-03
424	8.66E-03
425	8.74E-03
426	8.86E-03
427	8.96E-03
428	9.06E-03
429	9.13E-03
430	9.22E-03
431	9.33E-03
432	9.40E-03
433	9.50E-03
434	9.57E-03
435	9.63E-03
436	9.68E-03
437	9.71E-03
438	9.71E-03
439	9.70E-03
440	9.62E-03
441	9.52E-03
442	9.40E-03
443	9.22E-03
444	9.02E-03
445	8.81E-03
446	8.55E-03
447	8.28E-03
448	8.01E-03
449	7.77E-03
450	7.53E-03
451	7.32E-03
452	7.11E-03
453	6.94E-03
454	6.79E-03
455	6.66E-03
456	6.56E-03
457	6.46E-03
458	6.36E-03
459	6.29E-03
460	6.23E-03
461	6.16E-03
462	6.09E-03
463	6.03E-03
464	5.94E-03
465	5.86E-03
466	5.78E-03
467	5.70E-03
468	5.62E-03
469	5.53E-03
470	5.44E-03
471	5.36E-03
472	5.27E-03
473	5.14E-03
474	5.07E-03
475	4.99E-03
476	4.91E-03
477	4.84E-03
478	4.80E-03
479	4.78E-03
480	4.78E-03
481	4.76E-03
482	4.77E-03
483	4.78E-03
484	4.79E-03
485	4.79E-03
486	4.82E-03
487	4.84E-03
488	4.89E-03
489	4.93E-03
490	4.97E-03
491	5.01E-03
492	5.07E-03
493	5.12E-03
494	5.15E-03
495	5.18E-03
496	5.22E-03
497	5.24E-03
498	5.25E-03
499	5.26E-03
500	5.23E-03
501	5.21E-03
502	5.18E-03
503	5.14E-03
504	5.09E-03
505	5.05E-03
506	4.97E-03
507	4.93E-03
508	4.88E-03
509	4.80E-03
510	4.73E-03
511	4.64E-03
512	4.55E-03
513	4.48E-03
514	4.44E-03
515	4.37E-03
516	4.31E-03
517	4.28E-03
518	4.25E-03
519	4.22E-03
520	4.19E-03
521	4.16E-03
522	4.12E-03
523	4.09E-03
524	4.06E-03
525	4.04E-03
526	4.06E-03
527	4.05E-03
528	4.05E-03
529	4.05E-03
530	4.06E-03
531	0.004078364
532	4.12E-03
533	4.16E-03
534	4.20E-03
535	4.26E-03
536	4.30E-03
537	4.35E-03
538	4.42E-03
539	4.47E-03
540	4.51E-03
541	4.54E-03
542	4.59E-03
543	4.65E-03
544	4.72E-03
545	4.80E-03
546	4.86E-03
547	4.93E-03
548	4.99E-03
549	5.06E-03
550	5.12E-03
551	5.18E-03
552	5.24E-03
553	5.31E-03
554	5.38E-03
555	5.44E-03
556	5.52E-03
557	5.60E-03
558	5.66E-03
559	5.73E-03
560	5.79E-03
561	5.86E-03
562	5.93E-03
563	6.00E-03
564	6.09E-03
565	6.16E-03
566	6.22E-03
567	6.26E-03
568	6.27E-03
569	6.25E-03
570	6.19E-03
571	6.06E-03
572	5.89E-03
573	5.69E-03
574	0.005451213
575	5.18E-03
576	4.90E-03
577	4.58E-03
578	4.28E-03
579	4.00E-03
580	3.71E-03
581	3.46E-03
582	3.24E-03
583	3.02E-03
584	2.83E-03
585	2.69E-03
586	2.57E-03
587	2.47E-03
588	2.37E-03
589	0.002271416
590	2.20E-03
591	2.15E-03
592	2.10E-03
593	2.05E-03
594	2.02E-03
595	1.98E-03
596	1.96E-03
597	1.94E-03
598	1.92E-03
599	1.90E-03
600	1.89E-03
601	1.87E-03
602	1.87E-03
603	1.88E-03
604	1.89E-03
605	1.88E-03
606	1.91E-03
607	1.93E-03
608	1.95E-03
609	1.97E-03
610	1.97E-03
611	2.00E-03
612	2.03E-03
613	2.06E-03
614	2.07E-03
615	2.11E-03
616	2.13E-03
617	2.15E-03
618	2.18E-03
619	2.19E-03
620	2.19E-03
621	2.19E-03
622	2.20E-03
623	2.22E-03
624	2.23E-03
625	2.25E-03
626	2.26E-03
627	2.28E-03
628	2.28E-03
629	2.30E-03
630	2.30E-03
631	2.31E-03
632	2.30E-03
633	2.30E-03
634	2.28E-03
635	2.27E-03
636	2.26E-03
637	2.25E-03
638	2.20E-03
639	2.17E-03
640	2.15E-03
641	2.14E-03
642	2.13E-03
643	2.14E-03
644	2.12E-03
645	2.10E-03
646	2.09E-03
647	2.09E-03
648	2.08E-03
649	2.10E-03
650	2.10E-03
651	2.14E-03
652	2.17E-03
653	2.24E-03
654	2.31E-03
655	2.41E-03
656	2.51E-03
657	2.63E-03
658	2.78E-03
659	2.95E-03
660	3.14E-03
661	3.34E-03
662	3.55E-03
663	3.78E-03
664	4.03E-03
665	4.26E-03
666	4.50E-03
667	4.77E-03
668	5.03E-03
669	5.28E-03
670	5.51E-03
671	5.76E-03
672	6.00E-03
673	6.21E-03
674	6.44E-03
675	6.66E-03
676	6.86E-03
677	7.05E-03
678	7.25E-03
679	7.40E-03
680	7.50E-03
681	7.50E-03
682	7.44E-03
683	7.32E-03
684	7.07E-03
685	6.75E-03
686	6.37E-03
687	5.93E-03
688	5.47E-03
689	5.01E-03
690	4.62E-03
691	4.21E-03
692	3.83E-03
693	0.003456063
694	3.12E-03
695	2.74E-03
696	2.46E-03
697	2.22E-03
698	1.92E-03
699	1.73E-03
700	1.50E-03
701	1.38E-03
702	1.28E-03
703	1.13E-03
704	1.10E-03
705	1.02E-03
706	9.48E-04
707	8.84E-04
708	8.26E-04
709	7.71E-04
710	7.18E-04
