OLIS-3D-ASCII	SySl1218							
375	4.79E-04							
376	7.00E-04							
377	8.44E-04							
378	9.25E-04							
379	9.55E-04							
380	9.49E-04							
381	9.20E-04							
382	9.29E-04							
383	8.89E-04							
384	8.33E-04							
385	8.55E-04							
386	8.59E-04							
387	8.54E-04							
388	9.15E-04							
389	9.53E-04							
390	9.33E-04							
391	8.84E-04							
392	8.53E-04							
393	8.96E-04							
394	9.12E-04							
395	8.97E-04							
396	9.02E-04							
397	9.08E-04							
398	9.08E-04							
399	9.67E-04							
400	1.00E-03							
401	1.03E-03							
402	1.01E-03							
403	1.04E-03							
404	1.06E-03							
405	1.10E-03							
406	1.16E-03							
407	1.19E-03							
408	1.18E-03							
409	1.22E-03							
410	1.23E-03							
411	1.28E-03							
412	1.28E-03							
413	1.29E-03							
414	1.27E-03							
415	1.28E-03							
416	1.29E-03							
417	1.30E-03							
418	1.32E-03							
419	1.33E-03							
420	1.30E-03							
421	1.35E-03							
422	1.37E-03							
423	1.41E-03							
424	1.44E-03							
425	1.44E-03							
426	1.45E-03							
427	1.47E-03							
428	1.48E-03							
429	1.48E-03							
430	1.48E-03							
431	1.51E-03							
432	1.51E-03							
433	1.54E-03							
434	1.54E-03							
435	1.55E-03							
436	1.55E-03							
437	1.53E-03							
438	1.53E-03							
439	1.51E-03							
440	1.47E-03							
441	1.47E-03							
442	1.45E-03							
443	1.43E-03							
444	1.41E-03							
445	1.38E-03							
446	1.34E-03							
447	1.30E-03							
448	1.26E-03							
449	1.21E-03							
450	1.17E-03							
451	1.12E-03							
452	1.09E-03							
453	1.05E-03							
454	1.02E-03							
455	1.00E-03							
456	9.84E-04							
457	9.60E-04							
458	9.37E-04							
459	9.32E-04							
460	9.17E-04							
461	9.16E-04							
462	9.22E-04							
463	9.20E-04							
464	9.18E-04							
465	9.01E-04							
466	9.05E-04							
467	8.90E-04							
468	8.58E-04							
469	8.26E-04							
470	8.05E-04							
471	7.85E-04							
472	7.70E-04							
473	7.69E-04							
