OLIS-3D-ASCII	SySl1088
375	1.04E-02
376	1.10E-02
377	1.15E-02
378	1.19E-02
379	1.22E-02
380	1.23E-02
381	1.24E-02
382	1.25E-02
383	1.25E-02
384	1.25E-02
385	1.24E-02
386	1.24E-02
387	0.012291937
388	1.22E-02
389	0.01219671
390	1.22E-02
391	1.22E-02
392	1.22E-02
393	1.24E-02
394	1.25E-02
395	1.26E-02
396	1.28E-02
397	1.29E-02
398	0.013061586
399	1.32E-02
400	1.33E-02
401	1.35E-02
402	1.37E-02
403	1.39E-02
404	1.41E-02
405	0.01443312
406	1.47E-02
407	1.51E-02
408	1.54E-02
409	1.58E-02
410	1.61E-02
411	1.64E-02
412	1.67E-02
413	0.017002554
414	1.72E-02
415	1.74E-02
416	1.76E-02
417	1.78E-02
418	1.80E-02
419	1.82E-02
420	1.83E-02
421	1.84E-02
422	1.84E-02
423	1.85E-02
424	0.018663746
425	1.88E-02
426	1.89E-02
427	1.90E-02
428	1.92E-02
429	1.94E-02
430	0.019589233
431	1.98E-02
432	2.00E-02
433	2.02E-02
434	2.03E-02
435	2.04E-02
436	0.020520022
437	2.05E-02
438	0.020508629
439	2.05E-02
440	2.03E-02
441	2.00E-02
442	1.97E-02
443	1.93E-02
444	1.89E-02
445	1.83E-02
446	0.01777779
447	1.72E-02
448	0.016592369
449	1.60E-02
450	0.015456626
451	1.50E-02
452	1.45E-02
453	1.41E-02
454	1.37E-02
455	1.34E-02
456	1.31E-02
457	1.29E-02
458	1.27E-02
459	1.26E-02
460	0.012395716
461	1.23E-02
462	0.012120477
463	1.20E-02
464	1.18E-02
465	1.16E-02
466	0.011473984
467	1.13E-02
468	1.11E-02
469	1.09E-02
470	1.07E-02
471	1.06E-02
472	1.04E-02
473	1.02E-02
474	1.00E-02
475	9.85E-03
476	9.71E-03
477	9.57E-03
478	9.46E-03
479	9.37E-03
480	9.29E-03
481	9.23E-03
482	9.20E-03
483	9.20E-03
484	9.21E-03
485	9.24E-03
486	9.27E-03
487	9.32E-03
488	9.39E-03
489	9.44E-03
490	9.50E-03
491	9.54E-03
492	9.56E-03
493	9.57E-03
494	9.58E-03
495	9.57E-03
496	9.55E-03
497	9.49E-03
498	9.43E-03
499	9.34E-03
500	9.23E-03
501	9.08E-03
502	8.93E-03
503	8.75E-03
504	8.53E-03
505	8.33E-03
506	8.11E-03
507	7.89E-03
508	7.64E-03
509	7.38E-03
510	7.11E-03
511	6.84E-03
512	6.55E-03
513	6.25E-03
514	5.98E-03
515	5.72E-03
516	5.46E-03
517	5.21E-03
518	4.98E-03
519	4.76E-03
520	4.53E-03
521	4.32E-03
522	4.12E-03
523	3.94E-03
524	3.76E-03
525	3.58E-03
526	3.44E-03
527	3.31E-03
528	3.19E-03
529	3.09E-03
530	3.01E-03
531	2.91E-03
532	2.86E-03
533	2.81E-03
534	2.78E-03
535	2.76E-03
536	2.72E-03
537	2.71E-03
538	2.69E-03
539	2.66E-03
540	2.63E-03
541	2.62E-03
542	2.62E-03
543	2.61E-03
544	2.62E-03
545	2.65E-03
546	2.68E-03
547	2.73E-03
548	2.79E-03
549	2.84E-03
550	2.90E-03
551	2.97E-03
552	3.03E-03
553	3.10E-03
554	3.18E-03
555	3.25E-03
556	3.31E-03
557	3.39E-03
558	3.46E-03
559	3.54E-03
560	3.62E-03
561	3.70E-03
562	3.80E-03
563	3.89E-03
564	3.98E-03
565	4.09E-03
566	4.18E-03
567	4.30E-03
568	4.40E-03
569	4.53E-03
570	4.66E-03
571	4.78E-03
572	4.91E-03
573	5.05E-03
574	5.18E-03
575	5.31E-03
576	5.43E-03
577	5.55E-03
578	5.65E-03
579	5.76E-03
580	5.87E-03
581	6.00E-03
582	6.11E-03
583	6.21E-03
584	6.33E-03
585	6.46E-03
586	6.58E-03
587	6.70E-03
588	6.80E-03
589	6.91E-03
590	7.02E-03
591	7.14E-03
592	7.24E-03
593	7.34E-03
594	7.45E-03
595	7.55E-03
596	7.67E-03
597	7.78E-03
598	7.91E-03
599	8.04E-03
600	8.17E-03
601	8.33E-03
602	8.50E-03
603	8.67E-03
604	8.84E-03
605	9.04E-03
606	9.26E-03
607	9.48E-03
608	9.72E-03
609	9.96E-03
610	1.02E-02
611	1.04E-02
612	1.07E-02
613	1.09E-02
614	1.11E-02
615	1.13E-02
616	1.15E-02
617	1.17E-02
618	1.18E-02
