OLIS-3D-ASCII	SySl1186
375	1.41E-02
376	1.41E-02
377	1.41E-02
378	1.42E-02
379	1.43E-02
380	1.44E-02
381	1.45E-02
382	1.46E-02
383	0.014605054
384	1.45E-02
385	1.44E-02
386	1.42E-02
387	1.40E-02
388	1.38E-02
389	1.37E-02
390	1.36E-02
391	1.35E-02
392	1.35E-02
393	1.35E-02
394	1.35E-02
395	1.34E-02
396	0.013376667
397	1.34E-02
398	1.33E-02
399	1.32E-02
400	1.32E-02
401	1.33E-02
402	1.33E-02
403	1.34E-02
404	0.013497468
405	1.36E-02
406	1.37E-02
407	0.013812935
408	1.40E-02
409	1.42E-02
410	1.44E-02
411	1.46E-02
412	0.014747177
413	1.50E-02
414	0.015053981
415	1.52E-02
416	1.53E-02
417	0.015282919
418	1.53E-02
419	1.53E-02
420	1.53E-02
421	1.53E-02
422	1.54E-02
423	0.015365319
424	1.54E-02
425	1.54E-02
426	1.54E-02
427	1.55E-02
428	1.56E-02
429	1.57E-02
430	0.015770539
431	1.59E-02
432	1.60E-02
433	1.62E-02
434	1.63E-02
435	0.01639679
436	1.64E-02
437	1.64E-02
438	1.64E-02
439	1.63E-02
440	1.62E-02
441	1.59E-02
442	1.57E-02
443	1.53E-02
444	1.50E-02
445	1.46E-02
446	1.42E-02
447	1.38E-02
448	1.33E-02
449	0.012897347
450	1.25E-02
451	1.21E-02
452	1.18E-02
453	1.15E-02
454	1.12E-02
455	1.10E-02
456	1.09E-02
457	1.07E-02
458	1.06E-02
459	1.05E-02
460	1.04E-02
461	1.03E-02
462	1.02E-02
463	1.01E-02
464	1.00E-02
465	9.92E-03
466	9.81E-03
467	9.70E-03
468	9.60E-03
469	9.47E-03
470	9.35E-03
471	9.23E-03
472	9.11E-03
473	9.02E-03
474	8.92E-03
475	8.82E-03
476	8.75E-03
477	8.69E-03
478	8.65E-03
479	8.62E-03
480	8.62E-03
481	8.64E-03
482	8.68E-03
483	8.74E-03
484	8.81E-03
485	8.89E-03
486	8.97E-03
487	9.10E-03
488	9.21E-03
489	9.35E-03
490	9.48E-03
491	9.61E-03
492	9.77E-03
493	9.92E-03
494	1.00E-02
495	1.02E-02
496	1.03E-02
497	1.04E-02
498	1.05E-02
499	1.06E-02
500	1.06E-02
501	1.07E-02
502	1.08E-02
503	1.08E-02
504	1.09E-02
505	1.09E-02
506	1.10E-02
507	1.10E-02
508	1.10E-02
509	1.11E-02
510	1.11E-02
511	1.12E-02
512	1.12E-02
513	1.13E-02
514	0.011385101
515	1.15E-02
516	1.16E-02
517	1.18E-02
518	1.19E-02
519	1.20E-02
520	1.21E-02
521	1.23E-02
522	1.24E-02
523	0.012599259
524	1.27E-02
525	1.29E-02
526	1.31E-02
527	1.33E-02
528	1.34E-02
529	1.36E-02
530	1.38E-02
531	1.40E-02
532	1.42E-02
533	1.43E-02
534	1.45E-02
535	1.47E-02
536	1.49E-02
537	1.51E-02
538	1.53E-02
539	1.55E-02
540	1.56E-02
541	1.58E-02
542	1.60E-02
543	1.62E-02
544	1.65E-02
545	1.66E-02
546	0.016877526
547	0.01710064
548	1.73E-02
549	1.75E-02
550	1.77E-02
551	0.017885094
552	0.018084164
553	1.83E-02
554	1.85E-02
555	1.86E-02
556	0.018825837
557	1.90E-02
558	1.92E-02
559	1.95E-02
560	1.97E-02
561	1.99E-02
562	2.02E-02
563	2.04E-02
564	2.07E-02
565	2.09E-02
566	2.11E-02
567	2.12E-02
568	2.12E-02
569	0.021057934
570	2.08E-02
571	0.020417563
572	1.98E-02
573	1.91E-02
574	1.82E-02
575	1.73E-02
576	1.62E-02
577	1.50E-02
578	1.39E-02
579	1.28E-02
580	1.17E-02
581	0.010744305
582	9.86E-03
583	9.06E-03
584	8.36E-03
585	7.73E-03
586	7.19E-03
587	6.73E-03
588	6.33E-03
589	6.00E-03
590	5.73E-03
591	5.49E-03
592	5.30E-03
593	5.16E-03
594	5.04E-03
595	4.94E-03
596	4.86E-03
597	4.78E-03
598	4.72E-03
599	4.65E-03
600	4.62E-03
601	4.58E-03
602	4.55E-03
603	4.53E-03
604	4.52E-03
605	4.53E-03
606	4.54E-03
607	4.54E-03
608	4.55E-03
609	4.56E-03
610	4.58E-03
611	4.59E-03
612	4.63E-03
613	4.68E-03
614	4.72E-03
615	4.76E-03
616	4.80E-03
617	4.83E-03
618	4.86E-03
619	4.87E-03
620	4.89E-03
621	4.88E-03
622	4.91E-03
623	4.92E-03
624	4.94E-03
625	4.96E-03
626	4.96E-03
627	4.96E-03
628	4.96E-03
629	4.95E-03
630	4.95E-03
631	4.93E-03
632	4.91E-03
633	4.87E-03
634	4.83E-03
635	4.81E-03
636	4.74E-03
637	4.70E-03
638	4.66E-03
639	4.62E-03
640	4.60E-03
641	4.58E-03
642	4.55E-03
643	4.53E-03
644	4.50E-03
645	4.48E-03
646	4.44E-03
647	4.45E-03
648	4.43E-03
649	4.43E-03
650	4.47E-03
651	4.53E-03
652	4.58E-03
653	4.66E-03
654	4.75E-03
655	4.88E-03
656	5.02E-03
657	5.21E-03
658	5.43E-03
659	5.70E-03
660	5.95E-03
661	6.26E-03
662	6.61E-03
663	6.94E-03
664	7.29E-03
665	7.66E-03
666	8.02E-03
667	8.39E-03
668	8.75E-03
669	9.11E-03
670	9.45E-03
671	9.80E-03
672	1.01E-02
673	1.05E-02
674	1.08E-02
675	1.11E-02
676	1.14E-02
677	1.17E-02
678	1.19E-02
679	1.21E-02
680	1.23E-02
681	1.22E-02
682	1.21E-02
683	1.19E-02
684	1.15E-02
685	1.10E-02
686	1.04E-02
687	9.66E-03
688	8.96E-03
689	8.27E-03
690	7.62E-03
691	6.95E-03
692	6.31E-03
693	5.72E-03
694	5.17E-03
695	4.64E-03
696	4.21E-03
697	3.72E-03
698	3.30E-03
699	2.99E-03
700	2.71E-03
701	2.45E-03
702	2.21E-03
703	1.99E-03
704	1.91E-03
705	1.81E-03
706	1.70E-03
707	1.53E-03
708	1.29E-03
709	9.59E-04
710	5.01E-04
