OLIS-3D-ASCII	SySl1171						
375	1.75E-03						
376	1.82E-03						
377	1.89E-03						
378	1.96E-03						
379	2.03E-03						
380	2.10E-03						
381	2.19E-03						
382	2.38E-03						
383	2.51E-03						
384	2.66E-03						
385	2.71E-03						
386	2.74E-03						
387	2.75E-03						
388	2.83E-03						
389	2.90E-03						
390	3.00E-03						
391	2.96E-03						
392	2.94E-03						
393	2.97E-03						
394	3.09E-03						
395	0.003121897						
396	3.20E-03						
397	3.24E-03						
398	3.27E-03						
399	3.28E-03						
400	3.38E-03						
401	3.46E-03						
402	3.54E-03						
403	3.58E-03						
404	3.69E-03						
405	3.79E-03						
406	3.88E-03						
407	4.00E-03						
408	4.11E-03						
409	4.19E-03						
410	4.29E-03						
411	4.39E-03						
412	4.50E-03						
413	4.61E-03						
414	4.72E-03						
415	4.82E-03						
416	4.94E-03						
417	5.00E-03						
418	5.04E-03						
419	5.07E-03						
420	5.09E-03						
421	5.11E-03						
422	5.16E-03						
423	5.14E-03						
424	5.16E-03						
425	5.19E-03						
426	5.25E-03						
427	5.30E-03						
428	5.38E-03						
429	5.43E-03						
430	5.51E-03						
431	5.58E-03						
432	5.66E-03						
433	5.76E-03						
434	5.84E-03						
435	5.87E-03						
436	5.90E-03						
437	5.94E-03						
438	5.93E-03						
439	5.89E-03						
440	5.82E-03						
441	5.73E-03						
442	5.66E-03						
443	5.54E-03						
444	5.40E-03						
445	5.24E-03						
446	5.05E-03						
447	4.87E-03						
448	4.67E-03						
449	4.47E-03						
450	4.27E-03						
451	4.08E-03						
452	3.92E-03						
453	3.79E-03						
454	3.69E-03						
455	3.58E-03						
456	3.51E-03						
457	3.43E-03						
458	3.35E-03						
459	3.30E-03						
460	3.25E-03						
461	3.19E-03						
462	3.16E-03						
463	3.12E-03						
464	3.10E-03						
465	3.07E-03						
466	3.04E-03						
467	3.01E-03						
468	2.96E-03						
469	2.92E-03						
470	2.87E-03						
471	2.83E-03						
472	2.78E-03						
473	2.72E-03						
474	2.68E-03						
475	2.64E-03						
476	2.60E-03						
477	2.57E-03						
478	2.54E-03						
479	2.49E-03						
480	2.46E-03						
481	2.45E-03						
482	2.43E-03						
483	2.42E-03						
484	2.41E-03						
485	2.43E-03						
486	2.44E-03						
487	2.48E-03						
488	2.51E-03						
489	2.55E-03						
490	2.58E-03						
491	2.60E-03						
492	2.63E-03						
493	2.64E-03						
494	2.65E-03						
495	2.64E-03						
496	2.64E-03						
497	2.66E-03						
498	2.65E-03						
499	2.64E-03						
500	2.63E-03						
501	2.61E-03						
502	2.58E-03						
503	2.56E-03						
504	2.53E-03						
505	2.48E-03						
506	2.43E-03						
507	2.38E-03						
508	2.33E-03						
509	2.29E-03						
510	2.22E-03						
511	2.16E-03						
512	2.10E-03						
513	2.04E-03						
514	1.98E-03						
515	1.92E-03						
516	1.86E-03						
517	1.80E-03						
518	1.74E-03						
519	1.67E-03						
520	1.61E-03						
521	1.55E-03						
522	1.48E-03						
523	1.43E-03						
524	1.38E-03						
525	1.34E-03						
526	1.30E-03						
527	1.27E-03						
528	1.25E-03						
529	1.22E-03						
530	1.20E-03						
531	1.17E-03						
532	1.17E-03						
533	1.15E-03						
534	1.14E-03						
535	1.14E-03						
536	1.14E-03						
537	1.15E-03						
538	1.17E-03						
539	1.19E-03						
540	1.20E-03						
541	1.22E-03						
542	1.23E-03						
543	1.23E-03						
544	1.25E-03						
545	1.26E-03						
546	1.28E-03						
547	1.29E-03						
548	1.32E-03						
549	1.34E-03						
550	1.37E-03						
551	1.40E-03						
552	1.44E-03						
553	1.48E-03						
554	1.51E-03						
555	1.55E-03						
556	1.60E-03						
557	1.64E-03						
558	1.68E-03						
559	1.72E-03						
560	1.75E-03						
561	1.79E-03						
562	1.82E-03						
563	1.86E-03						
564	1.91E-03						
565	1.96E-03						
566	2.00E-03						
567	2.04E-03						
568	2.10E-03						
569	2.16E-03						
570	2.21E-03						
571	2.26E-03						
572	2.33E-03						
573	2.39E-03						
574	2.45E-03						
575	2.52E-03						
576	2.58E-03						
577	2.64E-03						
578	2.69E-03						
579	2.76E-03						
580	2.81E-03						
581	2.86E-03						
582	2.92E-03						
583	2.98E-03						
584	3.02E-03						
585	3.06E-03						
586	3.12E-03						
587	3.19E-03						
588	3.24E-03						
589	3.29E-03						
590	3.34E-03						
591	3.37E-03						
592	3.41E-03						
593	3.45E-03						
594	3.50E-03						
595	3.54E-03						
596	3.58E-03						
597	3.63E-03						
598	0.003705614						
599	3.79E-03						
600	3.84E-03						
601	3.91E-03						
602	3.99E-03						
603	4.06E-03						
604	4.14E-03						
605	4.23E-03						
606	4.34E-03						
607	4.44E-03						
608	4.55E-03						
609	4.63E-03						
610	4.72E-03						
611	4.81E-03						
612	4.91E-03						
613	5.01E-03						
614	5.11E-03						
615	5.19E-03						
616	5.28E-03						
617	5.38E-03						
618	5.46E-03						
619	5.53E-03						
620	5.59E-03						
621	5.64E-03						
622	5.69E-03						
623	5.72E-03						
624	5.77E-03						
625	5.80E-03						
626	5.84E-03						
627	5.85E-03						
628	5.86E-03						
629	5.86E-03						
630	5.85E-03						
631	5.85E-03						
632	5.83E-03						
633	5.83E-03						
634	5.80E-03						
635	5.79E-03						
636	5.75E-03						
637	5.70E-03						
638	5.65E-03						
639	5.55E-03						
640	5.45E-03						
641	5.34E-03						
642	5.22E-03						
643	5.07E-03						
644	4.94E-03						
645	4.79E-03						
646	4.63E-03						
647	4.46E-03						
648	4.26E-03						
649	4.11E-03						
650	3.96E-03						
651	3.81E-03						
652	3.69E-03						
653	3.58E-03						
654	3.49E-03						
655	3.43E-03						
656	3.43E-03						
657	3.42E-03						
658	3.44E-03						
659	3.45E-03						
660	3.49E-03						
661	3.58E-03						
662	3.69E-03						
663	3.81E-03						
664	3.95E-03						
665	4.11E-03						
666	4.27E-03						
667	4.47E-03						
668	4.65E-03						
669	4.82E-03						
670	4.97E-03						
671	5.09E-03						
672	5.23E-03						
673	5.40E-03						
674	5.57E-03						
675	5.71E-03						
676	5.85E-03						
677	6.00E-03						
678	6.12E-03						
679	6.24E-03						
680	6.32E-03						
681	6.35E-03						
682	6.33E-03						
683	6.24E-03						
684	6.10E-03						
685	5.91E-03						
686	5.62E-03						
687	5.31E-03						
688	4.95E-03						
689	4.59E-03						
690	4.22E-03						
691	3.86E-03						
692	3.54E-03						
693	3.25E-03						
694	3.00E-03						
695	2.75E-03						
696	2.50E-03						
697	2.30E-03						
698	2.16E-03						
699	1.97E-03						
700	1.80E-03						
701	1.64E-03						
702	1.57E-03						
703	1.50E-03						
704	1.49E-03						
705	1.49E-03						
706	1.45E-03						
707	1.33E-03						
708	1.12E-03						
709	7.85E-04						
710	2.89E-04						
