OLIS-3D-ASCII	SySl1264	
375	6.92E-03	
376	7.05E-03	
377	7.18E-03	
378	7.29E-03	
379	7.39E-03	
380	7.47E-03	
381	7.53E-03	
382	7.58E-03	
383	7.52E-03	
384	7.59E-03	
385	7.54E-03	
386	7.48E-03	
387	7.47E-03	
388	7.43E-03	
389	7.38E-03	
390	7.44E-03	
391	7.47E-03	
392	7.44E-03	
393	7.47E-03	
394	7.52E-03	
395	7.62E-03	
396	7.78E-03	
397	7.88E-03	
398	7.95E-03	
399	8.07E-03	
400	8.17E-03	
401	8.22E-03	
402	8.35E-03	
403	8.43E-03	
404	8.60E-03	
405	8.79E-03	
406	8.99E-03	
407	9.22E-03	
408	9.45E-03	
409	9.68E-03	
410	9.96E-03	
411	1.02E-02	
412	1.04E-02	
413	1.06E-02	
414	0.01087815	
415	1.11E-02	
416	1.15E-02	
417	0.011698587	
418	1.19E-02	
419	1.22E-02	
420	1.24E-02	
421	1.26E-02	
422	0.012745285	
423	1.29E-02	
424	1.30E-02	
425	0.013093339	
426	1.32E-02	
427	1.33E-02	
428	1.33E-02	
429	0.013387542	
430	1.35E-02	
431	1.36E-02	
432	1.37E-02	
433	1.39E-02	
434	1.40E-02	
435	1.41E-02	
436	1.43E-02	
437	1.45E-02	
438	1.47E-02	
439	1.49E-02	
440	1.50E-02	
441	1.51E-02	
442	1.53E-02	
443	1.54E-02	
444	1.54E-02	
445	1.54E-02	
446	0.015341951	
447	1.52E-02	
448	1.51E-02	
449	0.014868704	
450	0.014582749	
451	1.43E-02	
452	1.39E-02	
453	0.013562484	
454	1.32E-02	
455	0.012846714	
456	1.25E-02	
457	1.21E-02	
458	1.17E-02	
459	1.13E-02	
460	1.08E-02	
461	1.04E-02	
462	1.01E-02	
463	9.69E-03	
464	9.34E-03	
465	9.04E-03	
466	8.76E-03	
467	8.50E-03	
468	8.27E-03	
469	0.008053674	
470	7.86E-03	
471	7.69E-03	
472	7.52E-03	
473	7.38E-03	
474	7.25E-03	
475	7.13E-03	
476	7.03E-03	
477	6.94E-03	
478	6.87E-03	
479	6.82E-03	
480	6.81E-03	
481	6.79E-03	
482	6.78E-03	
483	6.76E-03	
484	6.72E-03	
485	6.71E-03	
486	6.69E-03	
487	6.66E-03	
488	6.64E-03	
489	6.59E-03	
490	6.55E-03	
491	6.52E-03	
492	6.48E-03	
493	6.41E-03	
494	6.35E-03	
495	6.24E-03	
496	6.14E-03	
497	6.04E-03	
498	5.92E-03	
499	5.79E-03	
500	5.63E-03	
501	5.46E-03	
502	5.27E-03	
503	5.08E-03	
504	4.87E-03	
505	4.66E-03	
506	4.45E-03	
507	4.23E-03	
508	4.02E-03	
509	3.79E-03	
510	3.56E-03	
511	3.35E-03	
512	3.12E-03	
513	2.93E-03	
