OLIS-3D-ASCII	SySl1020	
375	1.63E-02	
376	1.69E-02	
377	0.017362265	
378	1.77E-02	
379	1.80E-02	
380	1.82E-02	
381	1.83E-02	
382	1.83E-02	
383	1.85E-02	
384	1.85E-02	
385	1.84E-02	
386	1.84E-02	
387	0.018328669	
388	1.84E-02	
389	1.84E-02	
390	1.85E-02	
391	1.85E-02	
392	1.86E-02	
393	1.86E-02	
394	1.87E-02	
395	1.88E-02	
396	0.018839481	
397	1.90E-02	
398	1.91E-02	
399	0.01926397	
400	1.95E-02	
401	1.97E-02	
402	2.00E-02	
403	2.04E-02	
404	0.020806039	
405	2.13E-02	
406	2.18E-02	
407	2.23E-02	
408	2.28E-02	
409	2.34E-02	
410	2.39E-02	
411	2.44E-02	
412	2.49E-02	
413	2.55E-02	
414	2.59E-02	
415	2.64E-02	
416	2.68E-02	
417	2.71E-02	
418	2.74E-02	
419	2.75E-02	
420	2.78E-02	
421	2.80E-02	
422	2.81E-02	
423	2.82E-02	
424	2.84E-02	
425	2.87E-02	
426	2.90E-02	
427	2.93E-02	
428	2.97E-02	
429	0.030046746	
430	3.05E-02	
431	3.09E-02	
432	3.14E-02	
433	3.19E-02	
434	3.23E-02	
435	3.27E-02	
436	3.30E-02	
437	3.33E-02	
438	3.33E-02	
439	0.033306826	
440	3.31E-02	
441	3.28E-02	
442	3.23E-02	
443	0.031690741	
444	3.10E-02	
445	3.02E-02	
446	2.92E-02	
447	2.83E-02	
448	2.73E-02	
449	2.63E-02	
450	2.53E-02	
451	2.44E-02	
452	2.36E-02	
453	2.29E-02	
454	2.23E-02	
455	2.18E-02	
456	2.14E-02	
457	2.10E-02	
458	2.07E-02	
459	2.04E-02	
460	2.02E-02	
461	2.00E-02	
462	1.98E-02	
463	1.96E-02	
464	1.94E-02	
465	1.92E-02	
466	0.01900787	
467	1.88E-02	
468	1.87E-02	
469	1.85E-02	
470	1.83E-02	
471	1.82E-02	
472	1.81E-02	
473	1.80E-02	
474	1.80E-02	
475	1.79E-02	
476	1.78E-02	
477	1.78E-02	
478	1.78E-02	
479	1.78E-02	
480	1.78E-02	
481	1.79E-02	
482	1.79E-02	
483	1.80E-02	
484	1.81E-02	
485	1.81E-02	
486	1.82E-02	
487	0.018194859	
488	0.018194155	
489	1.82E-02	
490	1.81E-02	
491	1.80E-02	
492	1.80E-02	
493	1.79E-02	
494	1.78E-02	
495	1.76E-02	
496	1.75E-02	
497	1.73E-02	
498	1.71E-02	
499	1.69E-02	
500	1.67E-02	
501	1.65E-02	
502	1.63E-02	
503	1.60E-02	
504	1.58E-02	
505	1.56E-02	
506	1.54E-02	
507	1.52E-02	
508	1.49E-02	
509	1.47E-02	
510	1.45E-02	
511	1.43E-02	
512	1.41E-02	
513	1.40E-02	
514	1.38E-02	
515	1.37E-02	
516	1.35E-02	
517	1.33E-02	
518	1.31E-02	
519	1.29E-02	
520	1.27E-02	
521	1.25E-02	
522	1.22E-02	
523	1.19E-02	
524	1.16E-02	
525	1.13E-02	
526	1.10E-02	
527	1.06E-02	
528	1.02E-02	
529	9.86E-03	
530	9.49E-03	
531	9.12E-03	
532	8.75E-03	
533	8.39E-03	
534	7.99E-03	
535	7.62E-03	
536	7.26E-03	
537	6.90E-03	
538	6.56E-03	
539	6.21E-03	
540	5.90E-03	
541	5.60E-03	
542	5.33E-03	
543	5.09E-03	
544	4.87E-03	
545	4.67E-03	
546	4.49E-03	
547	4.34E-03	
548	4.22E-03	
549	4.09E-03	
550	3.97E-03	
551	3.88E-03	
552	3.81E-03	
553	3.74E-03	
554	3.71E-03	
555	3.67E-03	
556	3.63E-03	
557	3.62E-03	
558	3.63E-03	
559	3.65E-03	
560	3.69E-03	
561	3.72E-03	
562	3.77E-03	
563	3.84E-03	
564	3.91E-03	
565	3.98E-03	
566	4.06E-03	
567	4.15E-03	
568	4.23E-03	
569	4.34E-03	
570	4.46E-03	
571	4.58E-03	
572	4.70E-03	
573	4.81E-03	
574	4.94E-03	
575	5.05E-03	
576	5.18E-03	
577	5.28E-03	
578	5.42E-03	
579	0.005547705	
580	5.67E-03	
581	5.79E-03	
582	5.92E-03	
583	6.03E-03	
584	6.13E-03	
585	6.25E-03	
586	6.36E-03	
587	6.47E-03	
588	6.58E-03	
589	6.67E-03	
590	6.77E-03	
591	6.87E-03	
592	6.94E-03	
593	0.007018679	
594	7.11E-03	
595	7.17E-03	
596	7.26E-03	
597	7.34E-03	
598	7.43E-03	
599	7.51E-03	
600	7.61E-03	
601	7.71E-03	
602	7.81E-03	
603	0.007942232	
604	8.07E-03	
605	8.22E-03	
606	8.40E-03	
607	8.59E-03	
608	8.80E-03	
609	9.03E-03	
610	9.27E-03	
611	9.51E-03	
612	9.79E-03	
613	1.00E-02	
614	0.010293465	
615	1.05E-02	
616	1.08E-02	
617	1.10E-02	
618	1.13E-02	
619	1.15E-02	
620	1.17E-02	
621	1.19E-02	
622	1.21E-02	
623	1.23E-02	
624	1.24E-02	
625	1.25E-02	
626	1.26E-02	
627	1.27E-02	
628	1.27E-02	
629	1.28E-02	
630	1.28E-02	
631	1.27E-02	
632	1.27E-02	
633	1.27E-02	
634	1.26E-02	
635	1.25E-02	
636	1.25E-02	
637	1.24E-02	
638	1.23E-02	
639	0.012150256	
640	1.21E-02	
641	1.19E-02	
642	1.18E-02	
643	0.0117362	
644	1.17E-02	
645	1.16E-02	
646	1.16E-02	
647	1.16E-02	
648	1.16E-02	
649	1.16E-02	
650	1.17E-02	
651	1.17E-02	
652	1.19E-02	
653	1.20E-02	
654	1.21E-02	
655	1.24E-02	
656	1.26E-02	
657	0.012941627	
658	1.33E-02	
659	1.38E-02	
660	1.43E-02	
661	1.49E-02	
662	1.56E-02	
663	1.63E-02	
664	1.71E-02	
665	1.79E-02	
666	1.88E-02	
667	1.96E-02	
668	2.05E-02	
669	2.14E-02	
670	0.022154773	
671	2.30E-02	
672	2.37E-02	
673	2.45E-02	
674	2.53E-02	
675	2.60E-02	
676	0.026611397	
677	2.72E-02	
678	2.79E-02	
679	2.84E-02	
680	2.87E-02	
681	2.87E-02	
682	2.85E-02	
683	2.81E-02	
684	2.73E-02	
685	2.64E-02	
686	2.50E-02	
687	2.35E-02	
688	2.19E-02	
689	0.020255935	
690	1.87E-02	
691	1.71E-02	
692	1.57E-02	
693	0.01426695	
694	1.31E-02	
695	1.20E-02	
696	1.12E-02	
697	1.04E-02	
698	9.61E-03	
699	8.93E-03	
700	8.31E-03	
701	7.81E-03	
702	7.26E-03	
703	6.78E-03	
704	6.36E-03	
705	5.98E-03	
706	5.64E-03	
707	5.33E-03	
708	5.05E-03	
709	4.77E-03	
710	4.51E-03	
