OLIS-3D-ASCII	SySl1337		
375	5.39E-03		
376	5.63E-03		
377	5.88E-03		
378	6.14E-03		
379	6.39E-03		
380	6.63E-03		
381	6.85E-03		
382	7.07E-03		
383	7.15E-03		
384	7.28E-03		
385	7.30E-03		
386	7.30E-03		
387	7.34E-03		
388	7.25E-03		
389	7.30E-03		
390	7.37E-03		
391	7.50E-03		
392	7.62E-03		
393	7.72E-03		
394	7.88E-03		
395	7.94E-03		
396	8.06E-03		
397	8.13E-03		
398	8.27E-03		
399	8.42E-03		
400	8.50E-03		
401	8.68E-03		
402	8.90E-03		
403	9.07E-03		
404	9.22E-03		
405	9.42E-03		
406	9.61E-03		
407	9.82E-03		
408	1.00E-02		
409	1.03E-02		
410	0.010573033		
411	0.010854734		
412	1.10E-02		
413	1.13E-02		
414	1.15E-02		
415	1.16E-02		
416	1.18E-02		
417	1.19E-02		
418	1.20E-02		
419	1.21E-02		
420	1.22E-02		
421	1.23E-02		
422	1.23E-02		
423	1.24E-02		
424	1.24E-02		
425	1.25E-02		
426	0.01251665		
427	1.26E-02		
428	1.27E-02		
429	1.28E-02		
430	0.012908855		
431	1.30E-02		
432	0.013132277		
433	1.32E-02		
434	1.33E-02		
435	1.33E-02		
436	1.34E-02		
437	1.34E-02		
438	1.33E-02		
439	1.32E-02		
440	1.31E-02		
441	1.30E-02		
442	1.28E-02		
443	1.26E-02		
444	0.012281		
445	1.19E-02		
446	1.15E-02		
447	1.12E-02		
448	1.07E-02		
449	1.03E-02		
450	9.92E-03		
451	9.56E-03		
452	9.22E-03		
453	8.92E-03		
454	8.67E-03		
455	8.45E-03		
456	8.28E-03		
457	8.15E-03		
458	8.04E-03		
459	7.94E-03		
460	7.83E-03		
461	7.75E-03		
462	7.66E-03		
463	7.55E-03		
464	7.46E-03		
465	7.35E-03		
466	7.26E-03		
467	7.19E-03		
468	7.09E-03		
469	6.99E-03		
470	6.89E-03		
471	6.78E-03		
472	6.68E-03		
473	6.59E-03		
474	6.50E-03		
475	6.41E-03		
476	6.35E-03		
477	6.28E-03		
478	6.25E-03		
479	6.23E-03		
480	6.21E-03		
481	6.20E-03		
482	6.20E-03		
483	6.23E-03		
484	6.27E-03		
485	6.32E-03		
486	6.38E-03		
487	6.46E-03		
488	6.54E-03		
489	6.63E-03		
490	6.71E-03		
491	6.80E-03		
492	6.90E-03		
493	6.99E-03		
494	7.08E-03		
495	7.19E-03		
496	7.28E-03		
497	7.36E-03		
498	7.43E-03		
499	7.49E-03		
500	7.53E-03		
501	7.56E-03		
502	7.57E-03		
503	7.60E-03		
504	7.62E-03		
505	7.61E-03		
506	7.60E-03		
507	7.61E-03		
508	7.61E-03		
509	7.60E-03		
510	7.60E-03		
511	7.60E-03		
512	7.60E-03		
513	7.62E-03		
514	7.65E-03		
515	7.71E-03		
516	7.76E-03		
517	7.80E-03		
518	7.84E-03		
519	7.89E-03		
520	7.96E-03		
521	8.02E-03		
522	8.10E-03		
523	8.18E-03		
524	8.26E-03		
525	8.36E-03		
526	8.46E-03		
527	8.56E-03		
528	8.67E-03		
529	8.77E-03		
530	8.86E-03		
531	8.97E-03		
532	9.08E-03		
533	9.21E-03		
534	9.33E-03		
535	9.47E-03		
536	9.60E-03		
537	9.74E-03		
538	9.87E-03		
539	9.98E-03		
540	1.01E-02		
541	1.02E-02		
542	1.04E-02		
543	1.05E-02		
544	1.07E-02		
545	1.08E-02		
546	1.09E-02		
547	1.11E-02		
548	1.12E-02		
549	1.13E-02		
550	1.15E-02		
551	1.16E-02		
552	1.17E-02		
553	1.19E-02		
554	1.20E-02		
555	1.22E-02		
556	1.23E-02		
557	1.24E-02		
558	1.26E-02		
559	1.27E-02		
560	1.29E-02		
561	1.31E-02		
562	1.33E-02		
563	1.34E-02		
564	1.36E-02		
565	0.013771483		
566	1.39E-02		
567	1.40E-02		
568	1.40E-02		
569	0.013961552		
570	1.38E-02		
571	1.36E-02		
572	1.32E-02		
573	0.012709018		
574	1.21E-02		
575	1.15E-02		
576	1.08E-02		
577	1.00E-02		
578	9.29E-03		
579	8.54E-03		
580	7.83E-03		
581	7.19E-03		
582	6.59E-03		
583	6.06E-03		
584	5.60E-03		
585	5.16E-03		
586	4.81E-03		
587	4.50E-03		
588	4.25E-03		
589	4.03E-03		
590	3.85E-03		
591	3.69E-03		
592	3.59E-03		
593	3.50E-03		
594	3.42E-03		
595	3.36E-03		
596	3.30E-03		
597	3.24E-03		
598	3.19E-03		
599	3.15E-03		
600	3.13E-03		
601	3.11E-03		
602	3.10E-03		
603	3.09E-03		
604	3.10E-03		
605	3.10E-03		
606	3.10E-03		
