OLIS-3D-ASCII	SySl1039		
375	9.41E-03		
376	9.64E-03		
377	9.86E-03		
378	1.01E-02		
379	0.010245019		
380	1.04E-02		
381	1.06E-02		
382	1.07E-02		
383	1.09E-02		
384	1.09E-02		
385	1.10E-02		
386	1.11E-02		
387	1.11E-02		
388	0.011203409		
389	1.13E-02		
390	1.14E-02		
391	1.15E-02		
392	1.16E-02		
393	1.17E-02		
394	1.18E-02		
395	1.20E-02		
396	1.21E-02		
397	1.22E-02		
398	1.24E-02		
399	1.25E-02		
400	1.27E-02		
401	1.30E-02		
402	1.32E-02		
403	0.013372336		
404	1.37E-02		
405	1.40E-02		
406	0.014308742		
407	1.46E-02		
408	1.50E-02		
409	1.54E-02		
410	1.58E-02		
411	0.01619984		
412	1.66E-02		
413	1.70E-02		
414	1.73E-02		
415	1.76E-02		
416	1.79E-02		
417	1.82E-02		
418	0.018363229		
419	1.85E-02		
420	1.87E-02		
421	1.88E-02		
422	1.89E-02		
423	1.90E-02		
424	1.91E-02		
425	1.93E-02		
426	1.94E-02		
427	1.96E-02		
428	1.98E-02		
429	2.00E-02		
430	2.02E-02		
431	0.020515658		
432	2.08E-02		
433	2.11E-02		
434	0.02126688		
435	2.14E-02		
436	2.16E-02		
437	0.021669235		
438	2.17E-02		
439	2.16E-02		
440	2.14E-02		
441	2.12E-02		
442	2.09E-02		
443	2.05E-02		
444	2.00E-02		
445	0.019353971		
446	1.87E-02		
447	1.80E-02		
448	0.017304088		
449	1.67E-02		
450	0.016029202		
451	1.54E-02		
452	1.50E-02		
453	1.45E-02		
454	0.014137404		
455	0.013830496		
456	1.36E-02		
457	1.34E-02		
458	0.013213486		
459	1.31E-02		
460	1.29E-02		
461	1.28E-02		
462	1.27E-02		
463	0.012558631		
464	0.012423135		
465	1.23E-02		
466	1.21E-02		
467	1.19E-02		
468	1.17E-02		
469	1.16E-02		
470	1.14E-02		
471	0.011180304		
472	1.10E-02		
473	0.010871658		
474	1.07E-02		
475	1.06E-02		
476	1.05E-02		
477	1.04E-02		
478	1.03E-02		
479	1.02E-02		
480	1.01E-02		
481	1.01E-02		
482	1.01E-02		
483	1.01E-02		
484	1.01E-02		
485	1.02E-02		
486	1.03E-02		
487	1.04E-02		
488	1.05E-02		
489	1.05E-02		
490	1.06E-02		
491	1.07E-02		
492	1.08E-02		
493	1.09E-02		
494	1.09E-02		
495	1.10E-02		
496	1.10E-02		
497	1.10E-02		
498	1.10E-02		
499	1.10E-02		
500	1.09E-02		
501	1.08E-02		
502	1.07E-02		
503	1.06E-02		
504	1.04E-02		
505	1.03E-02		
506	1.01E-02		
507	9.88E-03		
508	9.68E-03		
509	9.46E-03		
510	9.24E-03		
511	9.03E-03		
512	8.81E-03		
513	8.62E-03		
514	8.46E-03		
515	8.27E-03		
516	8.09E-03		
517	7.95E-03		
518	7.80E-03		
519	7.64E-03		
520	7.50E-03		
521	7.37E-03		
522	7.26E-03		
523	7.16E-03		
524	7.07E-03		
525	7.00E-03		
526	6.95E-03		
527	6.90E-03		
528	6.85E-03		
529	6.85E-03		
530	6.81E-03		
531	6.79E-03		
532	6.80E-03		
533	6.80E-03		
534	6.80E-03		
535	6.82E-03		
536	6.83E-03		
537	6.86E-03		
538	6.89E-03		
539	6.94E-03		
540	6.98E-03		
541	7.03E-03		
542	7.06E-03		
543	7.13E-03		
544	7.19E-03		
545	7.25E-03		
546	7.33E-03		
547	7.41E-03		
548	7.47E-03		
549	7.55E-03		
550	7.64E-03		
551	7.72E-03		
552	7.77E-03		
553	7.84E-03		
554	7.91E-03		
555	7.99E-03		
556	8.07E-03		
557	8.18E-03		
558	8.29E-03		
559	8.40E-03		
560	8.49E-03		
561	8.61E-03		
562	8.73E-03		
563	8.85E-03		
564	8.97E-03		
565	9.09E-03		
566	9.19E-03		
567	9.23E-03		
568	9.27E-03		
569	9.26E-03		
570	9.18E-03		
571	9.04E-03		
572	8.82E-03		
573	8.58E-03		
574	8.28E-03		
575	7.95E-03		
576	7.57E-03		
577	7.19E-03		
578	6.82E-03		
579	6.44E-03		
580	6.10E-03		
581	5.80E-03		
582	5.53E-03		
583	5.28E-03		
584	5.06E-03		
585	4.89E-03		
586	4.74E-03		
587	4.59E-03		
588	4.48E-03		
589	4.37E-03		
590	4.30E-03		
591	4.24E-03		
592	4.20E-03		
593	4.18E-03		
594	4.16E-03		
595	4.14E-03		
596	4.10E-03		
597	4.08E-03		
598	4.05E-03		
599	4.02E-03		
600	4.00E-03		
601	3.98E-03		
602	3.98E-03		
603	3.99E-03		
604	4.01E-03		
605	4.05E-03		
606	4.08E-03		
607	4.13E-03		
608	4.18E-03		
609	4.23E-03		
610	4.29E-03		
611	4.35E-03		
612	4.41E-03		
613	4.47E-03		
614	4.52E-03		
615	4.60E-03		
616	4.65E-03		
617	4.70E-03		
618	4.76E-03		
619	4.81E-03		
620	4.87E-03		
621	4.91E-03		
622	4.96E-03		
623	4.99E-03		
624	5.03E-03		
625	5.06E-03		
626	5.08E-03		
627	5.09E-03		
628	5.07E-03		
629	5.05E-03		
630	5.06E-03		
631	5.03E-03		
632	4.99E-03		
633	4.96E-03		
634	4.93E-03		
635	4.91E-03		
636	4.88E-03		
637	4.84E-03		
638	4.80E-03		
639	4.76E-03		
640	4.73E-03		
641	4.71E-03		
642	4.67E-03		
643	4.62E-03		
644	4.58E-03		
645	4.56E-03		
646	4.54E-03		
647	4.54E-03		
648	4.54E-03		
649	4.57E-03		
650	4.63E-03		
651	4.72E-03		
652	4.85E-03		
653	4.98E-03		
654	5.14E-03		
655	5.35E-03		
656	5.60E-03		
657	5.89E-03		
658	6.23E-03		
659	6.63E-03		
660	7.08E-03		
661	7.57E-03		
662	8.12E-03		
663	8.71E-03		
664	9.32E-03		
665	9.93E-03		
666	1.06E-02		
667	1.12E-02		
668	1.18E-02		
669	1.24E-02		
670	1.30E-02		
671	1.35E-02		
672	1.40E-02		
673	1.46E-02		
674	1.51E-02		
675	1.56E-02		
676	1.61E-02		
677	1.66E-02		
678	0.017062222		
679	1.74E-02		
680	1.76E-02		
681	1.76E-02		
682	0.017446888		
683	1.71E-02		
684	1.66E-02		
685	1.59E-02		
686	1.50E-02		
687	1.40E-02		
688	1.30E-02		
689	1.20E-02		
690	1.11E-02		
691	1.01E-02		
692	9.22E-03		
693	8.33E-03		
694	7.58E-03		
695	6.83E-03		
696	6.22E-03		
697	5.58E-03		
698	4.92E-03		
699	4.41E-03		
700	4.07E-03		
701	3.64E-03		
702	3.29E-03		
703	2.97E-03		
704	2.64E-03		
705	2.36E-03		
706	2.11E-03		
707	1.89E-03		
708	1.71E-03		
709	1.57E-03		
710	1.47E-03		
