OLIS-3D-ASCII	SySl1188
375	7.23E-03
376	7.58E-03
377	7.96E-03
378	8.35E-03
379	8.74E-03
380	0.009119794
381	9.47E-03
382	9.76E-03
383	9.95E-03
384	1.02E-02
385	1.03E-02
386	1.05E-02
387	1.06E-02
388	1.07E-02
389	1.08E-02
390	1.10E-02
391	1.11E-02
392	1.13E-02
393	0.011494708
394	1.17E-02
395	1.19E-02
396	1.21E-02
397	1.23E-02
398	1.26E-02
399	1.28E-02
400	1.31E-02
401	1.34E-02
402	1.38E-02
403	1.41E-02
404	1.46E-02
405	0.015012841
406	0.015445512
407	1.59E-02
408	1.63E-02
409	1.68E-02
410	1.73E-02
411	0.017738058
412	1.82E-02
413	1.86E-02
414	1.90E-02
415	1.94E-02
416	1.98E-02
417	0.020079848
418	2.03E-02
419	2.06E-02
420	2.08E-02
421	0.021050656
422	2.12E-02
423	2.14E-02
424	2.15E-02
425	0.021766175
426	0.02194728
427	2.22E-02
428	2.24E-02
429	2.27E-02
430	0.023005171
431	2.34E-02
432	2.37E-02
433	2.40E-02
434	2.42E-02
435	2.44E-02
436	2.46E-02
437	2.47E-02
438	2.47E-02
439	2.46E-02
440	2.44E-02
441	2.41E-02
442	2.38E-02
443	2.34E-02
444	2.28E-02
445	2.22E-02
446	2.15E-02
447	2.09E-02
448	2.01E-02
449	1.94E-02
450	1.87E-02
451	1.81E-02
452	1.75E-02
453	1.70E-02
454	1.66E-02
455	0.016256389
456	1.60E-02
457	1.57E-02
458	1.55E-02
459	1.52E-02
460	1.51E-02
461	1.49E-02
462	1.48E-02
463	0.014575205
464	1.44E-02
465	1.42E-02
466	1.40E-02
467	1.38E-02
468	1.36E-02
469	1.33E-02
470	1.31E-02
471	1.29E-02
472	1.26E-02
473	1.24E-02
474	1.22E-02
475	1.21E-02
476	1.19E-02
477	1.18E-02
478	1.17E-02
479	1.16E-02
480	1.15E-02
481	1.14E-02
482	1.14E-02
483	1.14E-02
484	1.14E-02
485	1.14E-02
486	1.15E-02
487	1.16E-02
488	1.16E-02
489	1.17E-02
490	1.18E-02
491	1.19E-02
492	1.20E-02
493	0.012031369
494	1.21E-02
495	1.21E-02
496	1.21E-02
497	1.20E-02
498	1.20E-02
499	1.19E-02
500	1.17E-02
501	1.15E-02
502	1.13E-02
503	1.11E-02
504	1.09E-02
505	0.010651627
506	1.04E-02
507	1.01E-02
508	9.77E-03
509	9.45E-03
510	9.12E-03
511	8.78E-03
512	8.42E-03
513	8.09E-03
514	7.76E-03
515	7.45E-03
516	7.14E-03
517	6.85E-03
518	6.52E-03
519	6.22E-03
520	5.94E-03
521	5.68E-03
522	5.45E-03
523	5.22E-03
524	4.98E-03
525	4.78E-03
526	4.59E-03
