OLIS-3D-ASCII	SySl1096
375	1.19E-02
376	1.22E-02
377	0.012465845
378	1.27E-02
379	1.28E-02
380	1.29E-02
381	1.29E-02
382	1.30E-02
383	0.013046117
384	1.31E-02
385	1.31E-02
386	1.31E-02
387	1.32E-02
388	1.33E-02
389	1.33E-02
390	1.34E-02
391	1.34E-02
392	1.34E-02
393	1.34E-02
394	1.35E-02
395	1.36E-02
396	1.37E-02
397	1.38E-02
398	0.014007806
399	1.41E-02
400	0.014264083
401	1.44E-02
402	1.46E-02
403	1.48E-02
404	1.51E-02
405	1.53E-02
406	1.57E-02
407	1.60E-02
408	1.64E-02
409	1.67E-02
410	1.72E-02
411	1.74E-02
412	1.78E-02
413	1.82E-02
414	1.84E-02
415	1.88E-02
416	1.90E-02
417	1.91E-02
418	1.93E-02
419	1.94E-02
420	1.95E-02
421	1.96E-02
422	1.97E-02
423	1.97E-02
424	1.98E-02
425	2.00E-02
426	2.01E-02
427	2.03E-02
428	2.04E-02
429	2.06E-02
430	2.08E-02
431	2.10E-02
432	2.12E-02
433	0.021445396
434	0.021643127
435	2.18E-02
436	0.021866705
437	2.19E-02
438	2.19E-02
439	2.18E-02
440	2.16E-02
441	2.13E-02
442	2.10E-02
443	2.06E-02
444	2.01E-02
445	1.95E-02
446	1.89E-02
447	1.83E-02
448	1.77E-02
449	1.71E-02
450	1.65E-02
451	1.59E-02
452	1.54E-02
453	1.50E-02
454	1.46E-02
455	1.43E-02
456	1.40E-02
457	1.38E-02
458	1.36E-02
459	1.34E-02
460	1.32E-02
461	1.31E-02
462	0.012933526
463	1.28E-02
464	1.26E-02
465	1.24E-02
466	1.23E-02
467	1.21E-02
468	1.19E-02
469	1.17E-02
470	1.15E-02
471	1.13E-02
472	1.11E-02
473	1.09E-02
474	1.08E-02
475	1.06E-02
476	1.05E-02
477	0.010348405
478	0.010243994
479	1.02E-02
480	1.01E-02
481	1.01E-02
482	1.00E-02
483	1.00E-02
484	1.00E-02
485	1.01E-02
486	1.01E-02
487	1.02E-02
488	1.02E-02
489	1.03E-02
490	1.03E-02
491	1.04E-02
492	1.04E-02
493	1.04E-02
494	1.04E-02
495	1.04E-02
496	1.04E-02
497	1.03E-02
498	1.03E-02
499	1.01E-02
500	1.00E-02
501	9.84E-03
502	9.65E-03
503	9.47E-03
504	9.25E-03
505	9.02E-03
506	8.78E-03
507	8.53E-03
508	8.27E-03
509	7.97E-03
510	7.70E-03
511	7.38E-03
512	7.08E-03
513	6.80E-03
514	6.54E-03
515	6.30E-03
516	6.03E-03
517	5.79E-03
518	5.54E-03
519	5.30E-03
520	5.05E-03
521	4.82E-03
522	4.62E-03
523	4.42E-03
524	4.24E-03
525	4.08E-03
526	3.94E-03
527	3.80E-03
528	3.67E-03
529	3.54E-03
530	3.41E-03
531	3.30E-03
532	3.20E-03
533	3.11E-03
534	3.03E-03
535	2.96E-03
536	2.88E-03
537	2.84E-03
538	2.77E-03
539	2.70E-03
540	2.65E-03
541	2.59E-03
542	2.55E-03
543	2.50E-03
544	2.48E-03
545	2.45E-03
546	2.44E-03
547	2.44E-03
548	2.45E-03
549	2.48E-03
550	2.49E-03
551	2.51E-03
552	2.53E-03
553	2.56E-03
554	2.59E-03
555	2.62E-03
556	2.66E-03
557	2.70E-03
558	2.75E-03
559	2.80E-03
560	2.85E-03
561	2.91E-03
562	2.97E-03
563	3.03E-03
564	3.10E-03
565	3.18E-03
566	3.25E-03
567	3.34E-03
568	3.42E-03
569	3.51E-03
570	3.61E-03
571	3.71E-03
572	3.80E-03
573	3.91E-03
574	4.00E-03
575	4.10E-03
576	4.19E-03
577	4.29E-03
578	4.39E-03
579	4.48E-03
580	4.56E-03
581	4.67E-03
582	4.78E-03
583	4.88E-03
584	4.97E-03
585	5.06E-03
586	5.14E-03
587	0.005229167
588	5.31E-03
589	5.38E-03
590	5.45E-03
591	5.52E-03
592	5.59E-03
593	5.67E-03
594	5.75E-03
595	5.84E-03
596	5.92E-03
597	5.99E-03
598	6.08E-03
599	6.19E-03
600	6.31E-03
601	6.40E-03
602	6.51E-03
603	6.64E-03
604	6.77E-03
605	6.91E-03
606	7.07E-03
607	7.22E-03
608	7.36E-03
609	7.53E-03
610	7.72E-03
611	7.91E-03
612	8.09E-03
613	8.26E-03
614	8.44E-03
615	8.62E-03
616	8.76E-03
617	8.91E-03
618	9.04E-03
619	9.16E-03
620	9.27E-03
621	9.36E-03
622	9.44E-03
623	9.53E-03
624	9.58E-03
625	9.63E-03
626	9.68E-03
627	9.70E-03
628	9.72E-03
629	9.75E-03
630	9.77E-03
631	9.75E-03
632	9.76E-03
633	9.71E-03
634	9.69E-03
635	9.66E-03
636	9.58E-03
637	9.51E-03
638	9.41E-03
639	0.009291179
640	9.18E-03
641	9.04E-03
642	8.85E-03
643	8.65E-03
644	8.45E-03
645	8.25E-03
646	8.06E-03
647	7.91E-03
648	7.70E-03
649	7.54E-03
650	7.38E-03
651	7.26E-03
652	7.16E-03
653	7.10E-03
654	7.05E-03
655	7.09E-03
656	7.18E-03
657	7.32E-03
658	7.52E-03
659	7.80E-03
660	8.06E-03
661	8.39E-03
662	8.76E-03
663	9.18E-03
664	9.63E-03
665	1.01E-02
666	1.06E-02
667	1.11E-02
668	1.16E-02
669	1.21E-02
670	1.26E-02
671	1.31E-02
672	1.35E-02
673	1.40E-02
674	1.45E-02
675	1.49E-02
676	1.53E-02
677	0.015720312
678	1.61E-02
679	1.64E-02
680	1.65E-02
681	1.65E-02
682	1.63E-02
683	1.59E-02
684	1.54E-02
685	0.014729896
686	1.39E-02
687	1.30E-02
688	1.20E-02
689	1.11E-02
690	1.02E-02
691	9.41E-03
692	8.62E-03
693	7.85E-03
694	7.14E-03
695	6.45E-03
696	5.86E-03
697	5.34E-03
698	4.78E-03
699	4.28E-03
700	3.84E-03
701	3.54E-03
702	3.34E-03
703	3.18E-03
704	3.01E-03
705	2.90E-03
706	2.81E-03
707	2.73E-03
708	2.65E-03
709	2.57E-03
710	2.48E-03
