OLIS-3D-ASCII	SySl1034							
375	6.92E-03							
376	7.04E-03							
377	7.12E-03							
378	7.19E-03							
379	7.23E-03							
380	7.27E-03							
381	7.30E-03							
382	7.40E-03							
383	7.43E-03							
384	7.40E-03							
385	7.42E-03							
386	7.47E-03							
387	7.49E-03							
388	7.45E-03							
389	7.39E-03							
390	7.44E-03							
391	7.43E-03							
392	7.45E-03							
393	7.41E-03							
394	7.48E-03							
395	7.44E-03							
396	7.46E-03							
397	7.54E-03							
398	7.64E-03							
399	7.67E-03							
400	7.70E-03							
401	7.84E-03							
402	7.93E-03							
403	7.97E-03							
404	8.02E-03							
405	8.10E-03							
406	8.22E-03							
407	8.36E-03							
408	8.54E-03							
409	8.73E-03							
410	8.90E-03							
411	9.05E-03							
412	9.20E-03							
413	9.39E-03							
414	9.53E-03							
415	9.65E-03							
416	9.72E-03							
417	9.77E-03							
418	9.80E-03							
419	9.82E-03							
420	9.80E-03							
421	9.82E-03							
422	9.79E-03							
423	9.82E-03							
424	9.86E-03							
425	9.93E-03							
426	1.00E-02							
427	1.01E-02							
428	1.02E-02							
429	1.02E-02							
430	0.010298493							
431	0.010386231							
432	1.04E-02							
433	1.06E-02							
434	1.06E-02							
435	1.07E-02							
436	1.07E-02							
437	1.07E-02							
438	1.07E-02							
439	1.06E-02							
440	1.05E-02							
441	1.04E-02							
442	1.02E-02							
443	1.00E-02							
444	9.76E-03							
445	9.50E-03							
446	9.18E-03							
447	8.85E-03							
448	8.50E-03							
449	8.17E-03							
450	7.85E-03							
451	7.55E-03							
452	7.28E-03							
453	7.06E-03							
454	6.89E-03							
455	6.74E-03							
456	6.62E-03							
457	6.51E-03							
458	6.42E-03							
459	6.32E-03							
460	6.23E-03							
461	6.16E-03							
462	6.08E-03							
463	6.01E-03							
464	5.94E-03							
465	5.88E-03							
466	5.82E-03							
467	5.74E-03							
468	5.68E-03							
469	5.61E-03							
470	0.005542958							
471	5.48E-03							
472	5.41E-03							
473	5.36E-03							
474	5.32E-03							
475	5.29E-03							
476	5.25E-03							
477	5.23E-03							
478	5.20E-03							
479	5.18E-03							
480	5.19E-03							
481	5.21E-03							
482	5.23E-03							
483	5.27E-03							
484	5.33E-03							
485	5.39E-03							
486	5.46E-03							
487	5.54E-03							
488	5.63E-03							
489	5.74E-03							
490	5.83E-03							
491	5.95E-03							
492	6.06E-03							
493	6.17E-03							
494	6.30E-03							
495	6.42E-03							
496	6.54E-03							
497	6.65E-03							
498	6.74E-03							
499	6.84E-03							
500	6.92E-03							
501	6.99E-03							
502	7.10E-03							
503	7.17E-03							
504	7.23E-03							
505	7.31E-03							
506	7.38E-03							
507	7.46E-03							
508	7.54E-03							
509	7.61E-03							
510	7.69E-03							
511	7.79E-03							
512	7.89E-03							
513	8.01E-03							
514	8.15E-03							
515	8.28E-03							
516	8.40E-03							
517	8.55E-03							
518	8.70E-03							
519	8.86E-03							
520	9.03E-03							
521	9.19E-03							
522	9.36E-03							
523	9.54E-03							
524	9.69E-03							
525	9.85E-03							
526	0.010003602							
527	1.02E-02							
528	1.03E-02							
529	1.05E-02							
530	1.06E-02							
531	1.08E-02							
532	1.09E-02							
533	1.11E-02							
534	1.13E-02							
535	1.14E-02							
536	1.16E-02							
537	1.17E-02							
538	1.19E-02							
539	1.21E-02							
540	1.22E-02							
541	1.24E-02							
542	1.26E-02							
543	1.28E-02							
544	1.30E-02							
545	1.31E-02							
546	1.33E-02							
547	1.35E-02							
