OLIS-3D-ASCII	SySl1019		
694	1.36E-02		
695	1.24E-02		
696	1.13E-02		
697	0.01045715		
698	9.67E-03		
699	8.90E-03		
700	8.26E-03		
701	7.74E-03		
702	7.27E-03		
703	6.81E-03		
704	6.36E-03		
705	5.94E-03		
706	5.54E-03		
707	5.15E-03		
708	4.76E-03		
709	4.35E-03		
710	3.93E-03		
