OLIS-3D-ASCII	SySl1125				
375	7.17E-03				
376	7.72E-03				
377	8.15E-03				
378	8.47E-03				
379	8.72E-03				
380	8.89E-03				
381	9.02E-03				
382	9.16E-03				
383	9.26E-03				
384	9.37E-03				
385	9.40E-03				
386	9.41E-03				
387	9.45E-03				
388	9.51E-03				
389	9.50E-03				
390	9.53E-03				
391	9.58E-03				
392	9.53E-03				
393	9.63E-03				
394	9.78E-03				
395	9.94E-03				
396	1.01E-02				
397	0.010242886				
398	1.04E-02				
399	0.010557241				
400	1.07E-02				
401	1.09E-02				
402	1.11E-02				
403	1.13E-02				
404	1.15E-02				
405	1.17E-02				
406	0.012053778				
407	1.23E-02				
408	1.27E-02				
409	1.29E-02				
410	1.33E-02				
411	1.36E-02				
412	1.38E-02				
413	1.42E-02				
414	0.014458166				
415	1.47E-02				
416	1.50E-02				
417	1.52E-02				
418	1.54E-02				
419	1.55E-02				
420	1.56E-02				
421	1.57E-02				
422	1.58E-02				
423	1.58E-02				
424	1.59E-02				
425	1.60E-02				
426	1.61E-02				
427	1.63E-02				
428	1.64E-02				
429	0.01655017				
430	1.67E-02				
431	0.016949465				
432	1.71E-02				
433	1.73E-02				
434	1.74E-02				
435	1.76E-02				
436	1.77E-02				
437	1.77E-02				
438	1.77E-02				
439	1.76E-02				
440	1.75E-02				
441	1.73E-02				
442	1.70E-02				
443	1.67E-02				
444	1.63E-02				
445	0.015879995				
446	1.54E-02				
447	1.49E-02				
448	1.45E-02				
449	1.39E-02				
450	1.35E-02				
451	0.013075764				
452	1.27E-02				
453	1.24E-02				
454	0.012082107				
455	1.18E-02				
456	1.16E-02				
457	1.14E-02				
458	1.13E-02				
459	1.11E-02				
460	1.10E-02				
461	1.08E-02				
462	1.07E-02				
463	0.010612389				
464	1.05E-02				
465	1.04E-02				
466	1.02E-02				
467	0.010111693				
468	9.95E-03				
469	9.77E-03				
470	9.58E-03				
471	9.41E-03				
472	9.25E-03				
473	9.08E-03				
474	8.93E-03				
475	8.79E-03				
476	8.69E-03				
477	8.58E-03				
478	8.49E-03				
479	8.41E-03				
480	8.34E-03				
481	8.29E-03				
482	8.27E-03				
483	8.27E-03				
484	8.29E-03				
485	8.31E-03				
486	8.35E-03				
487	8.40E-03				
488	8.46E-03				
489	8.50E-03				
490	8.56E-03				
491	8.61E-03				
492	8.65E-03				
493	8.67E-03				
494	8.69E-03				
495	8.68E-03				
496	8.66E-03				
497	8.62E-03				
498	8.55E-03				
499	8.47E-03				
500	8.34E-03				
501	8.20E-03				
502	8.07E-03				
503	7.91E-03				
504	7.74E-03				
505	7.54E-03				
506	7.33E-03				
507	7.10E-03				
508	6.87E-03				
509	6.63E-03				
510	6.36E-03				
511	6.10E-03				
512	5.82E-03				
513	5.53E-03				
514	5.28E-03				
515	5.03E-03				
516	4.79E-03				
517	4.58E-03				
518	4.36E-03				
519	4.14E-03				
520	3.92E-03				
521	3.74E-03				
522	3.56E-03				
523	3.40E-03				
524	3.22E-03				
525	3.05E-03				
526	2.91E-03				
527	2.76E-03				
528	2.63E-03				
529	2.53E-03				
530	2.41E-03				
531	2.31E-03				
532	2.23E-03				
533	2.17E-03				
534	2.11E-03				
535	2.06E-03				
536	2.00E-03				
537	1.96E-03				
538	1.90E-03				
539	1.86E-03				
540	1.82E-03				
541	1.80E-03				
542	1.78E-03				
543	1.77E-03				
544	1.76E-03				
545	1.75E-03				
546	1.75E-03				
547	1.75E-03				
548	1.77E-03				
549	1.78E-03				
550	1.80E-03				
551	1.83E-03				
552	1.86E-03				
553	1.89E-03				
554	1.91E-03				
555	1.94E-03				
556	1.97E-03				
557	1.99E-03				
558	2.01E-03				
559	2.06E-03				
560	2.09E-03				
561	2.13E-03				
562	2.18E-03				
563	2.23E-03				
564	2.28E-03				
565	2.33E-03				
566	2.37E-03				
567	2.44E-03				
568	2.50E-03				
569	2.57E-03				
570	2.65E-03				
571	2.74E-03				
572	2.79E-03				
573	2.88E-03				
574	2.95E-03				
575	3.03E-03				
576	3.12E-03				
577	3.18E-03				
578	3.24E-03				
579	3.33E-03				
580	3.41E-03				
581	3.50E-03				
582	3.59E-03				
583	3.66E-03				
584	3.72E-03				
585	3.79E-03				
586	3.85E-03				
587	3.93E-03				
588	3.99E-03				
589	4.02E-03				
590	4.06E-03				
591	4.10E-03				
592	4.15E-03				
593	4.20E-03				
594	4.27E-03				
595	4.32E-03				
596	4.37E-03				
597	4.44E-03				
598	4.50E-03				
599	4.57E-03				
600	4.63E-03				
601	4.69E-03				
602	4.75E-03				
603	4.84E-03				
604	4.94E-03				
605	5.06E-03				
606	5.19E-03				
607	5.32E-03				
608	5.44E-03				
609	5.58E-03				
610	5.72E-03				
611	5.84E-03				
612	5.97E-03				
613	6.12E-03				
614	6.24E-03				
615	6.39E-03				
616	6.50E-03				
617	6.63E-03				
618	6.74E-03				
619	6.86E-03				
620	6.95E-03				
621	7.04E-03				
622	7.11E-03				
623	7.15E-03				
624	7.20E-03				
625	7.24E-03				
626	7.27E-03				
627	7.28E-03				
628	7.30E-03				
629	7.33E-03				
630	7.34E-03				
631	7.36E-03				
632	7.36E-03				
633	7.35E-03				
634	7.32E-03				
635	7.28E-03				
636	7.24E-03				
637	7.16E-03				
638	7.09E-03				
639	6.99E-03				
640	6.90E-03				
641	6.79E-03				
642	6.67E-03				
643	6.53E-03				
644	6.39E-03				
645	6.25E-03				
646	6.11E-03				
647	5.96E-03				
648	5.79E-03				
649	5.66E-03				
650	5.55E-03				
651	5.45E-03				
652	5.38E-03				
653	5.37E-03				
654	5.38E-03				
655	5.41E-03				
656	5.49E-03				
657	5.64E-03				
658	5.82E-03				
659	6.04E-03				
660	6.29E-03				
661	6.63E-03				
662	6.98E-03				
663	7.38E-03				
664	7.82E-03				
665	8.28E-03				
666	8.74E-03				
667	9.21E-03				
668	9.67E-03				
669	1.01E-02				
670	1.06E-02				
671	1.10E-02				
672	1.14E-02				
673	1.19E-02				
674	0.012295186				
675	1.27E-02				
676	1.31E-02				
677	1.34E-02				
678	1.37E-02				
679	1.39E-02				
680	1.40E-02				
681	1.39E-02				
682	1.38E-02				
683	1.35E-02				
684	1.31E-02				
685	1.26E-02				
686	1.19E-02				
687	1.12E-02				
688	1.04E-02				
689	9.70E-03				
690	8.90E-03				
691	8.18E-03				
692	7.48E-03				
693	6.79E-03				
694	6.20E-03				
695	5.59E-03				
696	5.05E-03				
697	4.55E-03				
698	4.08E-03				
699	3.67E-03				
700	3.33E-03				
701	3.01E-03				
702	2.82E-03				
703	2.68E-03				
704	2.54E-03				
705	2.46E-03				
706	2.36E-03				
707	2.22E-03				
708	2.01E-03				
709	1.71E-03				
710	1.29E-03				
