OLIS-3D-ASCII	SySl1094
375	8.54E-03
376	8.59E-03
377	8.73E-03
378	8.93E-03
379	9.17E-03
380	9.42E-03
381	9.66E-03
382	9.75E-03
383	9.82E-03
384	9.90E-03
385	9.92E-03
386	9.93E-03
387	9.88E-03
388	9.86E-03
389	9.89E-03
390	9.96E-03
391	1.00E-02
392	1.01E-02
393	1.01E-02
394	1.02E-02
395	1.02E-02
396	0.010347462
397	1.05E-02
398	1.06E-02
399	1.08E-02
400	0.01102719
401	0.011211371
402	1.14E-02
403	1.15E-02
404	1.17E-02
405	1.19E-02
406	1.22E-02
407	1.26E-02
408	1.29E-02
409	1.32E-02
410	1.35E-02
411	1.39E-02
412	1.41E-02
413	1.44E-02
414	1.46E-02
415	1.48E-02
416	1.50E-02
417	1.52E-02
418	0.015426188
419	1.56E-02
420	1.58E-02
421	1.59E-02
422	1.60E-02
423	1.61E-02
424	1.62E-02
425	1.64E-02
426	1.65E-02
427	1.66E-02
428	1.68E-02
429	0.016929893
430	1.71E-02
431	1.73E-02
432	0.017503254
433	1.77E-02
434	1.79E-02
435	1.80E-02
436	1.81E-02
437	1.82E-02
438	1.82E-02
439	1.81E-02
440	1.80E-02
441	1.78E-02
442	1.76E-02
443	1.73E-02
444	1.69E-02
445	1.66E-02
446	1.62E-02
447	1.57E-02
448	1.53E-02
449	1.48E-02
450	1.44E-02
451	1.40E-02
452	1.37E-02
453	1.33E-02
454	1.31E-02
455	1.28E-02
456	1.27E-02
457	1.25E-02
458	1.23E-02
459	1.22E-02
460	1.20E-02
461	1.19E-02
462	1.18E-02
463	1.17E-02
464	1.15E-02
465	1.13E-02
466	1.12E-02
467	1.10E-02
468	1.09E-02
469	1.07E-02
470	0.010535507
471	1.04E-02
472	1.02E-02
473	1.01E-02
474	9.91E-03
475	9.77E-03
476	9.63E-03
477	9.53E-03
478	9.47E-03
479	9.43E-03
480	9.42E-03
481	9.40E-03
482	9.39E-03
483	9.43E-03
484	9.47E-03
485	9.52E-03
486	9.56E-03
487	9.60E-03
488	9.64E-03
489	9.70E-03
490	9.74E-03
491	9.78E-03
492	9.80E-03
493	9.80E-03
494	9.80E-03
495	9.79E-03
496	9.77E-03
497	9.70E-03
498	9.62E-03
499	9.48E-03
500	9.33E-03
501	9.15E-03
502	8.94E-03
503	8.72E-03
504	8.48E-03
505	8.25E-03
506	8.02E-03
507	7.79E-03
508	7.54E-03
509	7.27E-03
510	7.02E-03
511	6.73E-03
512	6.49E-03
513	6.24E-03
514	5.99E-03
515	5.77E-03
516	5.55E-03
517	5.36E-03
518	5.18E-03
519	5.00E-03
520	4.81E-03
521	4.63E-03
522	4.47E-03
523	4.30E-03
524	4.14E-03
525	3.97E-03
526	3.81E-03
527	3.67E-03
528	3.52E-03
529	3.39E-03
530	3.26E-03
531	3.13E-03
532	3.00E-03
533	2.87E-03
534	2.75E-03
535	2.60E-03
536	2.46E-03
537	2.34E-03
538	2.22E-03
539	0.002103304
540	1.99E-03
541	1.87E-03
542	1.76E-03
543	1.66E-03
544	1.58E-03
545	1.49E-03
546	1.42E-03
547	1.35E-03
548	1.30E-03
549	1.25E-03
550	1.22E-03
551	1.17E-03
552	1.13E-03
553	1.10E-03
554	1.07E-03
555	1.04E-03
556	1.02E-03
557	1.00E-03
558	9.96E-04
559	9.87E-04
560	9.96E-04
561	9.91E-04
562	1.00E-03
563	9.90E-04
564	1.01E-03
565	1.01E-03
566	1.02E-03
567	1.03E-03
568	1.02E-03
569	1.04E-03
570	1.05E-03
571	1.08E-03
572	1.12E-03
573	1.16E-03
574	1.21E-03
575	1.25E-03
576	1.29E-03
577	1.33E-03
578	1.36E-03
579	1.39E-03
580	1.42E-03
581	1.46E-03
582	1.48E-03
583	1.51E-03
584	1.54E-03
585	1.55E-03
586	1.57E-03
587	1.59E-03
588	1.60E-03
589	1.63E-03
590	1.64E-03
591	1.66E-03
592	1.69E-03
593	1.71E-03
594	1.71E-03
595	1.73E-03
596	1.73E-03
597	1.72E-03
598	1.73E-03
599	1.73E-03
600	1.74E-03
601	1.75E-03
602	1.76E-03
603	1.80E-03
604	1.84E-03
605	1.88E-03
606	1.91E-03
607	1.97E-03
608	2.01E-03
609	2.06E-03
610	2.11E-03
611	2.17E-03
612	2.24E-03
613	2.31E-03
614	2.39E-03
615	2.47E-03
616	2.52E-03
617	2.58E-03
618	2.64E-03
619	2.69E-03
620	2.73E-03
621	2.77E-03
622	2.81E-03
623	2.85E-03
624	2.87E-03
625	2.90E-03
626	2.92E-03
627	2.92E-03
628	2.92E-03
629	2.92E-03
630	2.92E-03
631	2.93E-03
632	2.93E-03
633	2.94E-03
634	2.94E-03
635	2.93E-03
636	2.92E-03
637	2.90E-03
638	2.87E-03
639	2.84E-03
640	2.81E-03
641	2.76E-03
642	2.72E-03
643	2.69E-03
644	2.65E-03
645	2.62E-03
646	2.60E-03
647	2.60E-03
648	2.60E-03
649	2.63E-03
650	2.69E-03
651	2.74E-03
652	2.81E-03
653	2.90E-03
654	3.01E-03
655	3.16E-03
656	3.32E-03
657	3.52E-03
658	3.74E-03
659	4.02E-03
660	4.34E-03
661	4.71E-03
662	5.13E-03
663	5.54E-03
664	6.01E-03
665	6.53E-03
666	7.02E-03
667	7.55E-03
668	8.08E-03
669	8.58E-03
670	9.05E-03
671	9.52E-03
672	9.95E-03
673	1.04E-02
674	1.07E-02
675	1.11E-02
676	1.15E-02
677	1.17E-02
678	1.19E-02
679	1.21E-02
680	1.22E-02
681	1.20E-02
682	1.18E-02
683	1.14E-02
684	1.09E-02
685	1.03E-02
686	9.63E-03
687	8.89E-03
688	8.13E-03
689	7.35E-03
690	6.66E-03
691	6.02E-03
692	5.39E-03
693	4.83E-03
694	4.33E-03
695	3.89E-03
696	3.48E-03
697	3.16E-03
698	2.85E-03
699	2.48E-03
700	2.20E-03
701	2.01E-03
702	1.82E-03
703	1.68E-03
704	1.49E-03
705	1.34E-03
706	1.21E-03
707	1.08E-03
708	9.52E-04
709	8.30E-04
710	7.06E-04
