OLIS-3D-ASCII	SySl1325						
375	4.25E-03						
376	4.14E-03						
377	4.09E-03						
378	4.08E-03						
379	4.11E-03						
380	4.17E-03						
381	4.23E-03						
382	4.32E-03						
383	4.29E-03						
384	4.29E-03						
385	4.21E-03						
386	4.19E-03						
387	4.15E-03						
388	4.10E-03						
389	4.03E-03						
390	4.01E-03						
391	3.96E-03						
392	3.93E-03						
393	3.99E-03						
394	4.00E-03						
395	4.01E-03						
396	3.96E-03						
397	3.95E-03						
398	3.97E-03						
399	3.97E-03						
400	3.94E-03						
401	3.93E-03						
402	3.92E-03						
403	3.95E-03						
404	3.97E-03						
405	4.02E-03						
406	4.08E-03						
407	4.14E-03						
408	4.17E-03						
409	4.28E-03						
410	4.36E-03						
411	4.42E-03						
412	4.47E-03						
413	4.52E-03						
414	4.56E-03						
415	4.58E-03						
416	4.61E-03						
417	4.63E-03						
418	4.67E-03						
419	4.65E-03						
420	4.64E-03						
421	4.66E-03						
422	4.65E-03						
423	4.67E-03						
424	4.67E-03						
425	4.70E-03						
426	4.72E-03						
427	4.73E-03						
428	4.78E-03						
429	4.82E-03						
430	4.86E-03						
431	4.85E-03						
432	4.88E-03						
433	4.91E-03						
434	4.93E-03						
435	4.97E-03						
436	4.97E-03						
437	5.00E-03						
438	5.00E-03						
439	5.00E-03						
440	4.98E-03						
441	4.94E-03						
442	4.88E-03						
443	4.77E-03						
444	4.65E-03						
445	4.50E-03						
446	4.34E-03						
447	4.19E-03						
448	4.02E-03						
449	3.86E-03						
450	3.71E-03						
451	3.58E-03						
452	3.46E-03						
453	3.33E-03						
454	3.23E-03						
455	3.11E-03						
456	3.03E-03						
457	2.95E-03						
458	2.88E-03						
459	2.84E-03						
460	2.78E-03						
461	2.74E-03						
462	2.72E-03						
463	2.69E-03						
464	2.66E-03						
465	2.62E-03						
466	2.59E-03						
467	2.56E-03						
468	2.53E-03						
469	2.51E-03						
470	2.47E-03						
471	2.45E-03						
472	2.43E-03						
473	2.41E-03						
474	2.38E-03						
475	2.34E-03						
476	2.32E-03						
477	2.31E-03						
478	2.30E-03						
479	2.28E-03						
480	2.27E-03						
481	2.27E-03						
482	2.25E-03						
483	2.24E-03						
484	2.25E-03						
485	2.24E-03						
486	2.23E-03						
487	2.22E-03						
488	2.23E-03						
489	2.26E-03						
490	2.27E-03						
491	2.28E-03						
492	2.29E-03						
493	2.31E-03						
494	2.30E-03						
495	2.29E-03						
496	2.29E-03						
497	2.27E-03						
498	2.25E-03						
499	2.23E-03						
500	2.23E-03						
501	2.23E-03						
502	2.21E-03						
503	2.19E-03						
504	2.16E-03						
505	2.15E-03						
506	2.12E-03						
507	0.00209917						
508	2.08E-03						
509	2.04E-03						
510	2.00E-03						
511	1.98E-03						
512	1.96E-03						
513	1.92E-03						
514	1.90E-03						
515	1.87E-03						
516	1.84E-03						
517	1.82E-03						
518	1.78E-03						
519	1.75E-03						
520	1.72E-03						
521	1.69E-03						
522	1.66E-03						
523	1.63E-03						
524	1.60E-03						
525	1.57E-03						
526	1.54E-03						
527	1.53E-03						
528	1.48E-03						
529	1.45E-03						
530	1.43E-03						
531	1.40E-03						
532	1.37E-03						
533	1.34E-03						
534	1.30E-03						
535	1.27E-03						
536	1.25E-03						
537	1.23E-03						
538	1.21E-03						
539	1.21E-03						
540	1.18E-03						
541	1.18E-03						
542	1.18E-03						
543	1.18E-03						
544	1.17E-03						
545	1.16E-03						
546	1.15E-03						
547	1.14E-03						
548	1.13E-03						
549	1.12E-03						
550	1.13E-03						
551	1.13E-03						
552	1.12E-03						
553	1.15E-03						
554	1.18E-03						
555	1.21E-03						
556	1.24E-03						
557	1.27E-03						
558	1.30E-03						
559	1.32E-03						
560	1.34E-03						
561	1.36E-03						
562	1.38E-03						
563	1.40E-03						
564	1.41E-03						
565	1.45E-03						
566	1.48E-03						
567	1.52E-03						
568	1.57E-03						
569	1.62E-03						
570	1.66E-03						
571	1.71E-03						
572	1.74E-03						
573	1.78E-03						
574	1.81E-03						
575	1.84E-03						
576	1.88E-03						
577	1.91E-03						
578	1.93E-03						
579	1.97E-03						
580	2.02E-03						
581	2.07E-03						
582	2.11E-03						
583	2.13E-03						
584	2.15E-03						
585	2.18E-03						
586	2.21E-03						
587	2.25E-03						
588	2.28E-03						
589	2.30E-03						
590	2.33E-03						
591	2.36E-03						
592	2.39E-03						
593	2.43E-03						
594	2.46E-03						
595	2.47E-03						
596	2.50E-03						
597	2.54E-03						
598	2.57E-03						
599	2.61E-03						
600	2.65E-03						
601	2.69E-03						
602	2.73E-03						
603	2.79E-03						
604	2.84E-03						
605	2.92E-03						
606	2.96E-03						
607	3.03E-03						
608	3.09E-03						
609	3.17E-03						
610	3.24E-03						
611	3.32E-03						
612	3.41E-03						
613	3.48E-03						
614	3.56E-03						
615	3.64E-03						
616	3.70E-03						
617	3.76E-03						
618	3.81E-03						
619	3.87E-03						
620	3.93E-03						
621	3.97E-03						
622	4.02E-03						
623	4.06E-03						
624	4.11E-03						
625	4.14E-03						
626	4.18E-03						
627	4.20E-03						
628	4.20E-03						
629	4.20E-03						
630	4.17E-03						
631	4.15E-03						
632	0.004129849						
633	4.09E-03						
634	4.06E-03						
635	4.04E-03						
636	4.00E-03						
637	3.95E-03						
638	3.92E-03						
639	3.87E-03						
640	3.82E-03						
641	3.74E-03						
642	3.65E-03						
643	3.57E-03						
644	3.48E-03						
645	3.41E-03						
646	3.32E-03						
647	3.25E-03						
648	3.15E-03						
649	3.08E-03						
650	3.02E-03						
651	2.96E-03						
652	2.92E-03						
653	2.86E-03						
654	2.80E-03						
655	2.78E-03						
656	2.75E-03						
657	2.73E-03						
658	2.74E-03						
659	2.77E-03						
660	2.83E-03						
661	2.91E-03						
662	2.99E-03						
663	3.12E-03						
664	3.22E-03						
665	3.34E-03						
666	3.45E-03						
667	3.57E-03						
668	3.69E-03						
669	3.79E-03						
670	3.89E-03						
671	4.00E-03						
672	4.10E-03						
673	4.21E-03						
674	4.33E-03						
675	4.47E-03						
676	4.57E-03						
677	4.69E-03						
678	4.79E-03						
679	4.90E-03						
680	5.00E-03						
681	5.02E-03						
682	5.00E-03						
683	4.89E-03						
684	4.78E-03						
685	4.66E-03						
686	4.51E-03						
687	4.26E-03						
688	4.01E-03						
689	3.76E-03						
690	3.52E-03						
691	3.26E-03						
692	3.00E-03						
693	2.79E-03						
694	2.57E-03						
695	2.39E-03						
696	2.25E-03						
697	2.09E-03						
698	2.00E-03						
699	1.88E-03						
700	1.82E-03						
701	1.72E-03						
702	1.69E-03						
703	1.57E-03						
704	1.59E-03						
705	1.60E-03						
706	1.58E-03						
707	1.53E-03						
708	1.41E-03						
709	1.22E-03						
710	9.33E-04						
