OLIS-3D-ASCII	SySl1322	
375	2.80E-03	
376	2.86E-03	
377	2.91E-03	
378	2.95E-03	
379	2.99E-03	
380	3.02E-03	
381	3.03E-03	
382	3.04E-03	
383	2.99E-03	
384	2.97E-03	
385	2.98E-03	
386	2.98E-03	
387	2.92E-03	
388	2.90E-03	
389	2.97E-03	
390	2.90E-03	
391	2.89E-03	
392	2.92E-03	
393	2.92E-03	
394	2.96E-03	
395	2.98E-03	
396	3.04E-03	
397	3.09E-03	
398	3.10E-03	
399	3.08E-03	
400	3.10E-03	
401	3.11E-03	
402	3.13E-03	
403	3.14E-03	
404	3.17E-03	
405	3.24E-03	
406	3.32E-03	
407	3.35E-03	
408	3.39E-03	
409	3.41E-03	
410	3.44E-03	
411	3.50E-03	
412	3.59E-03	
413	3.66E-03	
414	3.72E-03	
415	3.76E-03	
416	3.80E-03	
417	3.86E-03	
418	3.89E-03	
419	3.89E-03	
420	3.91E-03	
421	3.92E-03	
422	0.003934572	
423	3.98E-03	
424	4.01E-03	
425	4.04E-03	
426	4.06E-03	
427	4.09E-03	
428	4.11E-03	
429	4.13E-03	
430	4.15E-03	
431	4.17E-03	
432	4.20E-03	
433	4.22E-03	
434	4.24E-03	
435	4.26E-03	
436	4.25E-03	
437	4.27E-03	
438	4.28E-03	
439	4.27E-03	
440	4.24E-03	
441	0.004215455	
442	4.20E-03	
443	4.19E-03	
444	4.16E-03	
445	4.14E-03	
446	4.10E-03	
447	4.06E-03	
448	4.01E-03	
449	3.97E-03	
450	3.93E-03	
451	3.87E-03	
452	3.85E-03	
453	3.83E-03	
454	3.82E-03	
455	3.80E-03	
456	3.80E-03	
457	3.81E-03	
458	3.82E-03	
459	3.81E-03	
460	3.79E-03	
461	3.77E-03	
462	3.74E-03	
463	3.68E-03	
464	3.64E-03	
465	3.59E-03	
466	3.51E-03	
467	3.44E-03	
468	3.38E-03	
469	3.34E-03	
470	3.31E-03	
471	3.26E-03	
472	3.24E-03	
473	3.22E-03	
474	3.18E-03	
475	0.003143908	
476	3.13E-03	
477	3.11E-03	
478	3.09E-03	
479	3.08E-03	
480	3.08E-03	
481	3.08E-03	
482	3.10E-03	
483	3.11E-03	
484	3.14E-03	
485	3.15E-03	
486	3.16E-03	
487	3.15E-03	
488	3.16E-03	
489	3.15E-03	
490	3.14E-03	
491	3.14E-03	
492	3.12E-03	
493	3.11E-03	
494	3.10E-03	
495	3.08E-03	
496	3.06E-03	
497	3.03E-03	
498	3.00E-03	
499	2.95E-03	
500	2.91E-03	
501	2.87E-03	
502	2.83E-03	
503	2.80E-03	
504	0.002741233	
505	2.70E-03	
506	2.65E-03	
507	2.62E-03	
508	2.57E-03	
509	2.53E-03	
510	2.51E-03	
511	2.46E-03	
512	2.43E-03	
513	2.40E-03	
514	2.36E-03	
515	2.33E-03	
516	2.28E-03	
517	2.25E-03	
518	2.21E-03	
519	2.19E-03	
520	2.17E-03	
521	2.14E-03	
522	2.11E-03	
523	2.08E-03	
524	2.02E-03	
525	1.97E-03	
526	1.93E-03	
527	0.001885515	
528	1.84E-03	
529	1.79E-03	
530	1.73E-03	
531	1.70E-03	
532	1.65E-03	
533	1.60E-03	
534	1.56E-03	
535	1.52E-03	
536	1.46E-03	
537	1.43E-03	
538	1.39E-03	
539	1.35E-03	
540	1.31E-03	
541	1.26E-03	
542	1.22E-03	
543	1.20E-03	
544	1.17E-03	
545	1.14E-03	
546	1.13E-03	
547	1.10E-03	
548	1.08E-03	
549	1.07E-03	
550	1.04E-03	
551	1.03E-03	
552	1.01E-03	
553	9.98E-04	
554	9.95E-04	
555	9.97E-04	
556	9.97E-04	
557	1.01E-03	
558	9.98E-04	
559	9.82E-04	
560	9.78E-04	
561	9.77E-04	
562	9.74E-04	
563	9.67E-04	
564	9.54E-04	
565	9.53E-04	
566	9.51E-04	
567	9.54E-04	
568	9.57E-04	
569	9.50E-04	
570	9.39E-04	
571	9.36E-04	
572	9.24E-04	
573	9.19E-04	
574	9.02E-04	
575	8.78E-04	
576	8.49E-04	
577	8.16E-04	
578	7.73E-04	
579	7.47E-04	
580	7.29E-04	
581	7.08E-04	
582	7.01E-04	
583	6.94E-04	
584	6.82E-04	
585	6.89E-04	
586	6.76E-04	
