OLIS-3D-ASCII	SySl1110			
375	6.84E-03			
376	6.84E-03			
377	6.87E-03			
378	6.93E-03			
379	7.01E-03			
380	7.10E-03			
381	7.20E-03			
382	7.25E-03			
383	7.31E-03			
384	7.41E-03			
385	7.35E-03			
386	7.29E-03			
387	7.36E-03			
388	7.39E-03			
389	7.38E-03			
390	7.50E-03			
391	7.54E-03			
392	7.59E-03			
393	7.60E-03			
394	7.64E-03			
395	7.62E-03			
396	7.63E-03			
397	0.007635929			
398	7.76E-03			
399	7.94E-03			
400	8.06E-03			
401	8.20E-03			
402	8.37E-03			
403	8.48E-03			
404	8.64E-03			
405	8.77E-03			
406	8.93E-03			
407	9.08E-03			
408	9.27E-03			
409	9.48E-03			
410	9.72E-03			
411	9.92E-03			
412	1.01E-02			
413	1.03E-02			
414	1.05E-02			
415	1.06E-02			
416	1.08E-02			
417	1.09E-02			
418	1.10E-02			
419	1.11E-02			
420	1.12E-02			
421	1.13E-02			
422	1.14E-02			
423	1.14E-02			
424	1.15E-02			
425	1.16E-02			
426	1.16E-02			
427	1.17E-02			
428	1.18E-02			
429	1.19E-02			
430	1.20E-02			
431	1.22E-02			
432	1.23E-02			
433	1.24E-02			
434	1.25E-02			
435	0.012585821			
436	0.012641107			
437	1.27E-02			
438	1.27E-02			
439	1.26E-02			
440	1.26E-02			
441	1.25E-02			
442	1.23E-02			
443	1.21E-02			
444	1.20E-02			
445	1.17E-02			
446	0.01151483			
447	1.13E-02			
448	1.10E-02			
449	1.07E-02			
450	1.05E-02			
451	1.02E-02			
452	1.00E-02			
453	9.79E-03			
454	9.60E-03			
455	9.45E-03			
456	9.31E-03			
457	9.20E-03			
458	9.13E-03			
459	9.04E-03			
460	8.99E-03			
461	8.91E-03			
462	8.85E-03			
463	8.77E-03			
464	8.66E-03			
465	8.54E-03			
466	8.41E-03			
467	8.27E-03			
468	8.14E-03			
469	7.99E-03			
470	7.86E-03			
471	7.71E-03			
472	7.59E-03			
473	7.46E-03			
474	7.34E-03			
475	7.22E-03			
476	7.10E-03			
477	7.01E-03			
478	6.95E-03			
479	6.90E-03			
480	6.89E-03			
481	6.86E-03			
482	6.85E-03			
483	6.86E-03			
484	6.88E-03			
485	6.92E-03			
486	6.95E-03			
487	6.97E-03			
488	7.02E-03			
489	7.07E-03			
490	7.13E-03			
491	7.17E-03			
492	7.21E-03			
493	7.21E-03			
494	7.20E-03			
495	7.20E-03			
496	7.16E-03			
497	7.10E-03			
498	7.01E-03			
499	6.92E-03			
500	6.82E-03			
501	6.69E-03			
502	6.55E-03			
503	6.42E-03			
504	6.26E-03			
505	6.08E-03			
506	5.90E-03			
507	5.72E-03			
508	5.52E-03			
509	5.31E-03			
510	5.11E-03			
511	4.91E-03			
512	4.72E-03			
513	4.51E-03			
514	4.34E-03			
515	4.18E-03			
516	4.01E-03			
517	3.84E-03			
518	3.68E-03			
519	3.51E-03			
520	3.34E-03			
521	3.17E-03			
522	3.02E-03			
523	2.89E-03			
524	2.76E-03			
525	2.61E-03			
526	2.50E-03			
527	2.40E-03			
528	2.29E-03			
529	0.002188281			
530	2.09E-03			
531	1.99E-03			
532	1.89E-03			
533	1.79E-03			
534	1.71E-03			
535	1.64E-03			
536	1.55E-03			
537	1.47E-03			
538	1.41E-03			
539	1.34E-03			
540	1.28E-03			
541	1.21E-03			
542	1.16E-03			
543	1.11E-03			
544	1.06E-03			
545	1.01E-03			
546	9.84E-04			
547	9.45E-04			
548	9.13E-04			
549	8.75E-04			
550	8.43E-04			
551	8.19E-04			
552	8.01E-04			
553	7.74E-04			
554	7.55E-04			
555	7.34E-04			
556	7.25E-04			
557	7.19E-04			
558	7.12E-04			
559	7.02E-04			
560	7.03E-04			
561	6.94E-04			
562	7.04E-04			
563	7.04E-04			
564	7.13E-04			
565	7.16E-04			
566	7.25E-04			
567	7.45E-04			
568	7.58E-04			
569	7.71E-04			
570	7.82E-04			
571	7.92E-04			
572	8.13E-04			
573	8.29E-04			
574	8.52E-04			
575	8.62E-04			
576	8.72E-04			
577	8.87E-04			
578	9.04E-04			
579	9.22E-04			
580	9.30E-04			
581	9.37E-04			
582	9.57E-04			
583	9.75E-04			
584	1.00E-03			
585	1.03E-03			
586	1.06E-03			
587	1.07E-03			
588	1.07E-03			
589	1.09E-03			
590	1.10E-03			
591	1.10E-03			
592	1.10E-03			
593	1.11E-03			
594	1.11E-03			
595	1.11E-03			
596	1.11E-03			
597	1.12E-03			
598	1.14E-03			
599	1.14E-03			
600	1.14E-03			
601	1.14E-03			
602	1.15E-03			
603	1.15E-03			
604	1.17E-03			
605	1.19E-03			
606	1.22E-03			
607	1.24E-03			
608	1.26E-03			
609	1.32E-03			
610	1.36E-03			
611	1.41E-03			
612	1.46E-03			
613	1.49E-03			
614	1.54E-03			
615	1.60E-03			
616	1.65E-03			
617	1.70E-03			
618	1.73E-03			
619	1.76E-03			
620	1.78E-03			
621	1.81E-03			
622	1.84E-03			
623	1.86E-03			
624	1.86E-03			
625	0.001885177			
626	1.91E-03			
627	1.91E-03			
628	1.91E-03			
629	1.93E-03			
630	1.92E-03			
631	1.93E-03			
632	1.91E-03			
633	1.89E-03			
634	1.88E-03			
635	1.86E-03			
636	1.84E-03			
637	1.83E-03			
638	1.80E-03			
639	1.75E-03			
640	1.74E-03			
641	1.74E-03			
642	1.74E-03			
643	1.74E-03			
644	1.71E-03			
645	1.71E-03			
646	1.72E-03			
647	1.72E-03			
648	1.72E-03			
649	1.73E-03			
650	1.73E-03			
651	1.74E-03			
652	1.78E-03			
653	1.86E-03			
654	1.96E-03			
655	2.06E-03			
656	2.16E-03			
657	2.30E-03			
658	2.45E-03			
659	2.65E-03			
660	2.86E-03			
661	3.11E-03			
662	3.37E-03			
663	3.66E-03			
664	3.98E-03			
665	4.31E-03			
666	4.65E-03			
667	4.98E-03			
668	5.30E-03			
669	5.61E-03			
670	5.91E-03			
671	6.24E-03			
672	6.54E-03			
673	6.84E-03			
674	7.09E-03			
675	7.34E-03			
676	7.57E-03			
677	7.77E-03			
678	7.97E-03			
679	8.09E-03			
680	8.15E-03			
681	8.11E-03			
682	7.99E-03			
683	7.79E-03			
684	7.49E-03			
685	7.14E-03			
686	6.68E-03			
687	6.22E-03			
688	5.72E-03			
689	5.24E-03			
690	4.75E-03			
691	4.32E-03			
692	3.89E-03			
693	3.48E-03			
694	3.13E-03			
695	2.82E-03			
696	2.51E-03			
697	2.24E-03			
698	2.02E-03			
699	1.75E-03			
700	1.51E-03			
701	1.17E-03			
702	9.47E-04			
703	9.00E-04			
704	7.95E-04			
705	7.71E-04			
706	7.56E-04			
707	7.32E-04			
708	6.79E-04			
709	5.77E-04			
710	4.08E-04			
