OLIS-3D-ASCII	SySl1025
375	2.32E-03
376	2.57E-03
377	2.78E-03
378	2.94E-03
379	3.07E-03
380	3.18E-03
381	3.26E-03
382	3.33E-03
383	3.42E-03
384	3.43E-03
385	3.45E-03
386	3.50E-03
387	3.63E-03
388	3.68E-03
389	3.78E-03
390	3.86E-03
391	3.83E-03
392	3.91E-03
393	3.95E-03
394	4.00E-03
395	4.06E-03
396	4.09E-03
397	4.16E-03
398	4.22E-03
399	4.34E-03
400	4.39E-03
401	4.51E-03
402	4.57E-03
403	4.68E-03
404	4.82E-03
405	4.99E-03
406	5.19E-03
407	5.37E-03
408	5.56E-03
409	5.74E-03
410	5.91E-03
411	6.07E-03
412	6.23E-03
413	6.38E-03
414	6.50E-03
415	6.66E-03
416	6.79E-03
417	6.88E-03
418	6.98E-03
419	7.04E-03
420	7.12E-03
421	7.17E-03
422	7.23E-03
423	7.27E-03
424	7.33E-03
425	7.39E-03
426	7.47E-03
427	7.57E-03
428	7.63E-03
429	7.73E-03
430	7.85E-03
431	7.97E-03
432	8.09E-03
433	8.20E-03
434	8.29E-03
435	8.37E-03
436	8.43E-03
437	8.47E-03
438	8.50E-03
439	8.49E-03
440	8.42E-03
441	8.34E-03
442	8.21E-03
443	8.04E-03
444	7.80E-03
445	7.54E-03
446	7.23E-03
447	6.91E-03
448	6.58E-03
449	6.26E-03
450	5.98E-03
451	5.70E-03
452	5.47E-03
453	5.26E-03
454	5.08E-03
455	4.92E-03
456	4.78E-03
457	4.66E-03
458	4.54E-03
459	4.46E-03
460	4.39E-03
461	4.32E-03
462	4.29E-03
463	4.25E-03
464	4.21E-03
465	4.17E-03
466	4.14E-03
467	4.10E-03
468	4.05E-03
469	3.99E-03
470	3.95E-03
471	3.92E-03
472	3.89E-03
473	3.87E-03
474	3.84E-03
475	3.82E-03
476	3.80E-03
477	3.79E-03
478	3.78E-03
479	3.79E-03
480	3.78E-03
481	3.77E-03
482	3.78E-03
483	3.79E-03
484	3.79E-03
485	3.81E-03
486	3.82E-03
487	3.83E-03
488	3.84E-03
489	3.86E-03
490	3.88E-03
491	3.87E-03
492	3.86E-03
493	3.86E-03
494	3.85E-03
495	3.85E-03
496	3.84E-03
497	3.84E-03
498	3.83E-03
499	3.81E-03
500	3.79E-03
501	3.76E-03
502	3.73E-03
503	3.70E-03
504	3.65E-03
505	3.60E-03
506	3.55E-03
507	3.52E-03
508	3.49E-03
509	3.46E-03
510	3.42E-03
511	3.38E-03
512	3.35E-03
513	3.32E-03
514	3.30E-03
515	3.27E-03
516	3.22E-03
517	3.17E-03
518	3.14E-03
519	3.10E-03
520	3.06E-03
521	3.01E-03
522	2.96E-03
523	2.89E-03
524	2.83E-03
525	2.76E-03
526	2.68E-03
527	0.002597297
528	2.53E-03
529	2.46E-03
530	2.41E-03
531	2.35E-03
532	2.31E-03
533	2.26E-03
534	2.20E-03
535	2.14E-03
536	2.08E-03
537	2.02E-03
538	1.96E-03
539	1.90E-03
540	1.86E-03
541	1.81E-03
542	1.78E-03
543	1.76E-03
544	1.73E-03
545	1.70E-03
546	1.69E-03
547	1.71E-03
548	1.72E-03
549	1.74E-03
550	1.74E-03
551	1.75E-03
552	1.78E-03
553	1.80E-03
554	1.82E-03
555	1.85E-03
556	1.87E-03
557	1.92E-03
558	1.98E-03
559	2.05E-03
560	2.11E-03
561	2.17E-03
562	2.22E-03
563	2.29E-03
564	2.35E-03
565	2.43E-03
566	2.48E-03
567	2.55E-03
568	2.63E-03
569	2.70E-03
570	2.78E-03
571	2.85E-03
572	2.93E-03
573	3.00E-03
574	3.09E-03
575	3.16E-03
576	3.23E-03
577	3.29E-03
578	3.35E-03
579	3.42E-03
580	3.49E-03
581	3.55E-03
582	3.62E-03
583	3.67E-03
584	3.74E-03
585	3.80E-03
586	3.87E-03
587	3.94E-03
588	4.01E-03
589	4.07E-03
590	4.14E-03
591	4.21E-03
592	4.26E-03
593	4.32E-03
594	4.38E-03
595	4.41E-03
596	4.46E-03
597	4.51E-03
598	4.57E-03
599	4.64E-03
600	4.71E-03
601	4.80E-03
602	4.90E-03
603	5.00E-03
604	5.10E-03
605	5.23E-03
606	5.35E-03
607	5.47E-03
608	5.61E-03
609	5.75E-03
610	5.92E-03
611	6.08E-03
612	6.22E-03
613	6.38E-03
614	6.52E-03
615	6.68E-03
616	6.82E-03
617	0.00696405
618	7.11E-03
619	7.25E-03
620	7.36E-03
621	7.49E-03
622	7.60E-03
623	7.69E-03
624	7.77E-03
625	7.82E-03
626	7.84E-03
627	7.86E-03
628	7.85E-03
629	7.83E-03
630	7.81E-03
631	7.76E-03
632	7.71E-03
633	7.64E-03
634	7.55E-03
635	7.46E-03
636	7.37E-03
637	7.25E-03
638	7.11E-03
639	6.99E-03
640	6.83E-03
641	6.68E-03
642	6.54E-03
643	6.39E-03
644	6.23E-03
645	6.08E-03
646	5.94E-03
647	5.80E-03
648	0.005695204
649	5.59E-03
650	5.49E-03
651	5.42E-03
652	5.34E-03
653	5.30E-03
654	5.27E-03
655	5.26E-03
656	5.27E-03
657	5.31E-03
658	5.38E-03
659	5.48E-03
660	5.59E-03
661	5.72E-03
662	5.89E-03
663	6.11E-03
664	6.35E-03
665	6.59E-03
666	6.85E-03
667	7.14E-03
668	7.40E-03
669	7.65E-03
670	7.87E-03
671	8.14E-03
672	8.33E-03
673	8.53E-03
674	8.71E-03
675	8.90E-03
676	9.10E-03
677	9.29E-03
678	9.51E-03
679	9.68E-03
680	9.79E-03
681	9.76E-03
682	9.67E-03
683	9.51E-03
684	9.16E-03
685	8.79E-03
686	8.30E-03
687	7.73E-03
688	7.18E-03
689	6.61E-03
690	6.07E-03
691	5.54E-03
692	5.07E-03
693	4.57E-03
694	4.15E-03
695	3.75E-03
696	3.42E-03
697	3.19E-03
698	2.93E-03
699	2.69E-03
700	2.50E-03
701	2.31E-03
702	2.14E-03
703	2.01E-03
704	1.87E-03
705	0.001706326
706	1.56E-03
707	1.44E-03
708	1.36E-03
709	1.32E-03
710	1.32E-03
