OLIS-3D-ASCII	SySl1088
375	-5.54E-04
376	-4.36E-04
377	-3.58E-04
378	-3.11E-04
379	-2.85E-04
380	-2.69E-04
381	-2.55E-04
382	-1.62E-04
383	-1.32E-04
384	-3.42E-05
385	6.33E-07
386	5.63E-05
387	4.03E-05
388	1.14E-04
389	1.83E-04
390	2.52E-04
391	1.82E-04
392	2.23E-04
393	2.43E-04
394	3.45E-04
395	3.78E-04
396	4.27E-04
397	4.45E-04
398	4.62E-04
399	4.52E-04
400	5.07E-04
401	5.70E-04
402	5.88E-04
403	6.03E-04
404	6.99E-04
405	7.49E-04
406	8.31E-04
407	8.93E-04
408	9.41E-04
409	1.00E-03
410	1.06E-03
411	1.11E-03
412	1.19E-03
413	1.22E-03
414	1.27E-03
415	1.32E-03
416	1.36E-03
417	1.40E-03
418	1.42E-03
419	1.44E-03
420	1.45E-03
421	1.48E-03
422	1.50E-03
423	1.50E-03
424	1.52E-03
425	1.52E-03
426	1.55E-03
427	1.57E-03
428	1.60E-03
429	1.64E-03
430	1.66E-03
431	1.70E-03
432	1.72E-03
433	1.78E-03
434	1.80E-03
435	1.83E-03
436	1.85E-03
437	1.88E-03
438	1.89E-03
439	1.89E-03
440	1.88E-03
441	1.85E-03
442	1.80E-03
443	1.76E-03
444	1.70E-03
445	1.64E-03
446	1.55E-03
447	1.47E-03
448	1.38E-03
449	1.32E-03
450	1.26E-03
451	1.21E-03
452	1.16E-03
453	1.10E-03
454	1.08E-03
455	1.07E-03
456	1.07E-03
457	1.03E-03
458	9.92E-04
459	9.65E-04
460	9.54E-04
461	9.50E-04
462	9.38E-04
463	9.15E-04
464	9.01E-04
465	8.88E-04
466	8.88E-04
467	8.77E-04
468	8.72E-04
469	8.42E-04
470	8.25E-04
471	8.18E-04
472	8.06E-04
473	7.89E-04
474	7.76E-04
475	7.52E-04
476	7.47E-04
477	7.28E-04
478	7.16E-04
479	7.07E-04
480	7.08E-04
481	7.08E-04
482	7.07E-04
483	7.12E-04
484	7.17E-04
485	7.23E-04
486	7.26E-04
487	7.21E-04
488	7.33E-04
489	7.34E-04
490	7.50E-04
491	7.60E-04
492	7.77E-04
493	7.96E-04
494	8.00E-04
495	8.19E-04
496	8.34E-04
497	8.30E-04
498	8.26E-04
499	8.15E-04
500	7.99E-04
501	7.90E-04
502	7.82E-04
503	7.64E-04
504	7.57E-04
505	7.47E-04
506	7.28E-04
507	7.06E-04
508	6.79E-04
509	6.60E-04
510	6.39E-04
511	6.05E-04
512	5.79E-04
513	5.59E-04
514	5.36E-04
515	5.25E-04
516	5.20E-04
517	5.03E-04
518	4.81E-04
519	4.55E-04
520	4.35E-04
521	4.17E-04
522	3.90E-04
523	3.54E-04
524	3.30E-04
525	3.15E-04
526	2.90E-04
527	2.89E-04
528	2.83E-04
529	2.66E-04
530	2.66E-04
531	2.64E-04
532	2.54E-04
533	2.56E-04
534	2.60E-04
535	2.61E-04
536	2.61E-04
537	2.68E-04
538	2.71E-04
539	2.90E-04
540	2.95E-04
541	3.12E-04
542	3.31E-04
543	3.28E-04
544	3.23E-04
545	3.44E-04
546	3.48E-04
547	3.39E-04
548	3.42E-04
549	3.50E-04
550	3.71E-04
551	3.93E-04
552	4.33E-04
553	4.74E-04
554	4.96E-04
555	5.15E-04
556	5.31E-04
557	5.53E-04
558	5.46E-04
559	5.58E-04
560	5.73E-04
561	5.77E-04
562	5.97E-04
563	6.11E-04
564	6.39E-04
565	6.74E-04
566	6.90E-04
567	7.09E-04
568	7.30E-04
569	7.39E-04
570	7.62E-04
571	7.92E-04
572	8.16E-04
573	8.42E-04
574	8.68E-04
575	8.86E-04
576	9.03E-04
577	9.18E-04
578	9.21E-04
579	9.38E-04
580	9.51E-04
581	9.69E-04
582	1.01E-03
583	1.05E-03
584	1.09E-03
585	1.12E-03
586	1.16E-03
587	1.18E-03
588	1.18E-03
589	1.17E-03
590	1.18E-03
591	1.19E-03
592	1.19E-03
593	1.22E-03
594	1.24E-03
595	1.26E-03
596	1.28E-03
597	1.31E-03
598	1.35E-03
599	1.38E-03
600	1.39E-03
601	1.41E-03
602	1.44E-03
603	1.48E-03
604	1.51E-03
605	1.54E-03
606	1.57E-03
607	1.61E-03
608	1.64E-03
609	1.68E-03
610	1.72E-03
611	1.75E-03
612	1.78E-03
613	1.81E-03
614	1.84E-03
615	1.88E-03
616	1.90E-03
617	1.93E-03
618	1.96E-03
619	1.99E-03
620	2.02E-03
621	2.06E-03
622	2.08E-03
623	2.10E-03
624	2.12E-03
625	2.12E-03
626	2.12E-03
627	2.13E-03
628	2.12E-03
629	2.13E-03
630	2.12E-03
631	0.002125385
632	0.002126083
633	2.13E-03
634	2.10E-03
635	2.08E-03
636	2.06E-03
637	2.04E-03
638	2.03E-03
639	2.00E-03
640	1.96E-03
641	1.94E-03
642	1.88E-03
643	1.84E-03
644	1.77E-03
645	1.72E-03
646	1.65E-03
647	1.58E-03
648	1.50E-03
649	1.45E-03
650	1.39E-03
651	1.34E-03
