OLIS-3D-ASCII	SySl1107						
375	1.55E-03						
376	1.50E-03						
377	1.48E-03						
378	1.48E-03						
379	1.49E-03						
380	1.52E-03						
381	1.55E-03						
382	1.58E-03						
383	1.66E-03						
384	0.001646328						
385	1.61E-03						
386	1.61E-03						
387	1.58E-03						
388	1.63E-03						
389	1.61E-03						
390	1.59E-03						
391	1.55E-03						
392	1.56E-03						
393	1.54E-03						
394	0.001557745						
395	1.58E-03						
396	1.63E-03						
397	1.66E-03						
398	1.70E-03						
399	1.69E-03						
400	1.69E-03						
401	1.72E-03						
402	1.72E-03						
403	1.71E-03						
404	1.73E-03						
405	1.77E-03						
406	1.81E-03						
407	1.83E-03						
408	1.90E-03						
409	1.94E-03						
410	2.01E-03						
411	2.03E-03						
412	2.09E-03						
413	2.13E-03						
414	2.16E-03						
415	2.16E-03						
416	2.22E-03						
417	2.25E-03						
418	2.24E-03						
419	2.24E-03						
420	2.27E-03						
421	2.27E-03						
422	2.28E-03						
423	2.29E-03						
424	2.30E-03						
425	2.33E-03						
426	2.35E-03						
427	2.37E-03						
428	2.40E-03						
429	2.40E-03						
430	2.41E-03						
431	2.43E-03						
432	2.43E-03						
433	2.44E-03						
434	2.45E-03						
435	2.46E-03						
436	2.48E-03						
437	2.50E-03						
438	2.49E-03						
439	2.48E-03						
440	2.45E-03						
441	2.40E-03						
442	2.37E-03						
443	2.31E-03						
444	2.28E-03						
445	2.23E-03						
446	2.18E-03						
447	2.13E-03						
448	2.08E-03						
449	2.04E-03						
450	1.98E-03						
451	1.93E-03						
452	1.87E-03						
453	1.82E-03						
454	1.79E-03						
455	1.76E-03						
456	1.75E-03						
457	1.73E-03						
458	1.71E-03						
459	1.70E-03						
460	1.68E-03						
461	1.68E-03						
462	1.64E-03						
463	1.62E-03						
464	1.59E-03						
465	1.56E-03						
466	1.55E-03						
467	1.55E-03						
468	1.54E-03						
469	1.53E-03						
470	1.50E-03						
471	1.48E-03						
472	1.45E-03						
473	1.43E-03						
474	1.40E-03						
475	1.37E-03						
476	1.35E-03						
477	1.34E-03						
478	1.33E-03						
479	1.33E-03						
480	1.33E-03						
481	1.34E-03						
482	1.35E-03						
483	1.35E-03						
484	1.35E-03						
485	1.36E-03						
486	1.37E-03						
487	1.36E-03						
488	1.37E-03						
489	1.38E-03						
490	1.38E-03						
491	1.39E-03						
492	1.41E-03						
493	1.42E-03						
494	1.44E-03						
495	1.44E-03						
496	1.44E-03						
497	1.45E-03						
498	1.44E-03						
499	1.44E-03						
500	1.43E-03						
501	1.41E-03						
502	1.40E-03						
503	1.39E-03						
504	1.38E-03						
505	1.38E-03						
506	1.39E-03						
507	1.39E-03						
508	1.40E-03						
509	1.40E-03						
510	1.40E-03						
511	0.00141597						
512	1.40E-03						
513	1.39E-03						
514	1.39E-03						
515	1.38E-03						
516	1.37E-03						
517	1.36E-03						
518	1.36E-03						
519	1.35E-03						
520	1.34E-03						
521	1.33E-03						
522	1.34E-03						
523	1.35E-03						
524	1.36E-03						
525	1.37E-03						
526	1.37E-03						
527	1.38E-03						
528	1.39E-03						
529	1.40E-03						
530	1.40E-03						
531	1.42E-03						
532	1.42E-03						
533	1.43E-03						
534	1.44E-03						
535	1.46E-03						
536	1.48E-03						
537	1.48E-03						
538	1.47E-03						
539	1.49E-03						
540	1.50E-03						
541	1.52E-03						
542	1.54E-03						
543	1.58E-03						
544	1.59E-03						
545	1.61E-03						
546	1.63E-03						
547	1.64E-03						
548	1.65E-03						
549	1.67E-03						
550	1.67E-03						
551	1.69E-03						
552	1.69E-03						
553	1.71E-03						
554	1.72E-03						
555	1.74E-03						
556	1.77E-03						
557	1.78E-03						
558	1.80E-03						
559	1.82E-03						
560	1.85E-03						
561	1.88E-03						
562	1.90E-03						
563	1.91E-03						
564	1.93E-03						
