OLIS-3D-ASCII	SySl1049
375	6.80E-03
376	7.54E-03
377	8.16E-03
378	8.67E-03
379	9.08E-03
380	9.41E-03
381	9.66E-03
382	9.83E-03
383	9.91E-03
384	1.01E-02
385	1.01E-02
386	1.01E-02
387	1.02E-02
388	1.03E-02
389	1.03E-02
390	1.05E-02
391	1.06E-02
392	1.06E-02
393	1.07E-02
394	1.08E-02
395	1.09E-02
396	1.10E-02
397	1.11E-02
398	1.13E-02
399	1.15E-02
400	1.16E-02
401	1.19E-02
402	1.21E-02
403	0.012343723
404	0.012634759
405	0.012946123
406	1.34E-02
407	0.013745634
408	1.41E-02
409	1.45E-02
410	1.49E-02
411	1.52E-02
412	1.56E-02
413	1.59E-02
414	0.016204429
415	1.65E-02
416	1.68E-02
417	1.70E-02
418	1.73E-02
419	1.74E-02
420	1.75E-02
421	1.76E-02
422	1.76E-02
423	1.77E-02
424	1.78E-02
425	1.80E-02
426	1.81E-02
427	1.83E-02
428	1.85E-02
429	1.87E-02
430	1.90E-02
431	0.01921701
432	1.95E-02
433	1.97E-02
434	1.99E-02
435	2.00E-02
436	2.02E-02
437	2.03E-02
438	2.04E-02
439	2.03E-02
440	2.01E-02
441	1.99E-02
442	1.96E-02
443	1.92E-02
444	1.86E-02
445	1.81E-02
446	1.74E-02
447	1.67E-02
448	1.60E-02
449	1.54E-02
450	1.47E-02
451	1.41E-02
452	1.36E-02
453	1.32E-02
454	1.28E-02
455	1.25E-02
456	1.22E-02
457	1.20E-02
458	1.18E-02
459	1.16E-02
460	1.15E-02
461	1.14E-02
462	1.13E-02
463	1.12E-02
464	1.11E-02
465	1.10E-02
466	1.09E-02
467	1.08E-02
468	1.07E-02
469	1.05E-02
470	1.04E-02
471	1.03E-02
472	1.01E-02
473	1.01E-02
474	9.96E-03
475	9.87E-03
476	9.76E-03
477	9.71E-03
478	9.65E-03
479	9.63E-03
480	9.65E-03
481	9.68E-03
482	9.72E-03
483	9.80E-03
484	9.91E-03
485	1.01E-02
486	1.02E-02
487	1.04E-02
488	1.05E-02
489	1.07E-02
490	1.09E-02
491	0.01111453
492	1.13E-02
493	1.15E-02
494	1.17E-02
495	1.19E-02
496	0.012021521
497	1.22E-02
498	1.24E-02
499	1.25E-02
500	1.26E-02
501	1.27E-02
502	1.28E-02
503	1.29E-02
504	1.30E-02
505	1.30E-02
506	1.31E-02
507	1.31E-02
508	1.32E-02
509	1.32E-02
510	1.33E-02
511	1.33E-02
512	0.013366575
513	1.34E-02
514	1.36E-02
515	1.37E-02
516	1.38E-02
517	0.014018247
518	1.42E-02
519	1.43E-02
520	1.45E-02
521	1.47E-02
522	1.48E-02
523	1.50E-02
524	1.52E-02
525	1.54E-02
526	1.56E-02
527	1.58E-02
528	1.60E-02
529	1.62E-02
530	1.64E-02
531	0.016649255
532	0.016898902
533	1.72E-02
534	1.74E-02
535	0.017684044
536	1.79E-02
537	1.82E-02
538	1.84E-02
539	1.87E-02
540	1.89E-02
541	1.92E-02
542	1.95E-02
543	1.98E-02
544	2.01E-02
545	2.04E-02
546	2.07E-02
547	2.10E-02
548	2.13E-02
549	2.15E-02
550	2.18E-02
551	2.21E-02
552	0.022311389
553	2.26E-02
554	2.29E-02
555	0.02313409
556	2.34E-02
557	2.37E-02
558	2.40E-02
559	2.42E-02
560	2.45E-02
561	2.49E-02
562	2.52E-02
563	2.56E-02
564	2.60E-02
565	2.63E-02
566	2.66E-02
567	0.026733209
568	2.67E-02
569	0.026592938
570	2.62E-02
571	2.56E-02
572	2.49E-02
573	2.40E-02
574	2.29E-02
575	2.16E-02
576	2.03E-02
577	1.89E-02
578	1.75E-02
579	1.61E-02
580	1.47E-02
581	1.35E-02
582	1.23E-02
583	1.13E-02
584	1.04E-02
585	9.69E-03
