OLIS-3D-ASCII	SySl1022			
375	2.13E-02			
376	2.13E-02			
377	2.14E-02			
378	2.15E-02			
379	2.17E-02			
380	2.19E-02			
381	2.21E-02			
382	2.22E-02			
383	2.24E-02			
384	2.23E-02			
385	2.22E-02			
386	2.21E-02			
387	2.20E-02			
388	0.021828564			
389	2.17E-02			
390	2.16E-02			
391	2.16E-02			
392	2.15E-02			
393	2.17E-02			
394	2.17E-02			
395	0.021744363			
396	2.18E-02			
397	0.021938053			
398	2.21E-02			
399	2.24E-02			
400	2.26E-02			
401	0.022924003			
402	2.32E-02			
403	2.36E-02			
404	2.41E-02			
405	2.46E-02			
406	2.52E-02			
407	2.58E-02			
408	2.64E-02			
409	2.70E-02			
410	2.76E-02			
411	2.82E-02			
412	2.88E-02			
413	2.93E-02			
414	2.98E-02			
415	3.03E-02			
416	3.09E-02			
417	3.13E-02			
418	3.17E-02			
419	3.21E-02			
420	3.24E-02			
421	3.27E-02			
422	3.30E-02			
423	3.32E-02			
424	3.35E-02			
425	3.39E-02			
426	3.43E-02			
427	3.47E-02			
428	3.51E-02			
429	3.56E-02			
430	3.61E-02			
431	3.67E-02			
432	3.72E-02			
433	3.78E-02			
434	3.82E-02			
435	0.038702629			
436	3.91E-02			
437	3.94E-02			
438	3.96E-02			
439	3.97E-02			
440	3.97E-02			
441	3.95E-02			
442	3.91E-02			
443	3.86E-02			
444	3.80E-02			
445	3.73E-02			
446	3.64E-02			
447	3.55E-02			
448	3.45E-02			
449	3.36E-02			
450	3.28E-02			
451	3.20E-02			
452	3.13E-02			
453	3.06E-02			
454	3.00E-02			
455	2.94E-02			
456	2.90E-02			
457	2.86E-02			
458	2.83E-02			
459	2.79E-02			
460	2.76E-02			
461	2.74E-02			
462	2.72E-02			
463	2.70E-02			
464	2.67E-02			
465	2.65E-02			
466	2.63E-02			
467	2.62E-02			
468	0.025991495			
469	2.58E-02			
470	0.025641783			
471	2.55E-02			
472	2.54E-02			
473	2.54E-02			
474	2.53E-02			
475	2.53E-02			
476	2.53E-02			
477	2.53E-02			
478	2.54E-02			
479	2.55E-02			
480	2.56E-02			
481	2.57E-02			
482	2.58E-02			
483	2.59E-02			
484	2.61E-02			
485	2.61E-02			
486	0.026171331			
487	2.62E-02			
488	0.026187407			
489	2.61E-02			
490	2.60E-02			
491	2.58E-02			
492	0.025697668			
493	2.55E-02			
494	2.52E-02			
495	2.50E-02			
496	2.47E-02			
497	2.44E-02			
498	0.024038545			
499	2.37E-02			
500	2.33E-02			
501	2.30E-02			
502	2.26E-02			
503	2.23E-02			
504	2.19E-02			
505	2.16E-02			
506	2.13E-02			
507	2.10E-02			
508	2.07E-02			
509	2.04E-02			
510	2.02E-02			
511	2.00E-02			
512	1.98E-02			
513	1.96E-02			
514	0.019430872			
515	1.93E-02			
516	1.91E-02			
517	1.89E-02			
518	1.87E-02			
519	1.85E-02			
520	1.82E-02			
521	1.80E-02			
522	1.77E-02			
523	1.73E-02			
524	1.70E-02			
525	1.65E-02			
526	1.61E-02			
527	1.57E-02			
528	1.52E-02			
529	1.46E-02			
530	1.41E-02			
531	1.35E-02			
532	1.30E-02			
533	1.25E-02			
534	1.19E-02			
535	1.14E-02			
536	1.08E-02			
537	1.03E-02			
538	0.009773238			
539	9.27E-03			
540	8.79E-03			
541	8.33E-03			
542	7.89E-03			
543	7.50E-03			
544	7.13E-03			
545	6.78E-03			
546	6.48E-03			
547	6.22E-03			
548	5.96E-03			
549	5.73E-03			
550	5.54E-03			
551	5.36E-03			
552	5.23E-03			
553	5.11E-03			
554	5.02E-03			
555	4.94E-03			
556	4.88E-03			
557	4.82E-03			
558	4.80E-03			
559	4.78E-03			
560	4.76E-03			
561	4.77E-03			
562	4.80E-03			
563	4.83E-03			
564	4.88E-03			
565	4.95E-03			
566	5.03E-03			
567	5.12E-03			
568	5.21E-03			
569	5.31E-03			
570	5.40E-03			
571	5.51E-03			
572	5.65E-03			
573	5.75E-03			
574	5.88E-03			
575	5.98E-03			
576	6.10E-03			
577	6.22E-03			
578	6.33E-03			
579	6.45E-03			
580	6.56E-03			
581	6.67E-03			
582	6.78E-03			
583	6.91E-03			
584	7.03E-03			
585	7.13E-03			
586	7.24E-03			
587	7.34E-03			
588	7.44E-03			
589	7.52E-03			
590	7.61E-03			
591	7.69E-03			
592	7.76E-03			
593	7.86E-03			
594	7.94E-03			
595	8.02E-03			
596	8.11E-03			
597	8.18E-03			
598	8.28E-03			
599	8.40E-03			
600	8.51E-03			
601	8.64E-03			
602	8.79E-03			
603	8.93E-03			
604	9.11E-03			
605	9.31E-03			
606	9.53E-03			
607	9.76E-03			
608	9.99E-03			
609	1.02E-02			
610	1.05E-02			
611	1.08E-02			
612	1.11E-02			
613	1.14E-02			
614	1.17E-02			
615	0.011980249			
616	1.23E-02			
617	1.26E-02			
618	1.28E-02			
619	1.31E-02			
620	1.33E-02			
621	1.35E-02			
622	1.37E-02			
623	1.39E-02			
624	1.41E-02			
625	1.42E-02			
626	1.43E-02			
627	1.43E-02			
628	1.43E-02			
629	1.43E-02			
630	1.43E-02			
631	1.42E-02			
632	1.42E-02			
633	1.41E-02			
634	0.013952103			
635	1.38E-02			
636	1.37E-02			
637	1.34E-02			
638	1.32E-02			
639	1.30E-02			
640	0.012738717			
641	1.25E-02			
642	1.23E-02			
643	1.20E-02			
644	1.18E-02			
645	1.16E-02			
646	1.14E-02			
647	0.011290176			
648	1.11E-02			
649	1.10E-02			
650	1.10E-02			
651	1.09E-02			
652	0.010949615			
653	1.10E-02			
654	0.011090571			
655	1.12E-02			
656	1.15E-02			
657	1.18E-02			
658	1.22E-02			
659	0.012673438			
660	1.32E-02			
661	1.38E-02			
662	1.46E-02			
663	1.54E-02			
664	1.62E-02			
665	1.71E-02			
666	0.018051634			
667	1.90E-02			
668	2.00E-02			
669	2.08E-02			
670	2.17E-02			
671	2.25E-02			
672	2.33E-02			
673	2.42E-02			
674	2.50E-02			
675	2.58E-02			
676	2.64E-02			
677	2.71E-02			
678	2.78E-02			
679	2.83E-02			
680	2.86E-02			
681	2.87E-02			
682	2.85E-02			
683	0.02801245			
684	2.73E-02			
685	2.64E-02			
686	2.51E-02			
687	0.023634053			
688	2.21E-02			
689	2.06E-02			
690	1.91E-02			
691	1.76E-02			
692	1.62E-02			
693	1.48E-02			
694	0.013499185			
695	1.23E-02			
696	1.13E-02			
697	1.04E-02			
698	9.58E-03			
699	8.85E-03			
700	8.33E-03			
701	7.85E-03			
702	7.34E-03			
703	6.90E-03			
704	6.51E-03			
705	6.13E-03			
706	5.78E-03			
707	5.46E-03			
708	5.15E-03			
709	4.86E-03			
710	4.58E-03			
