OLIS-3D-ASCII	SySl1112	
375	1.18E-02	
376	1.22E-02	
377	1.24E-02	
378	1.27E-02	
379	1.29E-02	
380	1.30E-02	
381	0.013107389	
382	1.32E-02	
383	1.32E-02	
384	0.013165211	
385	1.31E-02	
386	1.30E-02	
387	1.30E-02	
388	1.30E-02	
389	0.012901445	
390	1.28E-02	
391	1.29E-02	
392	1.29E-02	
393	1.29E-02	
394	1.30E-02	
395	1.31E-02	
396	1.31E-02	
397	1.32E-02	
398	1.33E-02	
399	1.35E-02	
400	0.013560387	
401	1.37E-02	
402	1.38E-02	
403	1.41E-02	
404	1.43E-02	
405	1.46E-02	
406	1.50E-02	
407	1.53E-02	
408	1.57E-02	
409	1.61E-02	
410	1.65E-02	
411	1.68E-02	
412	1.71E-02	
413	1.74E-02	
414	1.77E-02	
415	0.018044688	
416	1.84E-02	
417	0.018595678	
418	1.88E-02	
419	0.018987712	
420	1.91E-02	
421	1.93E-02	
422	1.94E-02	
423	1.94E-02	
424	1.95E-02	
425	1.97E-02	
426	1.98E-02	
427	2.00E-02	
428	2.03E-02	
429	2.05E-02	
430	2.07E-02	
431	2.10E-02	
432	2.13E-02	
433	2.16E-02	
434	2.18E-02	
435	2.20E-02	
436	2.22E-02	
437	0.022338796	
438	2.24E-02	
439	2.23E-02	
440	2.22E-02	
441	2.21E-02	
442	2.18E-02	
443	2.15E-02	
444	0.021038576	
445	2.05E-02	
446	2.00E-02	
447	1.95E-02	
448	1.89E-02	
449	1.83E-02	
450	1.78E-02	
451	1.73E-02	
452	1.68E-02	
453	1.64E-02	
454	1.60E-02	
455	1.57E-02	
456	1.55E-02	
457	1.52E-02	
458	1.50E-02	
459	1.48E-02	
460	1.46E-02	
461	1.45E-02	
462	0.014314448	
463	1.42E-02	
464	1.40E-02	
465	0.013902414	
466	1.38E-02	
467	1.36E-02	
468	0.013519773	
469	1.34E-02	
470	1.33E-02	
471	1.32E-02	
472	1.31E-02	
473	1.30E-02	
474	1.30E-02	
475	1.29E-02	
476	1.29E-02	
477	1.29E-02	
478	1.29E-02	
479	1.29E-02	
480	1.30E-02	
481	1.30E-02	
482	1.31E-02	
483	1.31E-02	
484	1.31E-02	
485	1.32E-02	
486	1.32E-02	
487	1.32E-02	
488	1.32E-02	
489	1.32E-02	
490	0.013099881	
491	1.30E-02	
492	1.29E-02	
493	1.28E-02	
494	1.27E-02	
495	1.26E-02	
496	1.25E-02	
497	1.24E-02	
498	1.22E-02	
499	1.21E-02	
500	1.19E-02	
501	1.17E-02	
502	1.15E-02	
503	1.14E-02	
504	1.12E-02	
505	1.11E-02	
506	1.09E-02	
507	1.08E-02	
508	1.07E-02	
509	0.010567081	
510	1.05E-02	
511	1.04E-02	
512	1.03E-02	
513	1.02E-02	
514	1.01E-02	
515	0.010095994	
516	1.00E-02	
517	9.96E-03	
518	9.86E-03	
519	9.75E-03	
520	9.60E-03	
521	9.45E-03	
522	9.29E-03	
523	9.10E-03	
524	8.88E-03	
525	8.65E-03	
526	8.42E-03	
527	8.16E-03	
528	7.89E-03	
529	7.61E-03	
530	7.31E-03	
531	7.02E-03	
532	6.70E-03	
533	6.40E-03	
534	6.08E-03	
535	5.78E-03	
536	5.47E-03	
537	5.17E-03	
538	4.88E-03	
539	4.60E-03	
540	4.35E-03	
541	4.12E-03	
542	3.89E-03	
543	3.68E-03	
544	3.46E-03	
545	3.27E-03	
546	3.11E-03	
547	2.95E-03	
548	2.80E-03	
549	2.66E-03	
550	2.53E-03	
551	2.41E-03	
552	2.32E-03	
553	2.25E-03	
554	2.17E-03	
555	2.12E-03	
556	2.06E-03	
557	2.04E-03	
558	2.04E-03	
559	2.01E-03	
560	2.00E-03	
561	2.01E-03	
562	2.02E-03	
563	2.03E-03	
564	2.03E-03	
565	2.05E-03	
566	2.06E-03	
567	2.09E-03	
568	2.12E-03	
569	2.16E-03	
570	2.21E-03	
571	2.27E-03	
572	2.35E-03	
573	2.41E-03	
574	2.47E-03	
575	2.52E-03	
576	2.57E-03	
577	2.62E-03	
578	2.67E-03	
579	2.72E-03	
580	2.77E-03	
581	2.83E-03	
582	2.90E-03	
583	2.97E-03	
584	3.03E-03	
585	3.08E-03	
586	3.12E-03	
587	3.17E-03	
588	3.21E-03	
589	3.25E-03	
590	3.29E-03	
591	3.33E-03	
