OLIS-3D-ASCII	SySl1166
375	-5.02E-04
376	-3.09E-04
377	-1.99E-04
378	-1.56E-04
379	-1.64E-04
380	-2.07E-04
381	-2.68E-04
382	-3.20E-04
383	-2.88E-04
384	-3.03E-04
385	-3.49E-04
386	-3.23E-04
387	-3.24E-04
388	-2.51E-04
389	-2.32E-04
390	-1.99E-04
391	-1.50E-04
392	-1.69E-04
393	-1.71E-04
394	-1.23E-04
395	-7.33E-05
396	-9.47E-05
397	-6.81E-05
398	-9.62E-05
399	-1.12E-04
400	-6.23E-05
401	-5.89E-05
402	-2.78E-05
403	2.90E-05
404	5.31E-05
405	1.10E-04
406	1.31E-04
407	1.51E-04
408	1.52E-04
409	1.66E-04
410	1.48E-04
411	2.00E-04
412	2.12E-04
413	2.26E-04
414	2.78E-04
415	3.24E-04
416	3.89E-04
417	4.14E-04
418	4.15E-04
419	4.34E-04
420	4.37E-04
421	4.50E-04
422	4.38E-04
423	4.51E-04
424	4.39E-04
425	4.51E-04
426	4.63E-04
427	4.93E-04
428	5.18E-04
429	5.52E-04
430	5.64E-04
431	5.80E-04
432	5.97E-04
433	6.31E-04
434	6.49E-04
435	6.70E-04
436	6.80E-04
437	6.87E-04
438	6.93E-04
439	7.02E-04
440	7.01E-04
441	7.18E-04
442	6.95E-04
443	6.87E-04
444	6.75E-04
445	6.68E-04
446	6.54E-04
447	6.33E-04
448	5.97E-04
449	5.71E-04
450	5.27E-04
451	4.95E-04
452	4.73E-04
453	4.65E-04
454	4.39E-04
455	4.20E-04
456	4.01E-04
457	3.78E-04
458	3.62E-04
459	3.58E-04
460	3.48E-04
461	3.42E-04
462	3.35E-04
463	3.42E-04
464	3.56E-04
465	3.66E-04
466	3.64E-04
467	3.52E-04
468	3.54E-04
469	3.38E-04
470	3.17E-04
471	3.13E-04
472	3.11E-04
473	2.96E-04
474	2.82E-04
475	2.85E-04
476	2.94E-04
477	2.95E-04
478	2.96E-04
479	2.95E-04
480	3.03E-04
481	2.97E-04
482	2.87E-04
483	2.86E-04
484	2.80E-04
485	2.66E-04
486	2.68E-04
487	2.89E-04
488	3.00E-04
489	3.12E-04
490	3.15E-04
491	3.31E-04
492	3.38E-04
493	3.41E-04
494	3.37E-04
495	3.21E-04
496	3.18E-04
497	3.20E-04
498	3.21E-04
499	3.28E-04
500	3.24E-04
501	3.21E-04
502	3.13E-04
503	3.11E-04
504	3.01E-04
505	2.88E-04
506	2.90E-04
507	2.84E-04
508	2.69E-04
509	2.54E-04
510	2.40E-04
511	2.21E-04
512	1.96E-04
513	1.69E-04
514	1.48E-04
515	1.42E-04
516	1.48E-04
517	1.40E-04
518	1.48E-04
519	1.31E-04
520	1.16E-04
521	1.12E-04
522	1.07E-04
523	8.54E-05
524	7.79E-05
525	6.14E-05
526	5.57E-05
527	5.39E-05
528	4.89E-05
529	3.20E-05
530	1.38E-05
531	5.36E-06
532	4.94E-06
533	7.60E-06
534	1.10E-05
535	1.41E-05
536	3.11E-05
537	2.14E-05
538	2.85E-05
539	3.47E-05
540	3.69E-05
541	4.17E-05
542	3.28E-05
543	2.65E-05
544	2.11E-05
545	2.10E-05
546	2.02E-05
547	2.57E-05
548	3.40E-05
549	3.52E-05
550	4.23E-05
551	6.00E-05
552	5.85E-05
553	7.58E-05
554	7.97E-05
555	8.30E-05
556	8.12E-05
557	6.96E-05
558	6.38E-05
559	5.98E-05
560	6.51E-05
561	5.27E-05
562	3.93E-05
563	3.71E-05
564	2.65E-05
565	4.44E-05
566	5.42E-05
567	6.28E-05
568	6.25E-05
569	5.87E-05
570	8.43E-05
571	1.04E-04
572	1.28E-04
573	1.28E-04
574	1.36E-04
575	1.31E-04
576	1.35E-04
577	1.37E-04
578	1.23E-04
579	1.37E-04
580	1.36E-04
581	1.39E-04
582	1.48E-04
583	1.60E-04
584	1.64E-04
585	1.71E-04
586	1.83E-04
587	1.94E-04
588	2.04E-04
589	2.06E-04
590	2.07E-04
591	2.37E-04
592	2.28E-04
593	2.22E-04
594	2.09E-04
595	2.18E-04
596	2.10E-04
597	2.23E-04
598	2.38E-04
599	2.37E-04
600	2.30E-04
601	2.20E-04
602	2.15E-04
603	2.21E-04
604	2.03E-04
605	2.02E-04
606	2.05E-04
607	2.26E-04
608	2.43E-04
609	2.67E-04
610	2.78E-04
611	2.70E-04
612	2.84E-04
613	2.96E-04
614	3.14E-04
615	3.21E-04
616	3.17E-04
617	3.28E-04
618	3.28E-04
619	3.34E-04
620	3.36E-04
621	3.27E-04
622	3.15E-04
623	3.17E-04
624	3.43E-04
625	3.66E-04
626	3.74E-04
627	3.73E-04
628	3.69E-04
629	3.81E-04
630	3.64E-04
631	3.55E-04
632	3.38E-04
633	3.27E-04
634	3.15E-04
635	3.30E-04
636	3.38E-04
637	3.41E-04
638	3.28E-04
639	3.13E-04
640	3.02E-04
641	3.03E-04
642	2.98E-04
643	2.93E-04
644	2.91E-04
645	3.11E-04
646	3.09E-04
647	3.19E-04
648	3.21E-04
649	3.02E-04
650	2.89E-04
651	2.66E-04
652	2.54E-04
653	2.57E-04
654	2.58E-04
655	2.59E-04
656	2.90E-04
657	3.03E-04
658	3.00E-04
659	3.04E-04
660	3.11E-04
661	3.01E-04
662	3.25E-04
663	3.63E-04
664	4.11E-04
665	4.69E-04
666	5.25E-04
667	5.79E-04
668	6.23E-04
669	6.38E-04
670	6.63E-04
671	6.73E-04
672	6.71E-04
673	6.73E-04
674	6.93E-04
675	7.43E-04
676	7.79E-04
677	8.09E-04
678	8.07E-04
679	8.00E-04
680	8.03E-04
681	8.10E-04
682	8.22E-04
683	8.35E-04
684	7.88E-04
685	7.35E-04
686	7.11E-04
687	6.73E-04
688	6.38E-04
689	5.50E-04
690	4.60E-04
691	3.72E-04
692	3.46E-04
693	2.68E-04
694	2.18E-04
695	1.72E-04
696	8.36E-05
697	4.81E-05
698	7.08E-05
699	2.36E-06
700	3.83E-06
701	-9.16E-05
702	-9.80E-05
703	-1.30E-04
704	-9.96E-05
705	-1.24E-04
706	-1.42E-04
707	-1.51E-04
708	-1.46E-04
709	-1.21E-04
710	-7.32E-05
