OLIS-3D-ASCII	SySl1022			
695	6.22E-03			
696	5.72E-03			
697	5.29E-03			
698	4.88E-03			
699	4.60E-03			
700	4.31E-03			
701	3.99E-03			
702	3.67E-03			
703	3.49E-03			
704	3.16E-03			
705	2.84E-03			
706	2.53E-03			
707	2.22E-03			
708	1.92E-03			
709	1.63E-03			
710	1.36E-03			
