OLIS-3D-ASCII	SySl1236	
375	1.90E-03	
376	2.01E-03	
377	2.08E-03	
378	2.13E-03	
379	2.15E-03	
380	2.14E-03	
381	2.13E-03	
382	2.07E-03	
383	2.07E-03	
384	2.11E-03	
385	2.07E-03	
386	2.10E-03	
387	2.08E-03	
388	2.06E-03	
389	2.01E-03	
390	2.05E-03	
391	2.01E-03	
392	2.02E-03	
393	2.02E-03	
394	2.03E-03	
395	2.03E-03	
396	2.06E-03	
397	2.04E-03	
398	2.05E-03	
399	2.05E-03	
400	2.06E-03	
401	2.07E-03	
402	2.09E-03	
403	2.09E-03	
404	2.16E-03	
405	2.20E-03	
406	2.22E-03	
407	2.27E-03	
408	2.32E-03	
409	2.33E-03	
410	2.39E-03	
411	2.41E-03	
412	2.41E-03	
413	2.46E-03	
414	2.48E-03	
415	2.50E-03	
416	2.52E-03	
417	2.53E-03	
418	2.55E-03	
419	2.59E-03	
420	2.61E-03	
421	2.66E-03	
422	2.71E-03	
423	2.71E-03	
424	2.72E-03	
425	2.72E-03	
426	2.70E-03	
427	2.68E-03	
428	2.66E-03	
429	2.65E-03	
430	2.63E-03	
431	2.64E-03	
432	2.65E-03	
433	2.68E-03	
434	2.71E-03	
435	2.71E-03	
436	2.73E-03	
437	2.75E-03	
438	2.78E-03	
439	2.78E-03	
440	2.79E-03	
441	0.002787325	
442	2.79E-03	
443	2.80E-03	
444	2.81E-03	
445	2.83E-03	
446	2.84E-03	
447	2.82E-03	
448	2.83E-03	
449	2.83E-03	
450	2.82E-03	
451	2.79E-03	
452	2.77E-03	
453	2.73E-03	
454	2.68E-03	
455	2.64E-03	
456	2.59E-03	
457	2.55E-03	
458	2.51E-03	
459	2.47E-03	
460	2.43E-03	
461	2.39E-03	
462	2.35E-03	
463	2.31E-03	
464	2.28E-03	
465	2.24E-03	
466	2.22E-03	
467	2.21E-03	
468	2.21E-03	
469	2.22E-03	
470	2.21E-03	
471	2.21E-03	
472	2.20E-03	
473	2.19E-03	
474	2.16E-03	
