OLIS-3D-ASCII	SySl1288	
375	4.90E-03	
376	5.15E-03	
377	5.35E-03	
378	5.52E-03	
379	5.65E-03	
380	5.77E-03	
381	5.87E-03	
382	6.04E-03	
383	6.17E-03	
384	6.19E-03	
385	6.24E-03	
386	6.29E-03	
387	6.26E-03	
388	6.30E-03	
389	6.26E-03	
390	6.33E-03	
391	6.27E-03	
392	6.27E-03	
393	6.38E-03	
394	6.56E-03	
395	6.58E-03	
396	6.65E-03	
397	6.77E-03	
398	6.88E-03	
399	7.00E-03	
400	7.18E-03	
401	7.34E-03	
402	7.52E-03	
403	7.63E-03	
404	7.84E-03	
405	8.07E-03	
406	8.31E-03	
407	8.53E-03	
408	8.72E-03	
409	8.88E-03	
410	9.04E-03	
411	9.18E-03	
412	9.36E-03	
413	9.56E-03	
414	9.73E-03	
415	9.84E-03	
416	1.01E-02	
417	1.02E-02	
418	1.04E-02	
419	0.010483899	
420	1.06E-02	
421	0.010652486	
422	1.07E-02	
423	1.08E-02	
424	1.09E-02	
425	1.10E-02	
426	1.10E-02	
427	0.011090656	
428	1.12E-02	
429	1.13E-02	
430	1.14E-02	
431	1.16E-02	
432	1.18E-02	
433	1.19E-02	
434	0.011992172	
435	1.21E-02	
436	1.21E-02	
437	1.21E-02	
438	1.21E-02	
439	1.20E-02	
440	1.19E-02	
441	1.17E-02	
442	1.15E-02	
443	1.13E-02	
444	1.10E-02	
445	1.07E-02	
446	1.04E-02	
447	1.01E-02	
448	9.74E-03	
449	9.43E-03	
450	9.15E-03	
451	8.88E-03	
452	8.62E-03	
453	8.41E-03	
454	8.23E-03	
455	8.07E-03	
456	7.95E-03	
457	7.83E-03	
458	7.72E-03	
459	7.62E-03	
460	7.52E-03	
461	7.44E-03	
462	7.36E-03	
463	7.26E-03	
464	7.16E-03	
465	7.06E-03	
466	6.95E-03	
467	6.83E-03	
468	6.72E-03	
469	6.61E-03	
470	6.51E-03	
471	6.39E-03	
472	6.29E-03	
473	6.21E-03	
474	6.08E-03	
475	5.97E-03	
476	5.88E-03	
477	5.79E-03	
478	5.71E-03	
479	5.65E-03	
480	5.60E-03	
481	5.57E-03	
482	5.55E-03	
483	5.55E-03	
484	5.55E-03	
485	5.57E-03	
486	5.58E-03	
487	5.61E-03	
488	5.65E-03	
489	5.67E-03	
490	5.71E-03	
491	5.73E-03	
492	5.75E-03	
493	5.77E-03	
494	5.76E-03	
495	5.76E-03	
496	5.74E-03	
497	5.72E-03	
498	5.68E-03	
499	5.63E-03	
500	5.56E-03	
501	5.48E-03	
502	5.38E-03	
