OLIS-3D-ASCII	SySl1015		
375	0.117515075		
376	0.118385589		
377	0.11948605		
378	0.120738076		
379	0.12206424		
380	0.123386654		
381	0.124627523		
382	0.1255111		
383	0.126277003		
384	0.126845384		
385	0.127120491		
386	0.126701449		
387	0.12695751		
388	0.126738854		
389	0.127551338		
390	0.128033896		
391	0.128448355		
392	0.12918546		
393	0.129621853		
394	0.130387746		
395	0.131006306		
396	0.131431426		
397	0.132434572		
398	0.133365988		
399	0.134623231		
400	0.136138586		
401	0.137889101		
402	0.140191257		
403	0.142817848		
404	0.146271293		
405	0.150019895		
406	0.153936645		
407	0.157922829		
408	0.161769089		
409	0.16583482		
410	0.169705768		
411	0.173294397		
412	0.176730579		
413	0.179200058		
414	0.181854118		
415	0.184538148		
416	0.187484381		
417	0.190051626		
418	0.192920653		
419	0.195037722		
420	0.196990914		
421	0.199121678		
422	0.200209171		
423	0.201757721		
424	0.202518913		
425	0.202728807		
426	0.203669906		
427	0.20466738		
428	0.206878857		
429	0.209244806		
430	0.212167561		
431	0.2155961		
432	0.220180907		
433	0.224149384		
434	0.227786794		
435	0.231807211		
436	0.234219486		
437	0.236312737		
438	0.237586458		
439	0.23756409		
440	0.237003976		
441	0.234077955		
442	0.229480749		
443	0.224349143		
444	0.218339483		
445	0.210457983		
446	0.202084428		
447	0.19266408		
448	0.183297218		
449	0.174706778		
450	0.166621115		
451	0.159282486		
452	0.152363004		
453	0.146112332		
454	0.140598849		
455	0.136781241		
456	0.13369516		
457	0.13085053		
458	0.128352639		
459	0.126235362		
460	0.124814236		
461	0.123785871		
462	0.122759743		
463	0.122072878		
464	0.121369171		
465	0.120849739		
466	0.119781947		
467	0.119706973		
468	0.119103466		
469	0.118840336		
470	0.118374562		
471	0.11804783		
472	0.118105488		
473	0.117976749		
474	0.118034142		
475	0.118535812		
476	0.118686649		
477	0.119100864		
478	0.119506712		
479	0.12036402		
480	0.121190197		
481	0.122316177		
482	0.123466652		
483	0.124720626		
484	0.125874528		
485	0.12672716		
486	0.127504485		
487	0.128083894		
488	0.128606392		
489	0.128608029		
490	0.128643624		
491	0.127954728		
492	0.127735111		
493	0.127296027		
494	0.126368144		
495	0.125204797		
496	0.123601446		
497	0.121510847		
498	0.119250371		
499	0.117379355		
500	0.115226675		
501	0.112590073		
502	0.1101504		
503	0.107269741		
504	0.105027761		
505	0.102616222		
506	0.100058507		
507	9.75E-02		
508	9.46E-02		
509	9.20E-02		
510	8.97E-02		
511	8.78E-02		
512	8.54E-02		
513	8.31E-02		
514	8.06E-02		
515	7.85E-02		
516	7.67E-02		
517	7.47E-02		
518	7.27E-02		
519	7.06E-02		
520	6.90E-02		
521	6.77E-02		
522	6.62E-02		
523	6.49E-02		
524	6.33E-02		
525	6.18E-02		
526	6.03E-02		
527	5.88E-02		
528	5.74E-02		
529	0.055907161		
530	5.43E-02		
531	5.29E-02		
532	5.17E-02		
533	5.06E-02		
534	4.96E-02		
535	4.85E-02		
536	4.75E-02		
537	4.67E-02		
538	4.58E-02		
539	4.51E-02		
540	0.044549189		
541	4.41E-02		
542	4.37E-02		
543	0.04345159		
544	4.33E-02		
545	4.33E-02		
546	4.33E-02		
547	4.34E-02		
548	4.36E-02		
549	4.39E-02		
550	0.044333513		
551	4.49E-02		
552	4.55E-02		
553	4.63E-02		
554	4.71E-02		
555	4.81E-02		
556	4.91E-02		
557	5.04E-02		
558	5.15E-02		
559	5.29E-02		
560	5.42E-02		
561	5.57E-02		
562	5.73E-02		
563	5.89E-02		
564	6.07E-02		
565	6.25E-02		
566	6.45E-02		
567	6.64E-02		
568	6.82E-02		
569	6.98E-02		
570	7.12E-02		
571	7.30E-02		
572	7.46E-02		
573	7.63E-02		
574	7.81E-02		
575	7.98E-02		
576	8.17E-02		
577	8.37E-02		
578	8.57E-02		
579	8.73E-02		
580	8.86E-02		
581	8.96E-02		
582	9.05E-02		
583	9.15E-02		
584	9.26E-02		
585	9.38E-02		
586	9.49E-02		
587	0.096240264		
588	9.76E-02		
589	9.92E-02		
590	0.100955045		
591	0.102608635		
592	0.10400531		
593	0.105456557		
594	0.106902381		
595	0.108763357		
596	0.110674356		
597	0.112320812		
598	0.114043098		
599	0.116069343		
600	0.118101478		
601	0.120540627		
602	0.122890018		
603	0.125198277		
604	0.127432445		
605	0.129871208		
606	0.132464314		
607	0.134901961		
608	0.137847137		
609	0.1403204		
610	0.143254109		
611	0.14670939		
612	0.14995748		
613	0.153576637		
614	0.157724581		
615	0.161821794		
616	0.166247334		
617	0.170038422		
618	0.173031721		
619	0.175615945		
620	0.178470936		
621	0.179573885		
622	0.180783072		
623	0.182000976		
624	0.182495572		
625	0.182661744		
626	0.183372463		
627	0.182876312		
628	0.182407662		
629	0.180688751		
630	0.179517166		
631	0.177956842		
632	0.175951862		
633	0.173155737		
634	0.171494854		
635	0.169475047		
636	0.166948209		
637	0.163999705		
638	0.160747337		
639	0.156108275		
640	0.15198891		
641	0.147047777		
642	0.142386117		
643	0.136463017		
644	0.130549434		
645	0.124836866		
646	0.119569258		
647	0.11436175		
648	0.109724687		
649	0.105651184		
650	0.101853326		
651	9.90E-02		
652	9.71E-02		
653	9.53E-02		
654	9.42E-02		
655	9.34E-02		
656	9.33E-02		
657	9.37E-02		
658	9.42E-02		
659	9.54E-02		
660	9.67E-02		
661	9.85E-02		
662	0.100831393		
663	0.103491179		
664	0.106171631		
665	0.109758322		
666	0.113744777		
667	0.117572248		
668	0.121640621		
669	0.125409516		
670	0.128331191		
671	0.132581818		
672	0.136501716		
673	0.14059057		
674	0.144208389		
675	0.147292478		
676	0.150248682		
677	0.153392355		
678	0.156405712		
679	0.158621794		
680	0.159659799		
681	0.15916448		
682	0.157866595		
683	0.156356898		
684	0.153068791		
685	0.148720896		
686	0.142363014		
687	0.134742338		
688	0.126971588		
689	0.11886113		
690	0.110923463		
691	0.102912635		
692	9.49E-02		
693	8.75E-02		
694	8.10E-02		
