OLIS-3D-ASCII	SySl1230
375	3.15E-02
376	3.20E-02
377	3.25E-02
378	3.29E-02
379	0.033353136
380	3.38E-02
381	3.41E-02
382	0.034516451
383	3.48E-02
384	3.50E-02
385	3.51E-02
386	3.52E-02
387	3.53E-02
388	3.54E-02
389	3.54E-02
390	3.55E-02
391	3.56E-02
392	0.035720246
393	3.58E-02
394	3.61E-02
395	3.63E-02
396	3.65E-02
397	3.69E-02
398	0.037032094
399	0.037383672
400	3.77E-02
401	3.81E-02
402	3.86E-02
403	3.92E-02
404	0.03981784
405	4.05E-02
406	4.13E-02
407	4.21E-02
408	4.29E-02
409	4.38E-02
410	4.47E-02
411	0.045601171
412	0.046393793
413	4.73E-02
414	4.80E-02
415	4.88E-02
416	4.94E-02
417	0.049833375
418	5.03E-02
419	5.06E-02
420	5.09E-02
421	5.12E-02
422	5.14E-02
423	5.16E-02
424	5.18E-02
425	5.21E-02
426	5.24E-02
427	5.28E-02
428	5.33E-02
429	5.38E-02
430	5.45E-02
431	5.51E-02
432	5.58E-02
433	5.66E-02
434	5.72E-02
435	5.78E-02
436	5.82E-02
437	5.85E-02
438	5.86E-02
439	5.85E-02
440	5.82E-02
441	5.75E-02
442	5.66E-02
443	5.55E-02
444	5.42E-02
445	5.26E-02
446	0.050861083
447	4.90E-02
448	4.71E-02
449	4.53E-02
450	4.37E-02
451	4.22E-02
452	0.040743252
453	3.95E-02
454	3.85E-02
455	3.77E-02
456	0.037077519
457	3.65E-02
458	3.60E-02
459	3.56E-02
460	3.52E-02
461	3.49E-02
462	3.47E-02
463	3.44E-02
464	3.42E-02
465	3.40E-02
466	3.37E-02
467	3.35E-02
468	3.33E-02
469	3.30E-02
470	3.27E-02
471	3.23E-02
472	3.19E-02
473	3.17E-02
474	3.14E-02
475	3.11E-02
476	3.09E-02
477	3.08E-02
478	3.07E-02
479	3.07E-02
480	3.08E-02
481	3.09E-02
482	0.031153587
483	3.14E-02
484	3.17E-02
485	3.22E-02
486	0.032627409
487	3.31E-02
488	3.37E-02
489	3.43E-02
490	0.034875013
491	3.54E-02
492	3.60E-02
493	3.66E-02
494	3.71E-02
495	3.75E-02
496	3.79E-02
497	3.82E-02
498	3.85E-02
499	3.89E-02
500	3.91E-02
501	3.93E-02
502	3.95E-02
503	3.95E-02
504	3.96E-02
505	3.96E-02
506	3.95E-02
507	3.95E-02
508	3.93E-02
509	3.93E-02
510	3.92E-02
511	3.92E-02
512	3.92E-02
513	3.92E-02
514	3.92E-02
515	0.039260617
516	3.94E-02
517	3.96E-02
518	3.97E-02
519	0.0398104
520	4.01E-02
521	4.06E-02
522	4.09E-02
523	4.14E-02
524	0.041738972
525	0.042162868
526	4.25E-02
527	4.29E-02
528	4.33E-02
529	4.38E-02
530	0.044153578
531	4.46E-02
532	4.52E-02
533	4.58E-02
534	4.64E-02
535	4.70E-02
536	4.76E-02
537	4.83E-02
538	4.90E-02
539	4.96E-02
540	5.04E-02
541	5.12E-02
542	5.21E-02
543	5.29E-02
544	5.38E-02
545	5.47E-02
546	5.54E-02
547	5.61E-02
548	5.69E-02
549	5.76E-02
550	5.83E-02
551	5.90E-02
552	5.97E-02
