OLIS-3D-ASCII	SySl1112	
693	1.16E-03	
694	1.03E-03	
695	9.27E-04	
696	7.77E-04	
697	7.24E-04	
698	6.26E-04	
699	5.32E-04	
700	4.27E-04	
701	3.53E-04	
702	2.82E-04	
703	1.77E-04	
704	1.32E-04	
705	7.42E-05	
706	7.42E-06	
707	-7.54E-05	
708	-1.81E-04	
709	-3.16E-04	
710	-4.88E-04	
