OLIS-3D-ASCII	SySl1198			
375	-4.53E-05			
376	-1.64E-05			
377	1.11E-06			
378	9.58E-06			
379	1.14E-05			
380	9.02E-06			
381	4.76E-06			
382	-2.38E-05			
383	8.65E-06			
384	4.16E-05			
385	7.17E-05			
386	8.39E-05			
387	4.85E-05			
388	1.43E-04			
389	2.05E-04			
390	2.39E-04			
391	2.70E-04			
392	2.79E-04			
393	2.76E-04			
394	2.87E-04			
395	3.01E-04			
396	3.37E-04			
397	3.53E-04			
398	3.36E-04			
399	3.11E-04			
400	2.99E-04			
401	2.69E-04			
402	2.82E-04			
403	2.77E-04			
404	2.99E-04			
405	3.29E-04			
406	3.67E-04			
407	4.17E-04			
408	4.39E-04			
409	4.79E-04			
410	4.94E-04			
411	5.02E-04			
412	4.99E-04			
413	5.18E-04			
414	5.22E-04			
415	5.07E-04			
416	5.17E-04			
417	5.29E-04			
418	5.51E-04			
419	5.69E-04			
420	5.71E-04			
421	6.15E-04			
422	6.51E-04			
423	6.78E-04			
424	6.80E-04			
425	7.02E-04			
426	6.81E-04			
427	6.82E-04			
428	6.88E-04			
429	6.78E-04			
430	6.84E-04			
431	6.95E-04			
432	7.04E-04			
433	7.13E-04			
434	7.36E-04			
435	7.58E-04			
436	7.70E-04			
437	7.94E-04			
438	7.75E-04			
439	7.64E-04			
440	7.52E-04			
441	7.34E-04			
442	7.28E-04			
443	7.23E-04			
444	7.15E-04			
445	6.97E-04			
446	6.84E-04			
447	6.78E-04			
448	6.62E-04			
449	6.41E-04			
450	6.03E-04			
451	5.70E-04			
452	5.62E-04			
453	5.59E-04			
454	5.56E-04			
455	5.35E-04			
456	5.25E-04			
457	5.09E-04			
458	4.91E-04			
459	4.95E-04			
460	4.94E-04			
461	4.93E-04			
462	4.92E-04			
463	4.70E-04			
464	4.74E-04			
465	4.69E-04			
466	4.61E-04			
467	4.38E-04			
468	4.38E-04			
469	4.26E-04			
470	4.25E-04			
471	4.32E-04			
472	4.31E-04			
473	4.38E-04			
474	4.45E-04			
475	4.20E-04			
476	4.13E-04			
477	3.99E-04			
478	3.92E-04			
479	3.84E-04			
480	3.85E-04			
481	3.72E-04			
482	3.72E-04			
483	3.54E-04			
484	3.58E-04			
485	3.74E-04			
486	3.84E-04			
487	3.76E-04			
488	3.82E-04			
489	3.83E-04			
490	3.98E-04			
491	4.06E-04			
492	4.12E-04			
493	4.15E-04			
494	4.28E-04			
495	4.25E-04			
496	4.38E-04			
497	4.43E-04			
498	4.41E-04			
499	4.27E-04			
500	4.20E-04			
501	4.04E-04			
502	3.86E-04			
503	3.63E-04			
504	3.49E-04			
505	3.48E-04			
506	3.53E-04			
507	3.51E-04			
508	3.50E-04			
509	3.45E-04			
510	3.36E-04			
511	3.05E-04			
512	3.02E-04			
513	2.83E-04			
514	2.63E-04			
515	2.62E-04			
516	2.59E-04			
517	2.52E-04			
518	2.39E-04			
519	2.27E-04			
520	2.16E-04			
521	2.05E-04			
522	1.97E-04			
523	1.76E-04			
524	1.78E-04			
525	1.67E-04			
526	1.55E-04			
527	1.40E-04			
528	1.28E-04			
529	1.18E-04			
530	1.12E-04			
531	1.02E-04			
532	1.11E-04			
533	1.23E-04			
534	1.30E-04			
535	1.35E-04			
536	1.32E-04			
537	1.27E-04			
538	1.24E-04			
539	1.16E-04			
540	1.30E-04			
541	1.37E-04			
542	1.30E-04			
543	1.34E-04			
544	1.55E-04			
545	1.65E-04			
546	1.54E-04			
547	1.58E-04			
548	1.56E-04			
549	1.60E-04			
550	1.60E-04			
551	1.50E-04			
552	1.46E-04			
553	1.47E-04			
554	1.38E-04			
555	1.55E-04			
556	1.61E-04			
557	1.68E-04			
558	1.73E-04			
559	1.90E-04			
560	2.09E-04			
561	2.25E-04			
562	2.38E-04			
563	2.50E-04			
564	2.50E-04			
565	2.46E-04			
566	2.34E-04			
567	2.33E-04			
568	2.31E-04			
569	2.46E-04			
570	2.56E-04			
571	2.56E-04			
572	2.67E-04			
573	2.84E-04			
574	3.18E-04			
575	3.40E-04			
576	3.38E-04			
577	3.38E-04			
578	3.38E-04			
579	3.37E-04			
580	3.54E-04			
581	3.67E-04			
582	3.74E-04			
583	3.65E-04			
584	3.65E-04			
585	3.72E-04			
586	3.95E-04			
587	4.14E-04			
588	4.06E-04			
589	4.12E-04			
590	4.15E-04			
591	4.16E-04			
592	4.32E-04			
593	4.40E-04			
594	4.50E-04			
595	4.44E-04			
596	4.43E-04			
597	4.49E-04			
598	4.61E-04			
599	4.69E-04			
600	4.68E-04			
601	4.80E-04			
602	4.90E-04			
603	4.98E-04			
604	5.13E-04			
605	5.32E-04			
606	5.41E-04			
607	5.49E-04			
608	5.62E-04			
609	5.85E-04			
610	6.02E-04			
611	6.14E-04			
612	6.33E-04			
613	6.39E-04			
614	6.40E-04			
615	6.59E-04			
616	6.78E-04			
617	6.85E-04			
618	6.90E-04			
619	6.85E-04			
620	6.81E-04			
621	6.98E-04			
622	7.11E-04			
623	7.13E-04			
624	7.12E-04			
625	7.14E-04			
626	7.05E-04			
627	7.26E-04			
628	7.37E-04			
629	7.39E-04			
630	7.25E-04			
631	7.02E-04			
632	7.06E-04			
633	7.15E-04			
634	7.25E-04			
635	7.17E-04			
636	7.14E-04			
637	7.09E-04			
638	6.95E-04			
639	6.88E-04			
640	6.60E-04			
641	6.31E-04			
642	5.89E-04			
643	5.68E-04			
644	5.51E-04			
645	5.32E-04			
646	5.27E-04			
647	5.13E-04			
648	5.14E-04			
649	5.03E-04			
650	5.19E-04			
651	5.05E-04			
652	4.97E-04			
653	4.97E-04			
654	4.90E-04			
655	4.77E-04			
656	4.59E-04			
657	4.42E-04			
658	4.32E-04			
659	4.15E-04			
660	4.23E-04			
661	4.45E-04			
662	4.89E-04			
663	5.10E-04			
664	5.69E-04			
665	6.07E-04			
666	6.56E-04			
667	6.86E-04			
668	7.09E-04			
669	7.23E-04			
670	7.41E-04			
671	7.21E-04			
672	7.43E-04			
673	7.49E-04			
674	7.70E-04			
675	7.74E-04			
