OLIS-3D-ASCII	SySl1332							
375	1.23E-02							
376	1.26E-02							
377	1.30E-02							
378	1.34E-02							
379	1.38E-02							
380	1.41E-02							
381	1.45E-02							
382	1.47E-02							
383	1.49E-02							
384	1.50E-02							
385	1.50E-02							
386	0.015038116							
387	1.50E-02							
388	0.015062945							
389	1.52E-02							
390	1.53E-02							
391	1.56E-02							
392	1.57E-02							
393	1.59E-02							
394	1.60E-02							
395	1.61E-02							
396	1.62E-02							
397	1.64E-02							
398	1.66E-02							
399	1.69E-02							
400	1.71E-02							
401	1.74E-02							
402	0.017660825							
403	1.80E-02							
404	1.83E-02							
405	0.018694573							
406	1.91E-02							
407	1.95E-02							
408	1.99E-02							
409	2.05E-02							
410	2.09E-02							
411	2.14E-02							
412	0.021801128							
413	2.22E-02							
414	2.26E-02							
415	2.29E-02							
416	2.32E-02							
417	0.023464453							
418	2.36E-02							
419	2.38E-02							
420	2.40E-02							
421	2.42E-02							
422	2.43E-02							
423	2.45E-02							
424	0.024615378							
425	2.48E-02							
426	2.50E-02							
427	2.52E-02							
428	2.54E-02							
429	2.55E-02							
430	2.57E-02							
431	2.59E-02							
432	2.62E-02							
433	2.63E-02							
434	2.65E-02							
435	2.66E-02							
436	2.67E-02							
437	2.67E-02							
438	2.67E-02							
439	2.65E-02							
440	2.63E-02							
441	2.61E-02							
442	0.025659154							
443	2.52E-02							
444	2.46E-02							
445	2.40E-02							
446	2.33E-02							
447	2.25E-02							
448	2.18E-02							
449	2.11E-02							
450	2.04E-02							
451	1.97E-02							
452	1.92E-02							
453	1.87E-02							
454	0.018241675							
455	1.79E-02							
456	1.76E-02							
457	1.73E-02							
458	1.71E-02							
459	1.69E-02							
460	1.67E-02							
461	1.65E-02							
462	1.63E-02							
463	0.016111088							
464	1.59E-02							
465	0.015748501							
466	1.55E-02							
467	1.53E-02							
468	1.51E-02							
469	1.49E-02							
470	1.47E-02							
471	1.44E-02							
472	1.42E-02							
473	1.40E-02							
474	1.38E-02							
475	1.36E-02							
476	1.34E-02							
477	1.33E-02							
478	1.32E-02							
479	1.31E-02							
480	1.30E-02							
481	1.30E-02							
482	1.30E-02							
483	1.31E-02							
484	1.31E-02							
485	1.32E-02							
486	0.013250932							
487	0.013363899							
488	1.35E-02							
489	1.36E-02							
490	1.37E-02							
491	1.39E-02							
492	1.40E-02							
493	1.42E-02							
494	1.43E-02							
495	1.44E-02							
496	1.45E-02							
497	1.45E-02							
498	1.45E-02							
499	1.46E-02							
500	1.45E-02							
501	1.45E-02							
502	1.44E-02							
503	1.43E-02							
504	0.014249284							
505	1.41E-02							
506	1.40E-02							
507	1.39E-02							
508	1.37E-02							
509	1.36E-02							
510	0.013414798							
511	1.32E-02							
512	1.31E-02							
513	0.012947587							
514	1.28E-02							
515	1.27E-02							
516	1.26E-02							
517	1.26E-02							
518	1.25E-02							
519	0.012413611							
520	1.24E-02							
521	1.24E-02							
522	1.24E-02							
523	1.24E-02							
524	1.24E-02							
525	1.24E-02							
526	1.25E-02							
527	1.25E-02							
528	0.012595258							
529	1.27E-02							
530	1.28E-02							
531	1.29E-02							
532	1.30E-02							
533	1.32E-02							
534	0.013272493							
535	1.34E-02							
536	1.36E-02							
537	1.37E-02							
538	0.013881767							
539	1.40E-02							
540	1.42E-02							
541	1.44E-02							
542	1.46E-02							
543	1.48E-02							
544	1.50E-02							
545	0.015252038							
546	1.54E-02							
547	1.57E-02							
548	1.58E-02							
549	1.60E-02							
550	1.62E-02							
551	1.64E-02							
552	1.66E-02							
553	1.68E-02							
554	1.70E-02							
555	1.72E-02							
556	1.74E-02							
557	0.017663867							
558	1.79E-02							
559	1.81E-02							
560	1.83E-02							
561	1.86E-02							
562	1.88E-02							
563	1.91E-02							
564	1.94E-02							
565	1.96E-02							
566	1.99E-02							
567	2.00E-02							
568	2.01E-02							
569	2.00E-02							
570	1.98E-02							
571	1.94E-02							
572	1.89E-02							
573	1.83E-02							
574	1.75E-02							
575	1.65E-02							
576	1.55E-02							
577	1.45E-02							
578	1.35E-02							
579	1.25E-02							
580	1.15E-02							
581	1.06E-02							
582	9.84E-03							
583	9.13E-03							
584	8.51E-03							
585	7.95E-03							
586	7.49E-03							
587	7.09E-03							
588	6.77E-03							
589	6.50E-03							
590	6.26E-03							
591	6.05E-03							
592	5.89E-03							
593	5.76E-03							
594	5.64E-03							
595	5.55E-03							
596	5.46E-03							
597	5.39E-03							
