OLIS-3D-ASCII	SySl1087
375	8.08E-03
376	8.23E-03
377	8.44E-03
378	8.68E-03
379	8.95E-03
380	9.22E-03
381	9.49E-03
382	9.84E-03
383	9.94E-03
384	9.95E-03
385	9.99E-03
386	9.95E-03
387	9.96E-03
388	9.96E-03
389	9.99E-03
390	1.00E-02
391	1.01E-02
392	1.01E-02
393	1.02E-02
394	1.03E-02
395	1.04E-02
396	1.05E-02
397	1.06E-02
398	1.07E-02
399	1.09E-02
400	0.011166239
401	1.14E-02
402	1.16E-02
403	1.19E-02
404	1.22E-02
405	1.25E-02
406	1.28E-02
407	1.31E-02
408	1.34E-02
409	1.37E-02
410	0.014036438
411	0.014396736
412	1.48E-02
413	1.51E-02
414	1.54E-02
415	1.58E-02
416	1.61E-02
417	1.63E-02
418	1.65E-02
419	1.66E-02
420	1.68E-02
421	1.69E-02
422	1.70E-02
423	0.017073497
424	1.71E-02
425	1.72E-02
426	1.73E-02
427	1.75E-02
428	1.76E-02
429	1.78E-02
430	0.018001708
431	1.82E-02
432	1.85E-02
433	1.87E-02
434	1.89E-02
435	1.91E-02
436	1.92E-02
437	1.93E-02
438	1.92E-02
439	1.92E-02
440	1.90E-02
441	1.88E-02
442	1.85E-02
443	0.018146208
444	1.77E-02
445	1.73E-02
446	1.67E-02
447	1.62E-02
448	1.56E-02
449	1.51E-02
450	1.46E-02
451	1.41E-02
452	1.36E-02
453	1.32E-02
454	1.28E-02
455	0.012576682
456	1.24E-02
457	1.21E-02
458	1.19E-02
459	1.18E-02
460	1.16E-02
461	1.15E-02
462	1.14E-02
463	1.13E-02
464	1.11E-02
465	1.10E-02
466	1.08E-02
467	1.07E-02
468	1.05E-02
469	1.04E-02
470	1.02E-02
471	1.00E-02
472	9.82E-03
473	9.66E-03
474	9.50E-03
475	9.36E-03
476	9.24E-03
477	9.11E-03
478	9.01E-03
479	8.93E-03
480	8.87E-03
481	8.85E-03
482	8.82E-03
483	8.81E-03
484	8.83E-03
485	8.86E-03
486	8.89E-03
487	8.94E-03
488	9.00E-03
489	9.05E-03
490	9.09E-03
491	9.15E-03
492	9.20E-03
493	9.23E-03
494	9.25E-03
495	9.25E-03
496	9.23E-03
497	9.20E-03
498	9.15E-03
499	9.06E-03
500	8.96E-03
501	8.82E-03
502	8.66E-03
503	0.008503256
504	8.30E-03
505	8.09E-03
506	7.88E-03
507	7.62E-03
508	7.37E-03
509	7.13E-03
510	6.89E-03
511	6.62E-03
512	6.35E-03
513	6.10E-03
514	5.85E-03
515	5.62E-03
516	5.35E-03
517	5.10E-03
518	4.85E-03
519	4.59E-03
520	4.34E-03
521	4.11E-03
522	3.92E-03
523	3.73E-03
524	3.57E-03
525	3.44E-03
526	3.31E-03
527	3.20E-03
528	3.07E-03
529	2.95E-03
530	2.84E-03
531	2.73E-03
532	2.63E-03
533	2.55E-03
534	2.49E-03
535	2.44E-03
536	2.40E-03
537	2.37E-03
538	2.33E-03
539	2.29E-03
540	2.26E-03
541	2.24E-03
542	2.24E-03
543	2.24E-03
544	2.24E-03
545	2.25E-03
546	2.27E-03
547	2.29E-03
548	2.31E-03
549	2.35E-03
550	2.36E-03
551	2.40E-03
552	2.43E-03
553	2.48E-03
554	2.54E-03
555	2.61E-03
556	2.66E-03
557	2.71E-03
558	2.78E-03
559	2.82E-03
560	2.90E-03
561	2.96E-03
562	3.02E-03
563	3.10E-03
564	3.16E-03
565	3.25E-03
566	3.33E-03
567	3.42E-03
568	3.51E-03
569	3.62E-03
570	3.74E-03
571	3.86E-03
572	3.99E-03
573	4.09E-03
574	4.19E-03
575	4.32E-03
576	4.40E-03
577	4.50E-03
578	4.59E-03
579	4.69E-03
580	4.79E-03
581	4.91E-03
582	5.03E-03
583	5.12E-03
584	5.22E-03
585	5.31E-03
586	5.41E-03
587	5.50E-03
588	5.58E-03
589	5.67E-03
590	5.74E-03
591	5.81E-03
592	5.88E-03
593	5.97E-03
594	6.04E-03
595	6.13E-03
596	6.22E-03
597	6.30E-03
598	6.41E-03
599	6.51E-03
600	6.63E-03
601	6.77E-03
602	6.90E-03
603	7.05E-03
604	7.21E-03
605	7.37E-03
606	7.55E-03
607	7.74E-03
608	7.91E-03
609	8.10E-03
610	8.29E-03
611	8.48E-03
612	8.66E-03
613	8.86E-03
614	9.04E-03
615	9.23E-03
616	9.38E-03
617	9.52E-03
618	9.67E-03
619	9.81E-03
620	9.92E-03
621	1.00E-02
622	1.01E-02
623	1.02E-02
624	1.03E-02
625	1.03E-02
626	1.03E-02
627	1.04E-02
628	1.04E-02
629	1.04E-02
630	1.04E-02
631	1.04E-02
632	1.04E-02
633	1.04E-02
634	1.04E-02
635	1.03E-02
636	0.010249564
637	1.02E-02
638	1.01E-02
