OLIS-3D-ASCII	SySl1325						
693	1.84E-03						
694	1.81E-03						
695	1.80E-03						
696	1.83E-03						
697	1.79E-03						
698	1.69E-03						
699	1.63E-03						
700	1.63E-03						
701	1.64E-03						
702	1.53E-03						
703	1.55E-03						
704	1.61E-03						
705	1.66E-03						
706	1.67E-03						
707	1.65E-03						
708	1.56E-03						
709	1.39E-03						
710	1.13E-03						
