OLIS-3D-ASCII	SySl1306					
375	1.12E-03					
376	1.20E-03					
377	1.25E-03					
378	1.27E-03					
379	1.27E-03					
380	1.26E-03					
381	1.22E-03					
382	1.20E-03					
383	1.17E-03					
384	1.09E-03					
385	1.04E-03					
386	1.03E-03					
387	1.00E-03					
388	1.03E-03					
389	1.00E-03					
390	9.45E-04					
391	9.61E-04					
392	9.41E-04					
393	9.13E-04					
394	8.86E-04					
395	8.58E-04					
396	7.91E-04					
397	7.99E-04					
398	8.14E-04					
399	8.49E-04					
400	9.04E-04					
401	9.12E-04					
402	9.15E-04					
403	9.06E-04					
404	8.73E-04					
405	8.48E-04					
406	8.47E-04					
407	8.51E-04					
408	8.29E-04					
409	8.08E-04					
410	8.11E-04					
411	8.51E-04					
412	8.63E-04					
413	8.75E-04					
414	8.82E-04					
415	8.93E-04					
416	8.68E-04					
417	8.70E-04					
418	8.84E-04					
419	8.99E-04					
420	8.84E-04					
421	8.64E-04					
422	8.63E-04					
423	8.69E-04					
424	8.79E-04					
425	9.02E-04					
426	9.45E-04					
427	9.39E-04					
428	9.14E-04					
429	9.08E-04					
430	9.09E-04					
431	9.07E-04					
432	8.74E-04					
433	8.58E-04					
434	8.37E-04					
435	8.42E-04					
436	8.47E-04					
437	8.72E-04					
438	8.72E-04					
439	8.60E-04					
440	8.54E-04					
441	8.56E-04					
442	8.39E-04					
443	8.18E-04					
444	7.89E-04					
445	7.40E-04					
446	7.04E-04					
447	6.83E-04					
448	6.49E-04					
449	6.34E-04					
450	5.87E-04					
451	5.81E-04					
452	5.71E-04					
453	5.65E-04					
454	5.60E-04					
455	5.52E-04					
456	5.31E-04					
457	5.08E-04					
458	5.02E-04					
459	5.01E-04					
460	4.82E-04					
461	4.65E-04					
462	4.49E-04					
463	4.56E-04					
464	4.57E-04					
465	4.58E-04					
466	4.60E-04					
467	4.53E-04					
468	4.48E-04					
469	4.46E-04					
470	4.53E-04					
471	4.51E-04					
472	4.22E-04					
473	4.18E-04					
474	4.21E-04					
475	4.15E-04					
476	4.01E-04					
477	3.94E-04					
478	3.84E-04					
479	3.85E-04					
480	3.83E-04					
481	3.81E-04					
482	3.74E-04					
483	3.70E-04					
484	3.70E-04					
485	3.83E-04					
486	3.91E-04					
487	3.99E-04					
488	4.05E-04					
489	4.08E-04					
490	4.20E-04					
491	4.38E-04					
492	4.47E-04					
493	4.56E-04					
494	4.60E-04					
495	4.66E-04					
496	4.70E-04					
497	4.77E-04					
498	4.90E-04					
499	5.10E-04					
500	5.18E-04					
501	5.27E-04					
502	5.37E-04					
503	5.39E-04					
504	5.49E-04					
505	5.61E-04					
506	5.69E-04					
507	5.55E-04					
508	5.50E-04					
509	5.49E-04					
510	5.58E-04					
511	5.59E-04					
512	5.65E-04					
513	5.72E-04					
514	5.76E-04					
515	5.89E-04					
516	6.00E-04					
517	6.16E-04					
518	6.21E-04					
519	6.14E-04					
520	6.31E-04					
521	6.40E-04					
522	6.58E-04					
523	6.73E-04					
524	6.88E-04					
525	6.97E-04					
526	7.05E-04					
527	7.15E-04					
528	7.12E-04					
529	7.24E-04					
530	7.27E-04					
531	7.25E-04					
532	7.43E-04					
533	7.53E-04					
534	7.77E-04					
535	8.03E-04					
536	8.14E-04					
537	8.24E-04					
538	8.44E-04					
539	8.52E-04					
540	8.68E-04					
541	8.81E-04					
542	8.82E-04					
543	8.77E-04					
544	8.87E-04					
545	8.82E-04					
546	9.04E-04					
547	9.26E-04					
548	9.41E-04					
549	9.54E-04					
550	9.70E-04					
551	9.71E-04					
552	9.78E-04					
553	9.83E-04					
554	9.92E-04					
555	9.99E-04					
556	1.01E-03					
557	1.01E-03					
558	1.03E-03					
559	1.05E-03					
560	1.08E-03					
561	1.08E-03					
562	1.08E-03					
563	1.09E-03					
564	1.10E-03					
565	1.11E-03					
566	1.12E-03					
567	1.14E-03					
568	1.14E-03					
569	1.14E-03					
570	1.13E-03					
571	1.12E-03					
572	1.09E-03					
573	1.04E-03					
574	9.84E-04					
575	9.29E-04					
576	8.73E-04					
577	8.17E-04					
578	7.62E-04					
