OLIS-3D-ASCII	SySl1108					
375	7.46E-03					
376	7.58E-03					
377	7.71E-03					
378	7.83E-03					
379	7.96E-03					
380	8.08E-03					
381	8.19E-03					
382	8.34E-03					
383	8.44E-03					
384	8.45E-03					
385	8.51E-03					
386	8.51E-03					
387	8.55E-03					
388	8.56E-03					
389	8.60E-03					
390	8.74E-03					
391	8.81E-03					
392	8.91E-03					
393	8.94E-03					
394	9.09E-03					
395	9.17E-03					
396	9.22E-03					
397	9.36E-03					
398	9.46E-03					
399	9.58E-03					
400	9.75E-03					
401	9.94E-03					
402	1.01E-02					
403	1.03E-02					
404	0.010504495					
405	1.07E-02					
406	1.10E-02					
407	1.12E-02					
408	1.14E-02					
409	1.17E-02					
410	1.20E-02					
411	0.012185436					
412	1.24E-02					
413	1.27E-02					
414	1.29E-02					
415	1.31E-02					
416	0.013341058					
417	1.35E-02					
418	1.37E-02					
419	1.39E-02					
420	0.014093262					
421	1.42E-02					
422	1.44E-02					
423	1.45E-02					
424	1.46E-02					
425	1.48E-02					
426	1.49E-02					
427	1.51E-02					
428	1.52E-02					
429	1.54E-02					
430	1.55E-02					
431	0.01570714					
432	1.59E-02					
433	1.60E-02					
434	1.61E-02					
435	1.62E-02					
436	1.63E-02					
437	0.016357627					
438	1.64E-02					
439	0.01637357					
440	0.016313356					
441	1.62E-02					
442	1.61E-02					
443	0.015883423					
444	1.57E-02					
445	1.54E-02					
446	1.51E-02					
447	1.47E-02					
448	1.44E-02					
449	1.41E-02					
450	1.39E-02					
451	1.36E-02					
452	1.33E-02					
453	1.31E-02					
454	1.29E-02					
455	1.27E-02					
456	1.26E-02					
457	1.25E-02					
458	1.24E-02					
459	1.23E-02					
460	1.22E-02					
461	1.21E-02					
462	1.20E-02					
463	1.18E-02					
464	1.17E-02					
465	1.15E-02					
466	1.13E-02					
467	1.12E-02					
468	1.10E-02					
469	1.08E-02					
470	1.06E-02					
471	1.04E-02					
472	1.02E-02					
473	1.01E-02					
474	9.90E-03					
475	9.76E-03					
476	9.64E-03					
477	9.53E-03					
478	9.45E-03					
479	9.38E-03					
480	9.35E-03					
481	9.33E-03					
482	9.35E-03					
483	9.38E-03					
484	9.41E-03					
485	9.45E-03					
486	9.49E-03					
487	9.55E-03					
488	9.62E-03					
489	9.68E-03					
490	9.75E-03					
491	9.81E-03					
492	9.86E-03					
493	9.89E-03					
494	9.90E-03					
495	9.90E-03					
496	9.86E-03					
497	9.80E-03					
498	9.70E-03					
499	9.58E-03					
500	9.44E-03					
501	9.27E-03					
502	9.08E-03					
503	8.89E-03					
504	8.69E-03					
505	8.47E-03					
506	8.22E-03					
507	8.00E-03					
508	7.77E-03					
509	7.54E-03					
510	7.31E-03					
511	7.07E-03					
512	6.84E-03					
513	6.61E-03					
514	6.41E-03					
515	6.22E-03					
516	6.04E-03					
517	5.86E-03					
518	5.69E-03					
519	5.53E-03					
520	5.37E-03					
521	5.22E-03					
522	5.09E-03					
523	4.97E-03					
524	4.85E-03					
525	4.73E-03					
526	4.64E-03					
527	4.58E-03					
528	4.50E-03					
529	4.43E-03					
530	4.36E-03					
531	4.29E-03					
532	4.21E-03					
533	4.13E-03					
534	0.004063486					
535	4.02E-03					
536	3.94E-03					
537	3.89E-03					
538	3.85E-03					
539	3.82E-03					
540	3.78E-03					
541	3.74E-03					
542	3.72E-03					
543	3.69E-03					
544	3.65E-03					
545	3.63E-03					
546	3.63E-03					
547	3.63E-03					
548	3.62E-03					
549	3.62E-03					
550	3.62E-03					
551	3.62E-03					
552	3.63E-03					
553	3.65E-03					
554	3.66E-03					
555	3.67E-03					
556	3.69E-03					
557	3.73E-03					
558	3.76E-03					
559	3.78E-03					
560	3.82E-03					
561	3.84E-03					
562	3.88E-03					
563	3.92E-03					
564	3.98E-03					
565	4.02E-03					
566	4.04E-03					
567	4.08E-03					
568	4.10E-03					
569	4.09E-03					
570	4.05E-03					
571	3.99E-03					
572	3.91E-03					
573	3.80E-03					
574	3.67E-03					
575	3.51E-03					
576	3.35E-03					
577	3.17E-03					
578	3.00E-03					
579	2.86E-03					
580	2.71E-03					
581	2.57E-03					
582	2.47E-03					
583	2.37E-03					
584	2.29E-03					
585	2.22E-03					
586	2.16E-03					
587	2.11E-03					
588	2.06E-03					
589	2.02E-03					
590	1.99E-03					
591	1.96E-03					
592	1.92E-03					
593	1.89E-03					
594	1.88E-03					
595	1.85E-03					
596	1.82E-03					
597	1.81E-03					
598	1.81E-03					
599	1.79E-03					
600	1.78E-03					
601	1.76E-03					
602	1.76E-03					
603	1.76E-03					
604	0.001771088					
605	1.79E-03					
606	1.79E-03					
607	1.80E-03					
608	1.83E-03					
609	1.87E-03					
610	1.90E-03					
611	1.91E-03					
612	1.94E-03					
613	1.97E-03					
614	2.02E-03					
615	2.07E-03					
616	2.11E-03					
617	2.13E-03					
618	2.16E-03					
619	2.18E-03					
620	2.22E-03					
621	2.24E-03					
622	2.27E-03					
623	2.27E-03					
624	2.29E-03					
625	2.30E-03					
626	2.32E-03					
627	2.32E-03					
628	2.32E-03					
629	2.33E-03					
630	2.33E-03					
631	2.32E-03					
632	2.31E-03					
633	2.29E-03					
634	2.27E-03					
635	2.23E-03					
636	2.22E-03					
637	2.20E-03					
638	2.16E-03					
639	2.13E-03					
640	2.13E-03					
641	2.13E-03					
642	2.12E-03					
643	2.12E-03					
644	2.11E-03					
645	2.12E-03					
646	2.12E-03					
647	2.13E-03					
648	2.15E-03					
649	2.16E-03					
650	2.17E-03					
651	2.21E-03					
652	2.26E-03					
653	2.33E-03					
654	2.41E-03					
655	2.52E-03					
656	2.63E-03					
657	2.78E-03					
658	2.93E-03					
659	3.11E-03					
660	3.31E-03					
661	3.54E-03					
662	3.82E-03					
663	4.12E-03					
664	4.45E-03					
665	4.79E-03					
666	5.17E-03					
667	5.55E-03					
668	5.91E-03					
669	6.27E-03					
670	6.59E-03					
671	6.92E-03					
672	7.22E-03					
673	7.54E-03					
674	7.82E-03					
675	8.09E-03					
676	8.34E-03					
677	8.55E-03					
678	8.76E-03					
679	8.91E-03					
680	8.94E-03					
681	8.86E-03					
682	8.67E-03					
683	8.40E-03					
684	8.02E-03					
685	7.60E-03					
686	7.05E-03					
687	6.49E-03					
688	5.89E-03					
689	5.31E-03					
690	4.75E-03					
691	4.26E-03					
692	3.77E-03					
693	3.32E-03					
694	2.92E-03					
695	2.59E-03					
696	2.28E-03					
697	1.99E-03					
698	1.74E-03					
699	1.52E-03					
700	1.23E-03					
701	9.78E-04					
702	8.29E-04					
703	7.54E-04					
704	6.00E-04					
705	5.09E-04					
706	4.20E-04					
707	3.24E-04					
708	2.08E-04					
709	6.24E-05					
710	-1.23E-04					
