OLIS-3D-ASCII	SySl1086
375	8.63E-03
376	8.85E-03
377	0.009041098
378	9.22E-03
379	9.39E-03
380	9.56E-03
381	9.71E-03
382	9.88E-03
383	1.01E-02
384	1.02E-02
385	0.010256888
386	1.03E-02
387	1.04E-02
388	1.04E-02
389	1.05E-02
390	1.04E-02
391	1.05E-02
392	1.05E-02
393	1.05E-02
394	1.06E-02
395	1.07E-02
396	1.08E-02
397	1.10E-02
398	1.12E-02
399	1.14E-02
400	1.16E-02
401	1.18E-02
402	1.20E-02
403	1.22E-02
404	1.25E-02
405	1.27E-02
406	1.30E-02
407	1.33E-02
408	1.36E-02
409	1.40E-02
410	1.43E-02
411	1.47E-02
412	1.50E-02
413	1.54E-02
414	1.57E-02
415	1.60E-02
416	1.63E-02
417	1.65E-02
418	1.67E-02
419	1.68E-02
420	1.69E-02
421	1.70E-02
422	1.72E-02
423	1.73E-02
424	1.74E-02
425	1.76E-02
426	1.78E-02
427	1.79E-02
428	1.81E-02
429	1.83E-02
430	1.85E-02
431	1.87E-02
432	1.89E-02
433	1.91E-02
434	1.93E-02
435	1.95E-02
436	1.96E-02
437	1.97E-02
438	1.97E-02
439	1.96E-02
440	1.95E-02
441	1.93E-02
442	1.90E-02
443	0.018705024
444	1.83E-02
445	1.79E-02
446	1.74E-02
447	1.69E-02
448	0.016398353
449	1.59E-02
450	1.54E-02
451	1.50E-02
452	1.45E-02
453	1.42E-02
454	1.38E-02
455	1.36E-02
456	1.34E-02
457	1.32E-02
458	1.31E-02
459	1.29E-02
460	1.28E-02
461	1.26E-02
462	1.25E-02
463	1.23E-02
464	1.22E-02
465	1.20E-02
466	1.18E-02
467	1.17E-02
468	1.15E-02
469	1.13E-02
470	0.011118322
471	1.09E-02
472	1.08E-02
473	1.06E-02
474	1.04E-02
475	1.02E-02
476	1.01E-02
477	9.96E-03
478	9.85E-03
479	9.80E-03
480	9.77E-03
481	9.74E-03
482	9.76E-03
483	9.76E-03
484	9.78E-03
485	9.81E-03
486	9.84E-03
487	9.90E-03
488	9.95E-03
489	1.00E-02
490	1.01E-02
